,Squadra,Data,Girone,Stadio,Risultato,Rf,Avversario,Rs,Tiri,Tiri.1,Rigori,Rig T,Compl,Tent,Angoli,Poss.,Falli,Amm.,Esp.
0,Cagliari,23-08-2021,Giornata n. 1,Casa,N,2,Spezia,2,19,6,1,1,409.0,519.0,11.0,59.0,17,2,0
1,Cagliari,29-08-2021,Giornata n. 2,Ospiti,P,1,Milan,4,7,2,0,0,359.0,423.0,3.0,43.0,12,5,0
2,Cagliari,12-09-2021,Giornata n. 3,Casa,P,2,Genoa,3,8,2,1,1,435.0,534.0,2.0,53.0,16,2,0
3,Cagliari,19-09-2021,Giornata n. 4,Ospiti,N,2,Lazio,2,10,3,0,0,198.0,296.0,1.0,28.0,13,3,1
4,Cagliari,22-09-2021,Giornata n. 5,Casa,P,0,Empoli,2,15,1,0,0,376.0,489.0,7.0,49.0,15,2,0
5,Cagliari,26-09-2021,Giornata n. 6,Ospiti,P,0,Napoli,2,6,0,0,0,297.0,375.0,4.0,33.0,13,1,0
6,Cagliari,01-10-2021,Giornata n. 7,Casa,N,1,Venezia,1,9,3,0,0,310.0,401.0,2.0,42.0,16,2,0
7,Cagliari,17-10-2021,Giornata n. 8,Casa,V,3,Sampdoria,1,12,5,0,0,228.0,329.0,5.0,39.0,15,4,0
8,Cagliari,24-10-2021,Giornata n. 9,Ospiti,P,0,Fiorentina,3,3,1,0,0,269.0,358.0,1.0,35.0,15,2,0
9,Cagliari,27-10-2021,Giornata n. 10,Casa,P,1,Roma,2,7,5,0,0,264.0,355.0,2.0,42.0,18,3,0
10,Cagliari,01-11-2021,Giornata n. 11,Ospiti,P,0,Bologna,2,9,2,0,0,400.0,476.0,2.0,43.0,10,2,1
11,Cagliari,06-11-2021,Giornata n. 12,Casa,P,1,Atalanta,2,7,1,0,0,287.0,389.0,2.0,38.0,16,1,0
12,Cagliari,21-11-2021,Giornata n. 13,Ospiti,N,2,Sassuolo,2,10,3,1,1,297.0,392.0,5.0,42.0,11,2,0
13,Cagliari,26-11-2021,Giornata n. 14,Casa,N,1,Salernitana,1,19,3,0,0,401.0,505.0,7.0,57.0,16,3,0
14,Cagliari,30-11-2021,Giornata n. 15,Ospiti,N,0,Hellas Verona,0,12,3,0,0,174.0,295.0,1.0,32.0,14,2,0
15,Cagliari,06-12-2021,Giornata n. 16,Casa,N,1,Torino,1,16,2,0,0,288.0,440.0,5.0,52.0,12,2,0
16,Cagliari,12-12-2021,Giornata n. 17,Ospiti,P,0,Inter,4,5,2,0,0,201.0,268.0,0.0,25.0,15,2,0
17,Cagliari,18-12-2021,Giornata n. 18,Casa,P,0,Udinese,4,5,2,0,0,436.0,544.0,4.0,55.0,12,4,1
18,Cagliari,21-12-2021,Giornata n. 19,Ospiti,P,0,Juventus,2,6,1,0,0,275.0,369.0,1.0,37.0,18,3,0
19,Cagliari,06-01-2022,Giornata n. 20,Ospiti,V,2,Sampdoria,1,15,7,0,0,395.0,518.0,5.0,51.0,17,3,0
20,Cagliari,11-01-2022,Giornata n. 21,Casa,V,2,Bologna,1,13,4,0,0,354.0,482.0,5.0,53.0,14,3,0
21,Cagliari,16-01-2022,Giornata n. 22,Ospiti,P,0,Roma,1,8,2,0,0,334.0,458.0,1.0,44.0,20,4,0
22,Cagliari,23-01-2022,Giornata n. 23,Casa,N,1,Fiorentina,1,11,1,0,1,196.0,293.0,6.0,41.0,24,3,0
23,Cagliari,06-02-2022,Giornata n. 24,Ospiti,V,2,Atalanta,1,7,4,0,0,305.0,406.0,1.0,39.0,14,5,0
24,Cagliari,13-02-2022,Giornata n. 25,Ospiti,N,1,Empoli,1,17,4,0,0,320.0,444.0,4.0,55.0,14,2,0
25,Cagliari,21-02-2022,Giornata n. 26,Casa,N,1,Napoli,1,13,5,0,0,290.0,419.0,3.0,46.0,18,1,0
26,Cagliari,27-02-2022,Giornata n. 27,Ospiti,V,2,Torino,1,11,5,0,0,213.0,359.0,3.0,43.0,25,4,0
27,Cagliari,05-03-2022,Giornata n. 28,Casa,P,0,Lazio,3,16,3,0,0,357.0,481.0,7.0,45.0,11,3,0
28,Cagliari,12-03-2022,Giornata n. 29,Ospiti,P,0,Spezia,2,11,1,0,0,333.0,465.0,7.0,57.0,20,4,0
29,Cagliari,19-03-2022,Giornata n. 30,Casa,P,0,Milan,1,13,1,0,0,242.0,368.0,6.0,43.0,14,1,0
30,Cagliari,03-04-2022,Giornata n. 31,Ospiti,P,1,Udinese,5,6,3,0,0,346.0,450.0,2.0,49.0,15,4,1
31,Cagliari,09-04-2022,Giornata n. 32,Casa,P,1,Juventus,2,4,1,0,0,256.0,375.0,1.0,41.0,19,1,0
32,Cagliari,16-04-2022,Giornata n. 33,Casa,V,1,Sassuolo,0,15,7,0,0,220.0,329.0,3.0,37.0,18,2,0
33,Cagliari,24-04-2022,Giornata n. 34,Ospiti,P,0,Genoa,1,11,1,0,0,189.0,362.0,3.0,47.0,18,2,0
34,Cagliari,30-04-2022,Giornata n. 35,Casa,P,1,Hellas Verona,2,14,4,0,0,353.0,487.0,2.0,60.0,16,2,0
35,Cagliari,08-05-2022,Giornata n. 36,Ospiti,N,1,Salernitana,1,9,3,0,0,332.0,427.0,6.0,52.0,18,2,1
36,Cagliari,15-05-2022,Giornata n. 37,Casa,P,1,Inter,3,10,2,0,0,294.0,375.0,2.0,38.0,14,0,0
37,Cagliari,22-05-2022,Giornata n. 38,Ospiti,N,0,Venezia,0,30,7,0,0,428.0,536.0,11.0,56.0,22,3,0
