,Squadra,Data,Girone,Stadio,Risultato,Rf,Avversario,Rs,Tiri,Tiri.1,Rigori,Rig T,Compl,Tent,Angoli,Poss.,Falli,Amm.,Esp.
0,Fiorentina,22-08-2021,Giornata n. 1,Ospiti,P,1,Roma,3,11,8,0,0,498.0,564.0,4.0,58.0,14,2,1
1,Fiorentina,28-08-2021,Giornata n. 2,Casa,V,2,Torino,1,9,6,0,0,363.0,460.0,3.0,59.0,14,4,0
2,Fiorentina,11-09-2021,Giornata n. 3,Ospiti,V,2,Atalanta,1,5,0,2,2,374.0,454.0,3.0,45.0,21,4,0
3,Fiorentina,18-09-2021,Giornata n. 4,Ospiti,V,2,Genoa,1,16,5,0,0,531.0,617.0,11.0,63.0,17,4,0
4,Fiorentina,21-09-2021,Giornata n. 5,Casa,P,1,Inter,3,14,6,0,0,452.0,530.0,4.0,53.0,13,2,1
5,Fiorentina,26-09-2021,Giornata n. 6,Ospiti,V,1,Udinese,0,7,1,1,1,518.0,599.0,1.0,54.0,14,3,0
6,Fiorentina,03-10-2021,Giornata n. 7,Casa,P,1,Napoli,2,10,3,0,0,424.0,511.0,8.0,55.0,18,3,0
7,Fiorentina,18-10-2021,Giornata n. 8,Ospiti,P,0,Venezia,1,11,3,0,0,535.0,627.0,5.0,61.0,11,5,1
8,Fiorentina,24-10-2021,Giornata n. 9,Casa,V,3,Cagliari,0,20,4,1,1,583.0,659.0,4.0,65.0,11,0,0
9,Fiorentina,27-10-2021,Giornata n. 10,Ospiti,P,0,Lazio,1,9,1,0,0,485.0,573.0,6.0,51.0,14,3,0
10,Fiorentina,31-10-2021,Giornata n. 11,Casa,V,3,Spezia,0,26,11,1,1,419.0,491.0,7.0,55.0,10,4,0
11,Fiorentina,06-11-2021,Giornata n. 12,Ospiti,P,0,Juventus,1,6,1,0,0,335.0,426.0,5.0,50.0,17,4,1
12,Fiorentina,20-11-2021,Giornata n. 13,Casa,V,4,Milan,3,9,5,0,0,361.0,449.0,5.0,45.0,7,1,0
13,Fiorentina,27-11-2021,Giornata n. 14,Ospiti,P,1,Empoli,2,16,7,0,0,372.0,465.0,5.0,49.0,11,1,0
14,Fiorentina,30-11-2021,Giornata n. 15,Casa,V,3,Sampdoria,1,17,7,0,0,533.0,612.0,3.0,60.0,6,0,0
15,Fiorentina,05-12-2021,Giornata n. 16,Ospiti,V,3,Bologna,2,5,2,1,1,534.0,622.0,2.0,63.0,16,3,0
16,Fiorentina,11-12-2021,Giornata n. 17,Casa,V,4,Salernitana,0,17,9,0,0,678.0,768.0,1.0,70.0,10,1,0
17,Fiorentina,19-12-2021,Giornata n. 18,Casa,N,2,Sassuolo,2,23,8,0,0,472.0,561.0,9.0,57.0,7,3,1
18,Fiorentina,22-12-2021,Giornata n. 19,Ospiti,N,1,Hellas Verona,1,11,1,0,0,447.0,570.0,8.0,60.0,5,1,0
19,Fiorentina,10-01-2022,Giornata n. 21,Ospiti,P,0,Torino,4,11,4,0,0,400.0,503.0,5.0,55.0,12,2,0
20,Fiorentina,17-01-2022,Giornata n. 22,Casa,V,6,Genoa,0,21,11,0,1,716.0,787.0,4.0,73.0,12,1,0
21,Fiorentina,23-01-2022,Giornata n. 23,Ospiti,N,1,Cagliari,1,14,5,0,1,326.0,426.0,4.0,59.0,15,3,1
22,Fiorentina,05-02-2022,Giornata n. 24,Casa,P,0,Lazio,3,9,3,0,0,446.0,522.0,4.0,50.0,15,3,1
23,Fiorentina,14-02-2022,Giornata n. 25,Ospiti,V,2,Spezia,1,20,4,0,1,433.0,527.0,8.0,67.0,10,1,0
24,Fiorentina,20-02-2022,Giornata n. 26,Casa,V,1,Atalanta,0,6,3,0,0,373.0,461.0,2.0,49.0,19,2,0
25,Fiorentina,26-02-2022,Giornata n. 27,Ospiti,P,1,Sassuolo,2,15,6,0,0,365.0,463.0,10.0,51.0,13,2,1
26,Fiorentina,06-03-2022,Giornata n. 28,Casa,N,1,Hellas Verona,1,8,2,0,0,313.0,416.0,4.0,50.0,15,0,0
27,Fiorentina,13-03-2022,Giornata n. 29,Casa,V,1,Bologna,0,14,5,0,0,423.0,529.0,9.0,61.0,10,1,0
28,Fiorentina,19-03-2022,Giornata n. 30,Ospiti,N,1,Inter,1,17,4,0,0,424.0,518.0,3.0,50.0,13,2,0
29,Fiorentina,03-04-2022,Giornata n. 31,Casa,V,1,Empoli,0,24,11,0,0,506.0,574.0,4.0,61.0,10,1,0
30,Fiorentina,10-04-2022,Giornata n. 32,Ospiti,V,3,Napoli,2,11,4,0,0,442.0,528.0,2.0,50.0,19,3,0
31,Fiorentina,16-04-2022,Giornata n. 33,Casa,V,1,Venezia,0,22,5,0,0,540.0,616.0,5.0,69.0,16,4,0
32,Fiorentina,24-04-2022,Giornata n. 34,Ospiti,P,1,Salernitana,2,8,3,0,0,521.0,630.0,4.0,72.0,12,1,0
33,Fiorentina,27-04-2022,Giornata n. 20,Casa,P,0,Udinese,4,18,7,0,0,485.0,592.0,14.0,72.0,12,3,0
34,Fiorentina,01-05-2022,Giornata n. 35,Ospiti,P,0,Milan,1,8,2,0,0,369.0,457.0,2.0,51.0,17,3,0
35,Fiorentina,09-05-2022,Giornata n. 36,Casa,V,2,Roma,0,11,6,1,1,480.0,561.0,5.0,53.0,17,3,0
36,Fiorentina,16-05-2022,Giornata n. 37,Ospiti,P,1,Sampdoria,4,11,0,1,1,452.0,537.0,5.0,63.0,9,3,0
37,Fiorentina,21-05-2022,Giornata n. 38,Casa,V,2,Juventus,0,12,2,1,1,626.0,721.0,6.0,66.0,13,3,0
