,Squadra,Data,Girone,Stadio,Risultato,Rf,Avversario,Rs,Tiri,Tiri.1,Rigori,Rig T,Compl,Tent,Angoli,Poss.,Falli,Amm.,Esp.
0,Genoa,21-08-2021,Giornata n. 1,Ospiti,P,0,Inter,4,10,4,0,0,365.0,430.0,2.0,41.0,7,2,0
1,Genoa,29-08-2021,Giornata n. 2,Casa,P,1,Napoli,2,6,3,0,0,310.0,400.0,4.0,39.0,20,2,0
2,Genoa,12-09-2021,Giornata n. 3,Ospiti,V,3,Cagliari,2,11,3,0,0,395.0,475.0,6.0,47.0,16,3,0
3,Genoa,18-09-2021,Giornata n. 4,Casa,P,1,Fiorentina,2,8,2,1,1,288.0,369.0,1.0,37.0,14,4,0
4,Genoa,21-09-2021,Giornata n. 5,Ospiti,N,2,Bologna,2,10,5,1,1,292.0,392.0,2.0,41.0,19,4,0
5,Genoa,25-09-2021,Giornata n. 6,Casa,N,3,Hellas Verona,3,10,3,1,1,351.0,464.0,3.0,49.0,15,3,0
6,Genoa,02-10-2021,Giornata n. 7,Ospiti,P,0,Salernitana,1,18,3,0,0,336.0,427.0,8.0,50.0,19,2,0
7,Genoa,17-10-2021,Giornata n. 8,Casa,N,2,Sassuolo,2,19,4,0,0,283.0,383.0,6.0,43.0,12,3,0
8,Genoa,22-10-2021,Giornata n. 9,Ospiti,P,2,Torino,3,14,4,0,0,236.0,354.0,4.0,42.0,24,3,0
9,Genoa,26-10-2021,Giornata n. 10,Ospiti,N,1,Spezia,1,8,1,1,1,368.0,493.0,3.0,53.0,17,4,0
10,Genoa,31-10-2021,Giornata n. 11,Casa,N,0,Venezia,0,19,4,0,0,404.0,537.0,12.0,62.0,16,1,0
11,Genoa,05-11-2021,Giornata n. 12,Ospiti,N,2,Empoli,2,14,6,1,1,302.0,417.0,5.0,47.0,22,4,0
12,Genoa,21-11-2021,Giornata n. 13,Casa,P,0,Roma,2,1,1,0,0,342.0,425.0,2.0,41.0,12,3,0
13,Genoa,28-11-2021,Giornata n. 14,Ospiti,N,0,Udinese,0,9,2,0,0,446.0,554.0,1.0,57.0,11,4,0
14,Genoa,01-12-2021,Giornata n. 15,Casa,P,0,Milan,3,11,3,0,0,365.0,442.0,2.0,42.0,15,2,0
15,Genoa,05-12-2021,Giornata n. 16,Ospiti,P,0,Juventus,2,0,0,0,0,253.0,340.0,1.0,30.0,8,1,0
16,Genoa,10-12-2021,Giornata n. 17,Casa,P,1,Sampdoria,3,12,2,0,0,360.0,493.0,8.0,54.0,15,2,0
17,Genoa,17-12-2021,Giornata n. 18,Ospiti,P,1,Lazio,3,4,2,0,0,469.0,555.0,2.0,45.0,11,3,0
18,Genoa,21-12-2021,Giornata n. 19,Casa,N,0,Atalanta,0,1,0,0,0,205.0,347.0,3.0,33.0,16,2,0
19,Genoa,06-01-2022,Giornata n. 20,Ospiti,N,1,Sassuolo,1,4,1,0,0,199.0,287.0,4.0,26.0,12,0,0
20,Genoa,09-01-2022,Giornata n. 21,Casa,P,0,Spezia,1,15,2,0,0,422.0,539.0,7.0,54.0,17,3,0
21,Genoa,17-01-2022,Giornata n. 22,Ospiti,P,0,Fiorentina,6,3,0,0,0,214.0,288.0,0.0,27.0,19,3,0
22,Genoa,22-01-2022,Giornata n. 23,Casa,N,0,Udinese,0,10,2,0,0,220.0,380.0,10.0,52.0,26,4,1
23,Genoa,05-02-2022,Giornata n. 24,Ospiti,N,0,Roma,0,10,3,0,0,181.0,316.0,4.0,38.0,23,2,1
24,Genoa,13-02-2022,Giornata n. 25,Casa,N,1,Salernitana,1,16,5,0,0,268.0,388.0,5.0,49.0,22,3,0
25,Genoa,20-02-2022,Giornata n. 26,Ospiti,N,1,Venezia,1,12,2,0,0,272.0,421.0,5.0,53.0,19,2,0
26,Genoa,25-02-2022,Giornata n. 27,Casa,N,0,Inter,0,7,1,0,0,157.0,266.0,0.0,29.0,12,1,0
27,Genoa,06-03-2022,Giornata n. 28,Casa,N,0,Empoli,0,19,6,0,0,336.0,458.0,7.0,52.0,15,4,0
28,Genoa,13-03-2022,Giornata n. 29,Ospiti,N,0,Atalanta,0,13,3,0,0,291.0,455.0,3.0,41.0,18,0,0
29,Genoa,18-03-2022,Giornata n. 30,Casa,V,1,Torino,0,7,2,0,0,134.0,239.0,2.0,26.0,13,3,1
30,Genoa,04-04-2022,Giornata n. 31,Ospiti,P,0,Hellas Verona,1,7,4,0,0,295.0,465.0,5.0,54.0,15,3,0
31,Genoa,10-04-2022,Giornata n. 32,Casa,P,1,Lazio,4,15,4,0,0,349.0,442.0,3.0,44.0,9,0,0
32,Genoa,15-04-2022,Giornata n. 33,Ospiti,P,0,Milan,2,7,1,0,0,274.0,382.0,1.0,42.0,22,2,0
33,Genoa,24-04-2022,Giornata n. 34,Casa,V,1,Cagliari,0,13,2,0,0,242.0,414.0,2.0,53.0,22,3,0
34,Genoa,30-04-2022,Giornata n. 35,Ospiti,P,0,Sampdoria,1,13,4,0,1,272.0,400.0,2.0,52.0,26,1,0
35,Genoa,06-05-2022,Giornata n. 36,Casa,V,2,Juventus,1,17,5,1,1,366.0,470.0,9.0,47.0,13,2,0
36,Genoa,15-05-2022,Giornata n. 37,Ospiti,P,0,Napoli,3,11,3,0,0,236.0,308.0,2.0,34.0,21,1,0
37,Genoa,21-05-2022,Giornata n. 38,Casa,P,0,Bologna,1,18,5,0,0,324.0,435.0,9.0,50.0,20,3,0
