,Squadra,Data,Girone,Stadio,Risultato,Rf,Avversario,Rs,Tiri,Tiri.1,Rigori,Rig T,Compl,Tent,Angoli,Poss.,Falli,Amm.,Esp.
0,Hellas Verona,21-08-2021,Giornata n. 1,Casa,P,2,Sassuolo,3,14,3,1,1,282.0,361.0,7.0,40.0,10,3,1
1,Hellas Verona,27-08-2021,Giornata n. 2,Casa,P,1,Inter,3,8,1,0,0,280.0,367.0,6.0,43.0,13,2,0
2,Hellas Verona,13-09-2021,Giornata n. 3,Ospiti,P,0,Bologna,1,5,0,0,0,393.0,480.0,2.0,57.0,24,3,0
3,Hellas Verona,19-09-2021,Giornata n. 4,Casa,V,3,Roma,2,10,6,0,0,367.0,468.0,3.0,53.0,18,4,0
4,Hellas Verona,22-09-2021,Giornata n. 5,Ospiti,N,2,Salernitana,2,9,5,0,0,314.0,423.0,5.0,50.0,19,3,0
5,Hellas Verona,25-09-2021,Giornata n. 6,Ospiti,N,3,Genoa,3,11,6,1,1,358.0,475.0,2.0,51.0,15,1,0
6,Hellas Verona,03-10-2021,Giornata n. 7,Casa,V,4,Spezia,0,6,4,0,0,345.0,428.0,1.0,45.0,17,1,0
7,Hellas Verona,16-10-2021,Giornata n. 8,Ospiti,P,2,Milan,3,9,4,1,1,285.0,395.0,4.0,47.0,21,4,0
8,Hellas Verona,24-10-2021,Giornata n. 9,Casa,V,4,Lazio,1,16,7,0,0,416.0,525.0,3.0,49.0,15,2,0
9,Hellas Verona,27-10-2021,Giornata n. 10,Ospiti,N,1,Udinese,1,4,1,1,1,487.0,583.0,4.0,66.0,12,2,0
10,Hellas Verona,30-10-2021,Giornata n. 11,Casa,V,2,Juventus,1,12,5,0,0,385.0,487.0,4.0,45.0,25,4,0
11,Hellas Verona,07-11-2021,Giornata n. 12,Ospiti,N,1,Napoli,1,11,3,0,0,304.0,390.0,2.0,42.0,18,7,2
12,Hellas Verona,22-11-2021,Giornata n. 13,Casa,V,2,Empoli,1,22,4,0,0,403.0,515.0,1.0,56.0,8,1,0
13,Hellas Verona,27-11-2021,Giornata n. 14,Ospiti,P,1,Sampdoria,3,15,4,0,0,405.0,495.0,5.0,58.0,17,1,0
14,Hellas Verona,30-11-2021,Giornata n. 15,Casa,N,0,Cagliari,0,15,6,0,0,524.0,639.0,11.0,68.0,17,3,0
15,Hellas Verona,05-12-2021,Giornata n. 16,Ospiti,V,4,Venezia,3,15,5,1,1,376.0,483.0,6.0,56.0,15,2,0
16,Hellas Verona,12-12-2021,Giornata n. 17,Casa,P,1,Atalanta,2,19,3,0,0,345.0,513.0,6.0,53.0,14,2,0
