,Squadra,Data,Girone,Stadio,Risultato,Rf,Avversario,Rs,Tiri,Tiri.1,Rigori,Rig T,Compl,Tent,Angoli,Poss.,Falli,Amm.,Esp.
0,Inter,21-08-2021,Giornata n. 1,Casa,V,4,Genoa,0,17,8,0,0,563.0,630.0,8.0,59.0,18,1,0
1,Inter,27-08-2021,Giornata n. 2,Ospiti,V,3,Hellas Verona,1,16,8,0,0,388.0,492.0,4.0,57.0,11,2,0
2,Inter,12-09-2021,Giornata n. 3,Ospiti,N,2,Sampdoria,2,8,3,0,0,318.0,418.0,4.0,48.0,14,4,0
3,Inter,18-09-2021,Giornata n. 4,Casa,V,6,Bologna,1,19,11,0,0,412.0,464.0,5.0,46.0,11,0,0
4,Inter,21-09-2021,Giornata n. 5,Ospiti,V,3,Fiorentina,1,17,5,0,0,400.0,472.0,8.0,47.0,17,3,0
5,Inter,25-09-2021,Giornata n. 6,Casa,N,2,Atalanta,2,17,6,0,1,337.0,430.0,4.0,50.0,16,3,0
6,Inter,02-10-2021,Giornata n. 7,Ospiti,V,2,Sassuolo,1,16,2,1,1,348.0,436.0,8.0,45.0,21,2,0
7,Inter,16-10-2021,Giornata n. 8,Ospiti,P,1,Lazio,3,11,3,1,1,470.0,554.0,3.0,48.0,12,6,0
8,Inter,24-10-2021,Giornata n. 9,Casa,N,1,Juventus,1,10,2,0,0,407.0,515.0,5.0,49.0,17,2,0
9,Inter,27-10-2021,Giornata n. 10,Ospiti,V,2,Empoli,0,21,9,0,0,607.0,684.0,6.0,69.0,16,3,0
10,Inter,31-10-2021,Giornata n. 11,Casa,V,2,Udinese,0,15,5,0,0,592.0,668.0,6.0,66.0,11,0,0
11,Inter,07-11-2021,Giornata n. 12,Ospiti,N,1,Milan,1,12,0,1,2,333.0,426.0,8.0,49.0,11,0,0
12,Inter,21-11-2021,Giornata n. 13,Casa,V,3,Napoli,2,16,6,1,1,328.0,408.0,4.0,44.0,18,4,0
13,Inter,27-11-2021,Giornata n. 14,Ospiti,V,2,Venezia,0,26,10,1,1,540.0,619.0,9.0,56.0,8,0,0
14,Inter,01-12-2021,Giornata n. 15,Casa,V,2,Spezia,0,30,10,1,1,618.0,697.0,11.0,63.0,19,1,0
15,Inter,04-12-2021,Giornata n. 16,Ospiti,V,3,Roma,0,10,4,0,0,736.0,803.0,3.0,66.0,7,1,0
16,Inter,12-12-2021,Giornata n. 17,Casa,V,4,Cagliari,0,23,14,0,1,731.0,814.0,9.0,75.0,9,1,0
17,Inter,17-12-2021,Giornata n. 18,Ospiti,V,5,Salernitana,0,23,8,0,0,590.0,666.0,10.0,65.0,12,2,0
18,Inter,22-12-2021,Giornata n. 19,Casa,V,1,Torino,0,15,3,0,0,413.0,526.0,7.0,54.0,12,1,0
19,Inter,09-01-2022,Giornata n. 21,Casa,V,2,Lazio,1,17,5,0,0,602.0,681.0,4.0,60.0,11,1,0
20,Inter,16-01-2022,Giornata n. 22,Ospiti,N,0,Atalanta,0,11,3,0,0,597.0,699.0,4.0,63.0,12,2,0
21,Inter,22-01-2022,Giornata n. 23,Casa,V,2,Venezia,1,24,12,0,0,639.0,752.0,6.0,71.0,14,3,0
22,Inter,05-02-2022,Giornata n. 24,Casa,P,1,Milan,2,12,5,0,0,318.0,396.0,6.0,46.0,22,2,0
23,Inter,12-02-2022,Giornata n. 25,Ospiti,N,1,Napoli,1,8,2,0,0,485.0,564.0,2.0,51.0,14,1,0
24,Inter,20-02-2022,Giornata n. 26,Casa,P,0,Sassuolo,2,29,7,0,0,537.0,628.0,8.0,58.0,12,1,0
25,Inter,25-02-2022,Giornata n. 27,Ospiti,N,0,Genoa,0,21,4,0,0,529.0,652.0,14.0,71.0,10,1,0
26,Inter,04-03-2022,Giornata n. 28,Casa,V,5,Salernitana,0,23,12,0,0,503.0,575.0,10.0,60.0,12,2,0
27,Inter,13-03-2022,Giornata n. 29,Ospiti,N,1,Torino,1,14,6,0,0,403.0,529.0,4.0,56.0,21,5,0
28,Inter,19-03-2022,Giornata n. 30,Casa,N,1,Fiorentina,1,13,5,0,0,433.0,525.0,5.0,50.0,15,1,0
29,Inter,03-04-2022,Giornata n. 31,Ospiti,V,1,Juventus,0,5,1,1,1,376.0,461.0,1.0,46.0,20,4,0
30,Inter,09-04-2022,Giornata n. 32,Casa,V,2,Hellas Verona,0,18,6,0,0,335.0,455.0,10.0,48.0,14,2,0
31,Inter,15-04-2022,Giornata n. 33,Ospiti,V,3,Spezia,1,23,7,0,0,541.0,644.0,7.0,66.0,12,0,0
32,Inter,23-04-2022,Giornata n. 34,Casa,V,3,Roma,1,11,8,0,0,408.0,491.0,4.0,45.0,11,2,0
33,Inter,27-04-2022,Giornata n. 20,Ospiti,P,1,Bologna,2,26,6,0,0,534.0,629.0,7.0,59.0,11,3,0
34,Inter,01-05-2022,Giornata n. 35,Ospiti,V,2,Udinese,1,11,4,0,1,434.0,509.0,11.0,52.0,11,1,0
35,Inter,06-05-2022,Giornata n. 36,Casa,V,4,Empoli,2,37,10,0,0,558.0,638.0,14.0,64.0,10,1,0
36,Inter,15-05-2022,Giornata n. 37,Ospiti,V,3,Cagliari,1,17,7,0,0,527.0,601.0,5.0,62.0,15,2,0
37,Inter,22-05-2022,Giornata n. 38,Casa,V,3,Sampdoria,0,28,11,0,0,615.0,679.0,8.0,58.0,6,1,0
