,Squadra,Data,Girone,Stadio,Risultato,Rf,Avversario,Rs,Tiri,Tiri.1,Rigori,Rig T,Compl,Tent,Angoli,Poss.,Falli,Amm.,Esp.
0,Juventus,22-08-2021,Giornata n. 1,Ospiti,N,2,Udinese,2,10,3,0,0,480.0,551.0,3.0,56.0,16,3,0
1,Juventus,28-08-2021,Giornata n. 2,Casa,P,0,Empoli,1,19,5,0,0,377.0,461.0,8.0,54.0,15,2,0
2,Juventus,11-09-2021,Giornata n. 3,Ospiti,P,1,Napoli,2,8,4,0,0,264.0,330.0,1.0,33.0,16,1,0
3,Juventus,19-09-2021,Giornata n. 4,Casa,N,1,Milan,1,9,4,0,0,343.0,413.0,4.0,44.0,15,1,0
4,Juventus,22-09-2021,Giornata n. 5,Ospiti,V,3,Spezia,2,26,9,0,0,458.0,548.0,15.0,59.0,10,1,0
5,Juventus,26-09-2021,Giornata n. 6,Casa,V,3,Sampdoria,2,15,5,1,1,387.0,478.0,4.0,50.0,24,4,0
6,Juventus,02-10-2021,Giornata n. 7,Ospiti,V,1,Torino,0,10,3,0,0,386.0,488.0,6.0,52.0,16,1,0
7,Juventus,17-10-2021,Giornata n. 8,Casa,V,1,Roma,0,7,3,0,0,426.0,505.0,0.0,47.0,20,3,0
8,Juventus,24-10-2021,Giornata n. 9,Ospiti,N,1,Inter,1,15,3,1,1,443.0,533.0,2.0,51.0,19,2,0
9,Juventus,27-10-2021,Giornata n. 10,Casa,P,1,Sassuolo,2,14,2,0,0,471.0,558.0,4.0,57.0,23,1,0
10,Juventus,30-10-2021,Giornata n. 11,Ospiti,P,1,Hellas Verona,2,15,4,0,0,477.0,590.0,1.0,55.0,7,3,0
11,Juventus,06-11-2021,Giornata n. 12,Casa,V,1,Fiorentina,0,13,3,0,0,344.0,428.0,5.0,50.0,17,2,0
12,Juventus,20-11-2021,Giornata n. 13,Ospiti,V,2,Lazio,0,9,3,2,2,431.0,505.0,2.0,43.0,16,1,0
13,Juventus,27-11-2021,Giornata n. 14,Casa,P,0,Atalanta,1,15,2,0,0,491.0,586.0,6.0,59.0,16,4,0
14,Juventus,30-11-2021,Giornata n. 15,Ospiti,V,2,Salernitana,0,17,7,0,1,775.0,850.0,4.0,73.0,11,1,0
15,Juventus,05-12-2021,Giornata n. 16,Casa,V,2,Genoa,0,27,12,0,0,705.0,785.0,4.0,70.0,15,3,0
16,Juventus,11-12-2021,Giornata n. 17,Ospiti,N,1,Venezia,1,20,6,0,0,501.0,611.0,11.0,60.0,13,2,0
17,Juventus,18-12-2021,Giornata n. 18,Ospiti,V,2,Bologna,0,11,7,0,0,346.0,435.0,3.0,43.0,20,1,0
18,Juventus,21-12-2021,Giornata n. 19,Casa,V,2,Cagliari,0,15,4,0,0,528.0,623.0,7.0,63.0,18,0,0
19,Juventus,06-01-2022,Giornata n. 20,Casa,N,1,Napoli,1,22,5,0,0,420.0,493.0,4.0,44.0,8,2,0
20,Juventus,09-01-2022,Giornata n. 21,Ospiti,V,4,Roma,3,14,5,0,0,349.0,417.0,1.0,47.0,12,4,1
21,Juventus,15-01-2022,Giornata n. 22,Casa,V,2,Udinese,0,14,4,0,0,621.0,710.0,7.0,66.0,14,1,0
22,Juventus,23-01-2022,Giornata n. 23,Ospiti,N,0,Milan,0,8,0,0,0,478.0,559.0,1.0,53.0,22,2,0
23,Juventus,06-02-2022,Giornata n. 24,Casa,V,2,Hellas Verona,0,11,8,0,0,362.0,461.0,6.0,46.0,12,1,0
24,Juventus,13-02-2022,Giornata n. 25,Ospiti,N,1,Atalanta,1,15,6,0,0,396.0,504.0,8.0,48.0,12,3,0
25,Juventus,18-02-2022,Giornata n. 26,Casa,N,1,Torino,1,12,3,0,0,318.0,412.0,7.0,46.0,17,1,0
26,Juventus,26-02-2022,Giornata n. 27,Ospiti,V,3,Empoli,2,12,5,0,0,372.0,463.0,3.0,47.0,8,0,0
27,Juventus,06-03-2022,Giornata n. 28,Casa,V,1,Spezia,0,10,3,0,0,534.0,616.0,4.0,56.0,15,3,0
28,Juventus,12-03-2022,Giornata n. 29,Ospiti,V,3,Sampdoria,1,5,2,1,1,525.0,594.0,0.0,51.0,17,2,0
29,Juventus,20-03-2022,Giornata n. 30,Casa,V,2,Salernitana,0,12,7,0,0,477.0,557.0,5.0,56.0,11,3,0
30,Juventus,03-04-2022,Giornata n. 31,Casa,P,0,Inter,1,22,5,0,0,449.0,543.0,8.0,54.0,10,4,1
31,Juventus,09-04-2022,Giornata n. 32,Ospiti,V,2,Cagliari,1,20,7,0,0,436.0,533.0,4.0,59.0,10,0,0
32,Juventus,16-04-2022,Giornata n. 33,Casa,N,1,Bologna,1,24,4,0,0,373.0,443.0,4.0,51.0,11,1,0
33,Juventus,25-04-2022,Giornata n. 34,Ospiti,V,2,Sassuolo,1,10,5,0,0,336.0,416.0,4.0,38.0,10,2,0
34,Juventus,01-05-2022,Giornata n. 35,Casa,V,2,Venezia,1,18,4,0,0,381.0,455.0,8.0,50.0,18,3,0
35,Juventus,06-05-2022,Giornata n. 36,Ospiti,P,1,Genoa,2,13,4,0,0,442.0,540.0,2.0,53.0,15,3,0
36,Juventus,16-05-2022,Giornata n. 37,Casa,N,2,Lazio,2,4,2,0,0,315.0,369.0,0.0,37.0,20,3,0
37,Juventus,21-05-2022,Giornata n. 38,Ospiti,P,0,Fiorentina,2,1,0,0,0,304.0,374.0,2.0,34.0,14,3,0
