,Squadra,Data,Girone,Stadio,Risultato,Rf,Avversario,Rs,Tiri,Tiri.1,Rigori,Rig T,Compl,Tent,Angoli,Poss.,Falli,Amm.,Esp.
0,Lazio,21-08-2021,Giornata n. 1,Ospiti,V,3,Empoli,1,7,3,1,1,517.0,589.0,3.0,54.0,10,1,0
1,Lazio,28-08-2021,Giornata n. 2,Casa,V,6,Spezia,1,17,9,0,1,654.0,717.0,4.0,61.0,13,0,0
2,Lazio,12-09-2021,Giornata n. 3,Ospiti,P,0,Milan,2,8,5,0,0,488.0,570.0,1.0,53.0,19,4,0
3,Lazio,19-09-2021,Giornata n. 4,Casa,N,2,Cagliari,2,28,10,0,0,646.0,748.0,10.0,72.0,5,1,0
4,Lazio,23-09-2021,Giornata n. 5,Ospiti,N,1,Torino,1,5,1,1,1,378.0,499.0,5.0,55.0,9,3,0
5,Lazio,26-09-2021,Giornata n. 6,Casa,V,3,Roma,2,10,4,0,0,406.0,475.0,1.0,50.0,16,2,0
6,Lazio,03-10-2021,Giornata n. 7,Ospiti,P,0,Bologna,3,8,4,0,0,570.0,665.0,3.0,59.0,18,5,1
7,Lazio,16-10-2021,Giornata n. 8,Casa,V,3,Inter,1,18,7,1,1,533.0,595.0,7.0,52.0,13,3,1
8,Lazio,24-10-2021,Giornata n. 9,Ospiti,P,1,Hellas Verona,4,9,4,0,0,428.0,543.0,4.0,51.0,17,2,0
9,Lazio,27-10-2021,Giornata n. 10,Casa,V,1,Fiorentina,0,5,2,0,0,472.0,555.0,3.0,49.0,17,3,0
10,Lazio,30-10-2021,Giornata n. 11,Ospiti,N,2,Atalanta,2,8,5,0,0,395.0,489.0,2.0,44.0,15,3,0
11,Lazio,07-11-2021,Giornata n. 12,Casa,V,3,Salernitana,0,17,5,0,0,640.0,712.0,5.0,60.0,8,1,0
12,Lazio,20-11-2021,Giornata n. 13,Casa,P,0,Juventus,2,8,1,0,0,580.0,662.0,3.0,57.0,12,3,0
13,Lazio,28-11-2021,Giornata n. 14,Ospiti,P,0,Napoli,4,6,2,0,0,446.0,514.0,3.0,38.0,15,4,0
14,Lazio,02-12-2021,Giornata n. 15,Casa,N,4,Udinese,4,13,5,0,0,517.0,607.0,5.0,62.0,11,3,1
15,Lazio,05-12-2021,Giornata n. 16,Ospiti,V,3,Sampdoria,1,6,5,0,0,503.0,600.0,0.0,52.0,10,3,1
16,Lazio,12-12-2021,Giornata n. 17,Ospiti,P,1,Sassuolo,2,6,2,0,0,388.0,474.0,0.0,41.0,12,2,0
17,Lazio,17-12-2021,Giornata n. 18,Casa,V,3,Genoa,1,11,5,0,0,586.0,677.0,5.0,55.0,9,0,0
18,Lazio,22-12-2021,Giornata n. 19,Ospiti,V,3,Venezia,1,7,4,0,0,510.0,587.0,4.0,53.0,12,3,0
19,Lazio,06-01-2022,Giornata n. 20,Casa,N,3,Empoli,3,22,8,0,1,503.0,586.0,9.0,62.0,14,4,0
20,Lazio,09-01-2022,Giornata n. 21,Ospiti,P,1,Inter,2,5,2,0,0,373.0,456.0,3.0,40.0,17,4,0
21,Lazio,15-01-2022,Giornata n. 22,Ospiti,V,3,Salernitana,0,15,8,0,0,841.0,917.0,7.0,73.0,16,3,0
22,Lazio,22-01-2022,Giornata n. 23,Casa,N,0,Atalanta,0,9,1,0,0,639.0,741.0,4.0,61.0,10,0,0
23,Lazio,05-02-2022,Giornata n. 24,Ospiti,V,3,Fiorentina,0,12,7,0,0,445.0,520.0,3.0,50.0,16,5,0
24,Lazio,12-02-2022,Giornata n. 25,Casa,V,3,Bologna,0,11,5,1,1,549.0,634.0,5.0,57.0,13,2,0
25,Lazio,20-02-2022,Giornata n. 26,Ospiti,N,1,Udinese,1,10,2,0,0,503.0,588.0,12.0,59.0,9,2,0
26,Lazio,27-02-2022,Giornata n. 27,Casa,P,1,Napoli,2,13,8,0,0,497.0,568.0,1.0,45.0,14,3,0
27,Lazio,05-03-2022,Giornata n. 28,Ospiti,V,3,Cagliari,0,14,4,1,1,477.0,587.0,6.0,55.0,13,2,1
28,Lazio,14-03-2022,Giornata n. 29,Casa,V,1,Venezia,0,9,0,1,1,670.0,760.0,8.0,66.0,10,1,0
29,Lazio,20-03-2022,Giornata n. 30,Ospiti,P,0,Roma,3,9,3,0,0,577.0,669.0,3.0,66.0,14,3,0
30,Lazio,02-04-2022,Giornata n. 31,Casa,V,2,Sassuolo,1,14,5,0,0,570.0,638.0,4.0,54.0,11,1,0
31,Lazio,10-04-2022,Giornata n. 32,Ospiti,V,4,Genoa,1,17,11,0,0,467.0,573.0,6.0,56.0,9,1,0
32,Lazio,16-04-2022,Giornata n. 33,Casa,N,1,Torino,1,10,4,0,0,414.0,512.0,9.0,48.0,10,1,0
33,Lazio,24-04-2022,Giornata n. 34,Casa,P,1,Milan,2,7,2,0,0,345.0,437.0,2.0,47.0,14,3,0
34,Lazio,30-04-2022,Giornata n. 35,Ospiti,V,4,Spezia,3,21,8,1,1,580.0,677.0,5.0,70.0,10,1,0
35,Lazio,07-05-2022,Giornata n. 36,Casa,V,2,Sampdoria,0,16,10,0,0,678.0,759.0,6.0,60.0,10,1,0
36,Lazio,16-05-2022,Giornata n. 37,Ospiti,N,2,Juventus,2,18,7,0,0,555.0,627.0,9.0,63.0,17,3,0
37,Lazio,21-05-2022,Giornata n. 38,Casa,N,3,Hellas Verona,3,19,7,0,0,354.0,443.0,6.0,53.0,9,2,0
