,Squadra,Data,Girone,Stadio,Risultato,Rf,Avversario,Rs,Tiri,Tiri.1,Rigori,Rig T,Compl,Tent,Angoli,Poss.,Falli,Amm.,Esp.
0,Napoli,22-08-2021,Giornata n. 1,Casa,V,2,Venezia,0,11,3,1,2,520.0,586.0,2.0,56.0,4,1,1
1,Napoli,29-08-2021,Giornata n. 2,Ospiti,V,2,Genoa,1,13,8,0,0,532.0,622.0,5.0,61.0,18,3,0
2,Napoli,11-09-2021,Giornata n. 3,Casa,V,2,Juventus,1,25,7,0,0,585.0,666.0,13.0,67.0,15,2,0
3,Napoli,20-09-2021,Giornata n. 4,Ospiti,V,4,Udinese,0,18,8,0,0,618.0,683.0,5.0,63.0,12,1,0
4,Napoli,23-09-2021,Giornata n. 5,Ospiti,V,4,Sampdoria,0,17,9,0,0,481.0,552.0,5.0,52.0,8,1,0
5,Napoli,26-09-2021,Giornata n. 6,Casa,V,2,Cagliari,0,16,6,1,1,696.0,766.0,6.0,67.0,11,2,0
6,Napoli,03-10-2021,Giornata n. 7,Ospiti,V,2,Fiorentina,1,11,4,0,1,344.0,418.0,2.0,45.0,13,3,0
7,Napoli,17-10-2021,Giornata n. 8,Casa,V,1,Torino,0,10,2,0,1,333.0,440.0,3.0,51.0,6,2,0
8,Napoli,24-10-2021,Giornata n. 9,Ospiti,N,0,Roma,0,11,2,0,0,485.0,568.0,4.0,62.0,10,1,0
9,Napoli,28-10-2021,Giornata n. 10,Casa,V,3,Bologna,0,16,4,2,2,665.0,719.0,4.0,65.0,20,1,0
10,Napoli,31-10-2021,Giornata n. 11,Ospiti,V,1,Salernitana,0,18,4,0,0,482.0,561.0,4.0,62.0,13,2,1
11,Napoli,07-11-2021,Giornata n. 12,Casa,N,1,Hellas Verona,1,16,1,0,0,454.0,543.0,3.0,58.0,16,2,0
12,Napoli,21-11-2021,Giornata n. 13,Ospiti,P,2,Inter,3,9,3,0,0,431.0,517.0,1.0,56.0,19,3,0
13,Napoli,28-11-2021,Giornata n. 14,Casa,V,4,Lazio,0,18,8,0,0,759.0,822.0,1.0,62.0,12,2,0
14,Napoli,01-12-2021,Giornata n. 15,Ospiti,N,2,Sassuolo,2,9,4,0,0,413.0,502.0,4.0,50.0,20,2,0
15,Napoli,04-12-2021,Giornata n. 16,Casa,P,2,Atalanta,3,15,4,0,0,481.0,568.0,6.0,55.0,19,2,0
16,Napoli,12-12-2021,Giornata n. 17,Casa,P,0,Empoli,1,30,6,0,0,522.0,616.0,10.0,60.0,8,0,0
17,Napoli,19-12-2021,Giornata n. 18,Ospiti,V,1,Milan,0,11,2,0,0,448.0,552.0,5.0,52.0,21,2,0
18,Napoli,22-12-2021,Giornata n. 19,Casa,P,0,Spezia,1,27,6,0,0,562.0,653.0,10.0,65.0,15,2,0
19,Napoli,06-01-2022,Giornata n. 20,Ospiti,N,1,Juventus,1,16,4,0,0,544.0,627.0,3.0,56.0,12,1,0
20,Napoli,09-01-2022,Giornata n. 21,Casa,V,1,Sampdoria,0,22,5,0,0,672.0,758.0,13.0,69.0,13,0,0
21,Napoli,17-01-2022,Giornata n. 22,Ospiti,V,2,Bologna,0,14,5,0,0,579.0,678.0,4.0,61.0,11,1,0
22,Napoli,23-01-2022,Giornata n. 23,Casa,V,4,Salernitana,1,24,12,2,2,895.0,981.0,10.0,81.0,9,0,0
23,Napoli,06-02-2022,Giornata n. 24,Ospiti,V,2,Venezia,0,16,6,0,0,672.0,780.0,6.0,66.0,11,2,0
24,Napoli,12-02-2022,Giornata n. 25,Casa,N,1,Inter,1,12,3,1,1,456.0,534.0,4.0,49.0,7,1,0
25,Napoli,21-02-2022,Giornata n. 26,Ospiti,N,1,Cagliari,1,7,3,0,0,363.0,494.0,5.0,54.0,22,2,0
26,Napoli,27-02-2022,Giornata n. 27,Ospiti,V,2,Lazio,1,14,7,0,0,601.0,690.0,5.0,55.0,17,2,0
27,Napoli,06-03-2022,Giornata n. 28,Casa,P,0,Milan,1,10,3,0,0,497.0,581.0,6.0,60.0,10,4,0
28,Napoli,13-03-2022,Giornata n. 29,Ospiti,V,2,Hellas Verona,1,13,4,0,0,375.0,485.0,5.0,51.0,9,0,0
29,Napoli,19-03-2022,Giornata n. 30,Casa,V,2,Udinese,1,20,8,0,0,531.0,621.0,7.0,64.0,10,2,0
30,Napoli,03-04-2022,Giornata n. 31,Ospiti,V,3,Atalanta,1,5,4,1,1,368.0,473.0,1.0,45.0,12,3,0
31,Napoli,10-04-2022,Giornata n. 32,Casa,P,2,Fiorentina,3,15,3,0,0,437.0,528.0,3.0,50.0,14,0,0
32,Napoli,18-04-2022,Giornata n. 33,Casa,N,1,Roma,1,8,3,1,1,370.0,456.0,5.0,49.0,23,4,0
33,Napoli,24-04-2022,Giornata n. 34,Ospiti,P,2,Empoli,3,16,2,0,0,451.0,557.0,7.0,58.0,10,1,0
34,Napoli,30-04-2022,Giornata n. 35,Casa,V,6,Sassuolo,1,18,8,0,0,519.0,580.0,4.0,53.0,12,0,0
35,Napoli,07-05-2022,Giornata n. 36,Ospiti,V,1,Torino,0,10,4,0,1,429.0,504.0,4.0,57.0,12,3,0
36,Napoli,15-05-2022,Giornata n. 37,Casa,V,3,Genoa,0,16,8,1,1,487.0,585.0,9.0,66.0,13,1,0
37,Napoli,22-05-2022,Giornata n. 38,Ospiti,V,3,Spezia,0,10,4,0,0,641.0,722.0,2.0,68.0,9,2,0
