,Squadra,Data,Girone,Stadio,Risultato,Rf,Avversario,Rs,Tiri,Tiri.1,Rigori,Rig T,Compl,Tent,Angoli,Poss.,Falli,Amm.,Esp.
0,Roma,22-08-2021,Giornata n. 1,Casa,V,3,Fiorentina,1,11.0,6.0,0,0,334.0,407.0,4.0,42.0,13.0,3,1
1,Roma,29-08-2021,Giornata n. 2,Ospiti,V,4,Salernitana,0,28.0,9.0,0,0,664.0,752.0,10.0,77.0,11.0,2,0
2,Roma,12-09-2021,Giornata n. 3,Casa,V,2,Sassuolo,1,18.0,6.0,0,0,413.0,480.0,4.0,49.0,7.0,2,0
3,Roma,19-09-2021,Giornata n. 4,Ospiti,P,2,Hellas Verona,3,15.0,2.0,0,0,294.0,410.0,8.0,47.0,17.0,2,0
4,Roma,23-09-2021,Giornata n. 5,Casa,V,1,Udinese,0,12.0,2.0,0,0,455.0,544.0,6.0,52.0,23.0,4,1
5,Roma,26-09-2021,Giornata n. 6,Ospiti,P,2,Lazio,3,19.0,6.0,1,1,409.0,481.0,9.0,50.0,14.0,4,0
6,Roma,03-10-2021,Giornata n. 7,Casa,V,2,Empoli,0,18.0,5.0,0,0,580.0,644.0,5.0,64.0,13.0,2,0
7,Roma,17-10-2021,Giornata n. 8,Ospiti,P,0,Juventus,1,14.0,3.0,0,1,470.0,561.0,6.0,53.0,15.0,5,0
8,Roma,24-10-2021,Giornata n. 9,Casa,N,0,Napoli,0,13.0,1.0,0,0,277.0,352.0,7.0,38.0,14.0,4,0
9,Roma,27-10-2021,Giornata n. 10,Ospiti,V,2,Cagliari,1,23.0,3.0,0,0,402.0,488.0,10.0,58.0,19.0,4,0
10,Roma,31-10-2021,Giornata n. 11,Casa,P,1,Milan,2,24.0,6.0,0,0,351.0,425.0,5.0,50.0,23.0,4,0
11,Roma,07-11-2021,Giornata n. 12,Ospiti,P,2,Venezia,3,28.0,8.0,0,0,430.0,535.0,11.0,61.0,19.0,2,0
12,Roma,21-11-2021,Giornata n. 13,Ospiti,V,2,Genoa,0,18.0,3.0,0,0,515.0,609.0,7.0,59.0,15.0,2,0
13,Roma,28-11-2021,Giornata n. 14,Casa,V,1,Torino,0,10.0,2.0,0,0,227.0,306.0,2.0,32.0,8.0,2,0
14,Roma,01-12-2021,Giornata n. 15,Ospiti,P,0,Bologna,1,13.0,5.0,0,0,478.0,571.0,3.0,58.0,18.0,4,0
15,Roma,04-12-2021,Giornata n. 16,Casa,P,0,Inter,3,9.0,1.0,0,0,357.0,414.0,4.0,34.0,12.0,3,0
16,Roma,13-12-2021,Giornata n. 17,Casa,V,2,Spezia,0,12.0,5.0,0,0,456.0,555.0,9.0,52.0,13.0,4,1
17,Roma,18-12-2021,Giornata n. 18,Ospiti,V,4,Atalanta,1,8.0,5.0,0,0,222.0,294.0,0.0,29.0,18.0,3,0
18,Roma,22-12-2021,Giornata n. 19,Casa,N,1,Sampdoria,1,15.0,4.0,0,0,469.0,589.0,10.0,54.0,6.0,0,0
19,Roma,06-01-2022,Giornata n. 20,Ospiti,P,1,Milan,3,11.0,5.0,0,0,274.0,364.0,9.0,45.0,20.0,7,2
20,Roma,09-01-2022,Giornata n. 21,Casa,P,3,Juventus,4,19.0,6.0,0,1,369.0,471.0,8.0,53.0,13.0,3,0
21,Roma,16-01-2022,Giornata n. 22,Casa,V,1,Cagliari,0,14.0,6.0,1,1,475.0,579.0,1.0,56.0,15.0,3,0
22,Roma,23-01-2022,Giornata n. 23,Ospiti,V,4,Empoli,2,16.0,7.0,0,0,306.0,395.0,3.0,42.0,17.0,2,0
