,Squadra,Data,Girone,Stadio,Risultato,Rf,Avversario,Rs,Tiri,Tiri.1,Rigori,Rig T,Compl,Tent,Angoli,Poss.,Falli,Amm.,Esp.
0,Salernitana,22-08-2021,Giornata n. 1,Ospiti,P,2,Bologna,3,9,3,1,1,130.0,233.0,4.0,28.0,14,3,1
1,Salernitana,29-08-2021,Giornata n. 2,Casa,P,0,Roma,4,5,0,0,0,114.0,219.0,1.0,23.0,14,2,0
2,Salernitana,12-09-2021,Giornata n. 3,Ospiti,P,0,Torino,4,8,2,0,0,263.0,367.0,4.0,40.0,11,2,0
3,Salernitana,18-09-2021,Giornata n. 4,Casa,P,0,Atalanta,1,11,1,0,0,310.0,425.0,6.0,43.0,22,4,0
4,Salernitana,22-09-2021,Giornata n. 5,Casa,N,2,Hellas Verona,2,15,4,0,0,304.0,420.0,4.0,50.0,13,2,0
5,Salernitana,26-09-2021,Giornata n. 6,Ospiti,P,0,Sassuolo,1,12,4,0,0,277.0,371.0,8.0,43.0,18,3,0
6,Salernitana,02-10-2021,Giornata n. 7,Casa,V,1,Genoa,0,10,4,0,0,308.0,419.0,9.0,50.0,20,2,0
7,Salernitana,16-10-2021,Giornata n. 8,Ospiti,P,1,Spezia,2,15,4,0,0,244.0,352.0,2.0,41.0,17,3,0
8,Salernitana,23-10-2021,Giornata n. 9,Casa,P,2,Empoli,4,12,5,0,0,426.0,537.0,7.0,59.0,16,1,0
9,Salernitana,26-10-2021,Giornata n. 10,Ospiti,V,2,Venezia,1,21,7,0,0,440.0,535.0,5.0,55.0,16,3,0
10,Salernitana,31-10-2021,Giornata n. 11,Casa,P,0,Napoli,1,9,2,0,0,254.0,340.0,4.0,38.0,10,0,1
11,Salernitana,07-11-2021,Giornata n. 12,Ospiti,P,0,Lazio,3,5,0,0,0,404.0,476.0,1.0,40.0,14,2,0
12,Salernitana,21-11-2021,Giornata n. 13,Casa,P,0,Sampdoria,2,18,3,0,0,373.0,489.0,13.0,55.0,12,0,0
13,Salernitana,26-11-2021,Giornata n. 14,Ospiti,N,1,Cagliari,1,8,2,0,0,273.0,374.0,6.0,43.0,10,1,0
14,Salernitana,30-11-2021,Giornata n. 15,Casa,P,0,Juventus,2,4,0,0,0,241.0,321.0,4.0,27.0,15,1,0
15,Salernitana,04-12-2021,Giornata n. 16,Ospiti,P,0,Milan,2,7,2,0,0,236.0,317.0,5.0,30.0,11,2,0
16,Salernitana,11-12-2021,Giornata n. 17,Ospiti,P,0,Fiorentina,4,11,6,0,0,251.0,336.0,3.0,30.0,12,1,0
17,Salernitana,17-12-2021,Giornata n. 18,Casa,P,0,Inter,5,10,2,0,0,274.0,353.0,3.0,35.0,11,1,0
18,Salernitana,09-01-2022,Giornata n. 21,Ospiti,V,2,Hellas Verona,1,8,4,1,1,157.0,258.0,4.0,30.0,12,3,0
19,Salernitana,15-01-2022,Giornata n. 22,Casa,P,0,Lazio,3,7,1,0,0,267.0,338.0,3.0,27.0,12,2,0
20,Salernitana,23-01-2022,Giornata n. 23,Ospiti,P,1,Napoli,4,1,1,0,0,145.0,223.0,0.0,19.0,14,4,1
21,Salernitana,07-02-2022,Giornata n. 24,Casa,N,2,Spezia,2,10,5,0,0,395.0,512.0,5.0,56.0,13,3,0
22,Salernitana,13-02-2022,Giornata n. 25,Ospiti,N,1,Genoa,1,12,4,0,0,277.0,396.0,4.0,51.0,11,2,0
23,Salernitana,19-02-2022,Giornata n. 26,Casa,N,2,Milan,2,9,4,0,0,259.0,349.0,4.0,40.0,19,2,0
24,Salernitana,26-02-2022,Giornata n. 27,Casa,N,1,Bologna,1,16,4,0,0,372.0,463.0,6.0,56.0,18,2,0
25,Salernitana,04-03-2022,Giornata n. 28,Ospiti,P,0,Inter,5,11,3,0,0,322.0,384.0,3.0,40.0,8,1,0
26,Salernitana,12-03-2022,Giornata n. 29,Casa,N,2,Sassuolo,2,15,5,0,0,392.0,476.0,5.0,47.0,13,2,0
27,Salernitana,20-03-2022,Giornata n. 30,Ospiti,P,0,Juventus,2,12,4,0,0,364.0,440.0,5.0,44.0,13,2,0
28,Salernitana,02-04-2022,Giornata n. 31,Casa,P,0,Torino,1,14,4,0,0,283.0,410.0,9.0,53.0,16,5,1
29,Salernitana,10-04-2022,Giornata n. 32,Ospiti,P,1,Roma,2,6,3,0,0,203.0,284.0,2.0,34.0,25,8,0
30,Salernitana,16-04-2022,Giornata n. 33,Ospiti,V,2,Sampdoria,1,7,2,0,0,230.0,319.0,2.0,33.0,25,7,0
31,Salernitana,20-04-2022,Giornata n. 19,Ospiti,V,1,Udinese,0,9,2,0,0,275.0,374.0,3.0,46.0,14,5,0
32,Salernitana,24-04-2022,Giornata n. 34,Casa,V,2,Fiorentina,1,10,4,0,0,155.0,246.0,6.0,28.0,17,1,0
33,Salernitana,02-05-2022,Giornata n. 35,Ospiti,N,1,Atalanta,1,11,9,0,0,272.0,375.0,4.0,39.0,11,2,0
34,Salernitana,05-05-2022,Giornata n. 20,Casa,V,2,Venezia,1,18,3,1,1,238.0,331.0,6.0,42.0,12,2,0
35,Salernitana,08-05-2022,Giornata n. 36,Casa,N,1,Cagliari,1,12,2,1,1,283.0,388.0,7.0,48.0,12,5,1
36,Salernitana,14-05-2022,Giornata n. 37,Ospiti,N,1,Empoli,1,28,8,0,1,375.0,471.0,11.0,55.0,9,2,0
37,Salernitana,22-05-2022,Giornata n. 38,Casa,P,0,Udinese,4,25,11,0,0,456.0,528.0,7.0,52.0,11,1,0
