,Squadra,Data,Girone,Stadio,Risultato,Rf,Avversario,Rs,Tiri,Tiri.1,Rigori,Rig T,Compl,Tent,Angoli,Poss.,Falli,Amm.,Esp.
0,Sassuolo,21-08-2021,Giornata n. 1,Ospiti,V,3,Hellas Verona,2,18,7,0,0,481.0,540.0,4.0,60.0,15,2,0
1,Sassuolo,29-08-2021,Giornata n. 2,Casa,N,0,Sampdoria,0,19,5,0,0,529.0,627.0,8.0,63.0,9,2,0
2,Sassuolo,12-09-2021,Giornata n. 3,Ospiti,P,1,Roma,2,14,7,0,0,438.0,508.0,6.0,51.0,11,1,0
3,Sassuolo,17-09-2021,Giornata n. 4,Casa,P,0,Torino,1,10,2,0,0,390.0,485.0,6.0,52.0,9,0,0
4,Sassuolo,21-09-2021,Giornata n. 5,Ospiti,P,1,Atalanta,2,8,1,0,0,431.0,542.0,5.0,53.0,18,2,0
5,Sassuolo,26-09-2021,Giornata n. 6,Casa,V,1,Salernitana,0,17,6,0,0,409.0,491.0,4.0,57.0,17,3,0
6,Sassuolo,02-10-2021,Giornata n. 7,Casa,P,1,Inter,2,11,7,1,1,432.0,524.0,6.0,55.0,11,4,0
7,Sassuolo,17-10-2021,Giornata n. 8,Ospiti,N,2,Genoa,2,15,5,0,0,439.0,517.0,1.0,57.0,22,4,0
8,Sassuolo,23-10-2021,Giornata n. 9,Casa,V,3,Venezia,1,14,7,0,0,584.0,654.0,5.0,63.0,14,1,0
9,Sassuolo,27-10-2021,Giornata n. 10,Ospiti,V,2,Juventus,1,8,4,0,0,346.0,426.0,4.0,43.0,18,5,0
10,Sassuolo,31-10-2021,Giornata n. 11,Casa,P,1,Empoli,2,15,5,0,0,471.0,549.0,4.0,57.0,20,4,0
11,Sassuolo,07-11-2021,Giornata n. 12,Ospiti,P,2,Udinese,3,10,4,0,0,513.0,616.0,5.0,62.0,15,3,0
12,Sassuolo,21-11-2021,Giornata n. 13,Casa,N,2,Cagliari,2,19,3,1,1,469.0,545.0,6.0,58.0,13,1,0
13,Sassuolo,28-11-2021,Giornata n. 14,Ospiti,V,3,Milan,1,15,5,0,0,367.0,458.0,6.0,50.0,8,2,0
14,Sassuolo,01-12-2021,Giornata n. 15,Casa,N,2,Napoli,2,9,7,0,0,441.0,508.0,5.0,50.0,11,4,0
15,Sassuolo,05-12-2021,Giornata n. 16,Ospiti,N,2,Spezia,2,20,5,0,0,566.0,649.0,5.0,65.0,10,3,0
16,Sassuolo,12-12-2021,Giornata n. 17,Casa,V,2,Lazio,1,17,6,0,0,589.0,679.0,6.0,59.0,9,1,1
17,Sassuolo,19-12-2021,Giornata n. 18,Ospiti,N,2,Fiorentina,2,8,4,0,0,343.0,425.0,3.0,43.0,18,5,0
18,Sassuolo,22-12-2021,Giornata n. 19,Casa,P,0,Bologna,3,13,5,0,0,477.0,566.0,5.0,59.0,15,1,0
19,Sassuolo,06-01-2022,Giornata n. 20,Casa,N,1,Genoa,1,28,7,0,0,718.0,810.0,7.0,74.0,8,3,0
20,Sassuolo,09-01-2022,Giornata n. 21,Ospiti,V,5,Empoli,1,24,12,1,1,501.0,584.0,5.0,55.0,17,3,0
21,Sassuolo,16-01-2022,Giornata n. 22,Casa,P,2,Hellas Verona,4,14,5,0,0,378.0,489.0,9.0,55.0,6,2,0
22,Sassuolo,23-01-2022,Giornata n. 23,Ospiti,N,1,Torino,1,6,1,0,0,335.0,442.0,3.0,50.0,18,3,0
23,Sassuolo,06-02-2022,Giornata n. 24,Ospiti,P,0,Sampdoria,4,25,9,0,0,450.0,533.0,9.0,60.0,15,2,0
24,Sassuolo,13-02-2022,Giornata n. 25,Casa,N,2,Roma,2,12,3,0,0,345.0,425.0,4.0,46.0,12,4,1
25,Sassuolo,20-02-2022,Giornata n. 26,Ospiti,V,2,Inter,0,13,5,0,0,367.0,447.0,3.0,42.0,14,2,0
26,Sassuolo,26-02-2022,Giornata n. 27,Casa,V,2,Fiorentina,1,16,6,0,0,376.0,450.0,6.0,49.0,14,1,0
27,Sassuolo,06-03-2022,Giornata n. 28,Ospiti,V,4,Venezia,1,13,7,3,3,433.0,520.0,6.0,55.0,15,1,0
28,Sassuolo,12-03-2022,Giornata n. 29,Ospiti,N,2,Salernitana,2,20,7,0,0,455.0,527.0,5.0,53.0,16,4,1
29,Sassuolo,18-03-2022,Giornata n. 30,Casa,V,4,Spezia,1,14,6,1,1,490.0,578.0,6.0,58.0,14,2,0
30,Sassuolo,02-04-2022,Giornata n. 31,Ospiti,P,1,Lazio,2,20,5,0,0,494.0,554.0,3.0,46.0,8,3,0
31,Sassuolo,10-04-2022,Giornata n. 32,Casa,V,2,Atalanta,1,14,7,0,0,442.0,526.0,8.0,51.0,19,2,0
32,Sassuolo,16-04-2022,Giornata n. 33,Ospiti,P,0,Cagliari,1,8,2,0,0,444.0,563.0,3.0,63.0,11,2,0
33,Sassuolo,25-04-2022,Giornata n. 34,Casa,P,1,Juventus,2,22,7,0,0,619.0,691.0,6.0,62.0,16,2,1
34,Sassuolo,30-04-2022,Giornata n. 35,Ospiti,P,1,Napoli,6,13,4,0,0,445.0,507.0,3.0,47.0,11,3,0
35,Sassuolo,07-05-2022,Giornata n. 36,Casa,N,1,Udinese,1,15,5,0,0,491.0,573.0,6.0,59.0,12,2,0
36,Sassuolo,15-05-2022,Giornata n. 37,Ospiti,V,3,Bologna,1,16,7,0,0,325.0,405.0,9.0,45.0,11,1,0
37,Sassuolo,22-05-2022,Giornata n. 38,Casa,P,0,Milan,3,15,3,0,0,372.0,426.0,3.0,52.0,8,2,0
