,Squadra,Data,Girone,Stadio,Risultato,Rf,Avversario,Rs,Tiri,Tiri.1,Rigori,Rig T,Compl,Tent,Angoli,Poss.,Falli,Amm.,Esp.
0,Spezia,23-08-2021,Giornata n. 1,Ospiti,N,2,Cagliari,2,12,4,0,0,275.0,356.0,4.0,41.0,18,3,0
1,Spezia,28-08-2021,Giornata n. 2,Ospiti,P,1,Lazio,6,5,2,0,0,376.0,455.0,2.0,39.0,10,2,1
2,Spezia,12-09-2021,Giornata n. 3,Casa,P,0,Udinese,1,20,5,0,0,432.0,520.0,4.0,56.0,13,1,0
3,Spezia,19-09-2021,Giornata n. 4,Ospiti,V,2,Venezia,1,12,3,0,0,403.0,522.0,10.0,55.0,11,1,0
4,Spezia,22-09-2021,Giornata n. 5,Casa,P,2,Juventus,3,10,4,0,0,293.0,376.0,5.0,41.0,15,2,0
5,Spezia,25-09-2021,Giornata n. 6,Casa,P,1,Milan,2,8,2,0,0,242.0,319.0,2.0,36.0,13,2,0
6,Spezia,03-10-2021,Giornata n. 7,Ospiti,P,0,Hellas Verona,4,12,4,0,0,444.0,525.0,5.0,55.0,12,1,1
7,Spezia,16-10-2021,Giornata n. 8,Casa,V,2,Salernitana,1,18,5,0,0,384.0,505.0,10.0,59.0,16,2,0
8,Spezia,22-10-2021,Giornata n. 9,Ospiti,P,1,Sampdoria,2,17,7,0,0,571.0,700.0,8.0,70.0,9,1,0
9,Spezia,26-10-2021,Giornata n. 10,Casa,N,1,Genoa,1,13,3,0,0,319.0,436.0,3.0,47.0,15,2,0
10,Spezia,31-10-2021,Giornata n. 11,Ospiti,P,0,Fiorentina,3,3,0,0,0,334.0,403.0,4.0,45.0,23,3,0
11,Spezia,06-11-2021,Giornata n. 12,Casa,V,1,Torino,0,7,3,0,0,255.0,360.0,2.0,41.0,16,3,0
12,Spezia,20-11-2021,Giornata n. 13,Ospiti,P,2,Atalanta,5,10,5,0,0,417.0,519.0,6.0,50.0,13,3,0
13,Spezia,28-11-2021,Giornata n. 14,Casa,P,0,Bologna,1,14,6,0,0,330.0,419.0,3.0,43.0,17,3,0
14,Spezia,01-12-2021,Giornata n. 15,Ospiti,P,0,Inter,2,7,4,0,0,334.0,411.0,1.0,37.0,14,2,0
15,Spezia,05-12-2021,Giornata n. 16,Casa,N,2,Sassuolo,2,9,4,0,0,264.0,352.0,2.0,35.0,15,4,0
16,Spezia,13-12-2021,Giornata n. 17,Ospiti,P,0,Roma,2,8,2,0,0,411.0,505.0,4.0,48.0,8,1,0
17,Spezia,19-12-2021,Giornata n. 18,Casa,N,1,Empoli,1,9,2,0,0,220.0,298.0,3.0,34.0,24,3,0
18,Spezia,22-12-2021,Giornata n. 19,Ospiti,V,1,Napoli,0,8,0,0,0,261.0,355.0,5.0,35.0,13,3,0
19,Spezia,06-01-2022,Giornata n. 20,Casa,P,1,Hellas Verona,2,9,3,0,0,228.0,348.0,6.0,40.0,13,3,1
20,Spezia,09-01-2022,Giornata n. 21,Ospiti,V,1,Genoa,0,17,9,0,0,354.0,467.0,4.0,46.0,17,3,0
21,Spezia,17-01-2022,Giornata n. 22,Ospiti,V,2,Milan,1,10,6,0,0,274.0,367.0,1.0,40.0,18,5,0
22,Spezia,23-01-2022,Giornata n. 23,Casa,V,1,Sampdoria,0,7,2,0,0,275.0,368.0,2.0,40.0,25,2,0
23,Spezia,07-02-2022,Giornata n. 24,Ospiti,N,2,Salernitana,2,11,0,2,2,299.0,396.0,6.0,44.0,22,3,0
24,Spezia,14-02-2022,Giornata n. 25,Casa,P,1,Fiorentina,2,9,1,0,0,192.0,263.0,4.0,33.0,20,2,0
25,Spezia,21-02-2022,Giornata n. 26,Ospiti,P,1,Bologna,2,6,2,0,0,263.0,360.0,0.0,39.0,16,1,0
26,Spezia,27-02-2022,Giornata n. 27,Casa,P,0,Roma,1,9,3,0,0,270.0,365.0,1.0,36.0,13,5,1
27,Spezia,06-03-2022,Giornata n. 28,Ospiti,P,0,Juventus,1,9,4,0,0,392.0,475.0,4.0,44.0,13,1,0
28,Spezia,12-03-2022,Giornata n. 29,Casa,V,2,Cagliari,0,14,8,0,1,220.0,350.0,5.0,43.0,13,1,0
29,Spezia,18-03-2022,Giornata n. 30,Ospiti,P,1,Sassuolo,4,6,1,0,0,333.0,426.0,2.0,42.0,18,3,0
30,Spezia,02-04-2022,Giornata n. 31,Casa,V,1,Venezia,0,11,4,0,0,332.0,453.0,5.0,53.0,18,3,0
31,Spezia,09-04-2022,Giornata n. 32,Ospiti,N,0,Empoli,0,11,4,0,0,251.0,357.0,4.0,43.0,21,2,0
32,Spezia,15-04-2022,Giornata n. 33,Casa,P,1,Inter,3,11,3,0,0,229.0,334.0,6.0,34.0,13,2,0
33,Spezia,23-04-2022,Giornata n. 34,Ospiti,P,1,Torino,2,6,1,1,1,323.0,443.0,6.0,45.0,17,2,0
34,Spezia,30-04-2022,Giornata n. 35,Casa,P,3,Lazio,4,9,3,0,0,196.0,296.0,4.0,30.0,17,3,0
35,Spezia,08-05-2022,Giornata n. 36,Casa,P,1,Atalanta,3,5,1,0,0,236.0,321.0,0.0,34.0,10,2,0
36,Spezia,14-05-2022,Giornata n. 37,Ospiti,V,3,Udinese,2,10,7,0,1,244.0,358.0,2.0,39.0,11,2,0
37,Spezia,22-05-2022,Giornata n. 38,Casa,P,0,Napoli,3,16,4,0,0,283.0,346.0,4.0,32.0,12,1,0
