,Squadra,Data,Girone,Stadio,Risultato,Rf,Avversario,Rs,Tiri,Tiri.1,Rigori,Rig T,Compl,Tent,Angoli,Poss.,Falli,Amm.,Esp.
0,Torino,21-08-2021,Giornata n. 1,Casa,P,1,Atalanta,2,21,7,0,0,304.0,413.0,5.0,47.0,17,2,0
1,Torino,28-08-2021,Giornata n. 2,Ospiti,P,1,Fiorentina,2,5,1,0,0,236.0,325.0,3.0,41.0,30,5,0
2,Torino,12-09-2021,Giornata n. 3,Casa,V,4,Salernitana,0,15,5,0,0,453.0,544.0,7.0,60.0,11,0,0
3,Torino,17-09-2021,Giornata n. 4,Ospiti,V,1,Sassuolo,0,18,3,0,0,361.0,445.0,3.0,48.0,24,4,0
4,Torino,23-09-2021,Giornata n. 5,Casa,N,1,Lazio,1,16,5,0,0,313.0,416.0,6.0,45.0,21,3,0
5,Torino,27-09-2021,Giornata n. 6,Ospiti,N,1,Venezia,1,8,3,0,0,417.0,521.0,1.0,56.0,20,4,1
6,Torino,02-10-2021,Giornata n. 7,Casa,P,0,Juventus,1,13,2,0,0,347.0,452.0,4.0,48.0,23,3,0
7,Torino,17-10-2021,Giornata n. 8,Ospiti,P,0,Napoli,1,11,3,0,0,306.0,418.0,4.0,49.0,25,4,0
8,Torino,22-10-2021,Giornata n. 9,Casa,V,3,Genoa,2,17,6,0,0,377.0,491.0,2.0,58.0,19,2,0
9,Torino,26-10-2021,Giornata n. 10,Ospiti,P,0,Milan,1,13,2,0,0,415.0,519.0,5.0,56.0,22,3,0
10,Torino,30-10-2021,Giornata n. 11,Casa,V,3,Sampdoria,0,16,5,0,0,515.0,620.0,4.0,63.0,20,2,0
11,Torino,06-11-2021,Giornata n. 12,Ospiti,P,0,Spezia,1,10,1,0,0,420.0,522.0,3.0,59.0,19,3,0
12,Torino,22-11-2021,Giornata n. 13,Casa,V,2,Udinese,1,14,3,0,0,367.0,479.0,4.0,51.0,20,1,0
13,Torino,28-11-2021,Giornata n. 14,Ospiti,P,0,Roma,1,18,3,0,0,540.0,648.0,9.0,68.0,11,1,0
14,Torino,02-12-2021,Giornata n. 15,Casa,N,2,Empoli,2,10,3,0,0,259.0,338.0,1.0,41.0,8,1,1
15,Torino,06-12-2021,Giornata n. 16,Ospiti,N,1,Cagliari,1,8,3,0,0,285.0,408.0,2.0,48.0,28,4,0
16,Torino,12-12-2021,Giornata n. 17,Casa,V,2,Bologna,1,16,7,0,0,330.0,439.0,5.0,49.0,18,2,0
17,Torino,19-12-2021,Giornata n. 18,Casa,V,1,Hellas Verona,0,8,1,0,0,506.0,621.0,5.0,66.0,15,1,0
18,Torino,22-12-2021,Giornata n. 19,Ospiti,P,0,Inter,1,12,3,0,0,342.0,454.0,4.0,46.0,19,0,0
19,Torino,10-01-2022,Giornata n. 21,Casa,V,4,Fiorentina,0,9,6,0,0,314.0,417.0,1.0,45.0,19,2,0
20,Torino,15-01-2022,Giornata n. 22,Ospiti,V,2,Sampdoria,1,20,12,0,0,448.0,571.0,10.0,63.0,14,2,0
21,Torino,23-01-2022,Giornata n. 23,Casa,N,1,Sassuolo,1,21,6,0,0,341.0,447.0,4.0,50.0,25,3,0
22,Torino,06-02-2022,Giornata n. 24,Ospiti,P,0,Udinese,2,5,1,0,0,356.0,479.0,3.0,58.0,22,5,1
23,Torino,12-02-2022,Giornata n. 25,Casa,P,1,Venezia,2,14,2,0,0,406.0,520.0,8.0,67.0,16,2,0
24,Torino,18-02-2022,Giornata n. 26,Ospiti,N,1,Juventus,1,10,3,0,0,391.0,489.0,9.0,54.0,20,2,0
25,Torino,27-02-2022,Giornata n. 27,Casa,P,1,Cagliari,2,15,6,0,0,319.0,467.0,4.0,57.0,21,2,0
26,Torino,06-03-2022,Giornata n. 28,Ospiti,N,0,Bologna,0,13,2,0,0,250.0,357.0,7.0,48.0,16,3,0
27,Torino,13-03-2022,Giornata n. 29,Casa,N,1,Inter,1,13,3,0,0,323.0,424.0,3.0,44.0,17,1,0
28,Torino,18-03-2022,Giornata n. 30,Ospiti,P,0,Genoa,1,9,3,0,0,605.0,692.0,3.0,74.0,19,3,0
29,Torino,02-04-2022,Giornata n. 31,Ospiti,V,1,Salernitana,0,7,4,1,1,269.0,368.0,2.0,47.0,29,4,0
30,Torino,10-04-2022,Giornata n. 32,Casa,N,0,Milan,0,14,3,0,0,268.0,361.0,6.0,43.0,19,2,0
31,Torino,16-04-2022,Giornata n. 33,Ospiti,N,1,Lazio,1,12,4,0,0,483.0,553.0,7.0,52.0,12,2,0
32,Torino,23-04-2022,Giornata n. 34,Casa,V,2,Spezia,1,14,5,1,1,441.0,539.0,5.0,55.0,11,1,0
33,Torino,27-04-2022,Giornata n. 20,Ospiti,N,4,Atalanta,4,3,2,2,2,376.0,472.0,0.0,51.0,13,2,0
34,Torino,01-05-2022,Giornata n. 35,Ospiti,V,3,Empoli,1,11,1,2,2,394.0,493.0,4.0,61.0,12,2,0
35,Torino,07-05-2022,Giornata n. 36,Casa,P,0,Napoli,1,10,3,0,0,295.0,383.0,5.0,43.0,19,2,0
36,Torino,14-05-2022,Giornata n. 37,Ospiti,V,1,Hellas Verona,0,11,5,0,0,336.0,437.0,4.0,54.0,20,2,0
37,Torino,20-05-2022,Giornata n. 38,Casa,P,0,Roma,3,13,2,0,0,444.0,522.0,5.0,58.0,11,2,0
