,Squadra,Data,Girone,Stadio,Risultato,Rf,Avversario,Rs,Tiri,Tiri.1,Rigori,Rig T,Compl,Tent,Angoli,Poss.,Falli,Amm.,Esp.
0,Udinese,22-08-2021,Giornata n. 1,Casa,N,2,Juventus,2,11,5,1,1,363.0,433.0,3.0,44.0,14,1,0
1,Udinese,27-08-2021,Giornata n. 2,Casa,V,3,Venezia,0,21,10,0,0,369.0,464.0,7.0,45.0,13,2,0
2,Udinese,12-09-2021,Giornata n. 3,Ospiti,V,1,Spezia,0,9,4,0,0,332.0,405.0,5.0,44.0,18,2,0
3,Udinese,20-09-2021,Giornata n. 4,Casa,P,0,Napoli,4,9,1,0,0,346.0,403.0,2.0,37.0,12,2,0
4,Udinese,23-09-2021,Giornata n. 5,Ospiti,P,0,Roma,1,8,2,0,0,421.0,511.0,6.0,48.0,8,1,0
5,Udinese,26-09-2021,Giornata n. 6,Casa,P,0,Fiorentina,1,12,5,0,0,423.0,506.0,4.0,46.0,17,2,0
6,Udinese,03-10-2021,Giornata n. 7,Ospiti,N,3,Sampdoria,3,18,7,0,0,294.0,382.0,8.0,46.0,19,5,0
7,Udinese,17-10-2021,Giornata n. 8,Casa,N,1,Bologna,1,10,2,0,0,295.0,370.0,2.0,41.0,16,3,1
8,Udinese,24-10-2021,Giornata n. 9,Ospiti,N,1,Atalanta,1,9,3,0,0,239.0,333.0,3.0,33.0,17,2,0
9,Udinese,27-10-2021,Giornata n. 10,Casa,N,1,Hellas Verona,1,16,5,0,0,202.0,305.0,7.0,34.0,15,1,0
10,Udinese,31-10-2021,Giornata n. 11,Ospiti,P,0,Inter,2,9,5,0,0,267.0,350.0,4.0,34.0,16,2,0
11,Udinese,07-11-2021,Giornata n. 12,Casa,V,3,Sassuolo,2,13,2,0,0,285.0,378.0,1.0,38.0,14,3,1
12,Udinese,22-11-2021,Giornata n. 13,Ospiti,P,1,Torino,2,18,7,0,0,351.0,461.0,7.0,49.0,21,3,0
13,Udinese,28-11-2021,Giornata n. 14,Casa,N,0,Genoa,0,16,3,0,0,323.0,416.0,8.0,43.0,19,3,0
14,Udinese,02-12-2021,Giornata n. 15,Ospiti,N,4,Lazio,4,13,5,0,0,299.0,374.0,4.0,38.0,12,5,2
15,Udinese,06-12-2021,Giornata n. 16,Ospiti,P,1,Empoli,3,19,8,0,0,319.0,411.0,6.0,43.0,20,3,0
16,Udinese,11-12-2021,Giornata n. 17,Casa,N,1,Milan,1,11,6,0,0,259.0,348.0,3.0,34.0,21,2,1
17,Udinese,18-12-2021,Giornata n. 18,Ospiti,V,4,Cagliari,0,10,5,0,0,355.0,448.0,2.0,45.0,15,2,0
18,Udinese,09-01-2022,Giornata n. 21,Casa,P,2,Atalanta,6,8,4,0,0,349.0,453.0,2.0,40.0,10,2,0
19,Udinese,15-01-2022,Giornata n. 22,Ospiti,P,0,Juventus,2,16,3,0,0,296.0,371.0,6.0,34.0,10,2,0
20,Udinese,22-01-2022,Giornata n. 23,Ospiti,N,0,Genoa,0,2,0,0,0,205.0,351.0,4.0,48.0,18,4,0
21,Udinese,06-02-2022,Giornata n. 24,Casa,V,2,Torino,0,10,2,1,1,220.0,347.0,8.0,42.0,11,3,0
22,Udinese,13-02-2022,Giornata n. 25,Ospiti,P,0,Hellas Verona,4,21,6,0,0,354.0,487.0,7.0,56.0,8,1,0
23,Udinese,20-02-2022,Giornata n. 26,Casa,N,1,Lazio,1,12,2,0,0,325.0,407.0,2.0,41.0,24,3,0
24,Udinese,25-02-2022,Giornata n. 27,Ospiti,N,1,Milan,1,11,6,0,0,247.0,328.0,4.0,38.0,19,4,0
25,Udinese,05-03-2022,Giornata n. 28,Casa,V,2,Sampdoria,1,20,5,0,0,281.0,404.0,11.0,43.0,20,5,0
26,Udinese,13-03-2022,Giornata n. 29,Casa,N,1,Roma,1,11,5,0,0,285.0,367.0,6.0,37.0,17,3,0
27,Udinese,19-03-2022,Giornata n. 30,Ospiti,P,1,Napoli,2,10,3,0,0,264.0,354.0,4.0,36.0,13,2,1
28,Udinese,03-04-2022,Giornata n. 31,Casa,V,5,Cagliari,1,24,11,0,0,392.0,469.0,2.0,51.0,20,2,0
29,Udinese,10-04-2022,Giornata n. 32,Ospiti,V,2,Venezia,1,15,4,1,1,261.0,367.0,11.0,48.0,14,2,0
30,Udinese,16-04-2022,Giornata n. 33,Casa,V,4,Empoli,1,13,5,0,0,248.0,319.0,4.0,39.0,21,1,0
31,Udinese,20-04-2022,Giornata n. 19,Casa,P,0,Salernitana,1,12,3,0,0,320.0,435.0,9.0,54.0,23,3,0
32,Udinese,24-04-2022,Giornata n. 34,Ospiti,N,2,Bologna,2,17,5,0,0,306.0,392.0,4.0,45.0,23,2,0
33,Udinese,27-04-2022,Giornata n. 20,Ospiti,V,4,Fiorentina,0,17,8,0,0,146.0,229.0,2.0,28.0,25,4,0
34,Udinese,01-05-2022,Giornata n. 35,Casa,P,1,Inter,2,8,5,0,0,385.0,466.0,5.0,48.0,15,2,0
35,Udinese,07-05-2022,Giornata n. 36,Ospiti,N,1,Sassuolo,1,13,6,0,0,308.0,393.0,9.0,41.0,18,2,0
36,Udinese,14-05-2022,Giornata n. 37,Casa,P,2,Spezia,3,17,6,0,0,463.0,561.0,4.0,61.0,18,3,0
37,Udinese,22-05-2022,Giornata n. 38,Ospiti,V,4,Salernitana,0,18,10,0,1,395.0,481.0,1.0,48.0,15,1,0
