,matchday,date,h_team,a_team,result,goals,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
0,Giornata n. 1,2021-08-21,Hellas Verona,Sassuolo,P,-1.0,-4.0,-4.0,1.0,1.0,-199.0,-179.0,3.0,-20.0,-5.0,1.0,1.0
1,Giornata n. 1,2021-08-21,Inter,Genoa,V,4.0,7.0,4.0,0.0,0.0,198.0,200.0,6.0,18.0,11.0,-1.0,0.0
2,Giornata n. 1,2021-08-21,Torino,Atalanta,P,-1.0,14.0,5.0,0.0,0.0,-24.0,-49.0,4.0,-6.0,3.0,0.0,0.0
3,Giornata n. 1,2021-08-21,Empoli,Lazio,P,-2.0,10.0,1.0,-1.0,-1.0,-107.0,-93.0,2.0,-8.0,5.0,1.0,0.0
4,Giornata n. 1,2021-08-22,Udinese,Juventus,N,0.0,1.0,2.0,1.0,1.0,-117.0,-118.0,0.0,-12.0,-2.0,-2.0,0.0
5,Giornata n. 1,2021-08-22,Napoli,Venezia,V,2.0,3.0,-1.0,1.0,2.0,125.0,132.0,0.0,12.0,-19.0,-6.0,1.0
6,Giornata n. 1,2021-08-22,Bologna,Salernitana,V,1.0,9.0,4.0,-1.0,-1.0,355.0,355.0,5.0,44.0,-3.0,3.0,1.0
7,Giornata n. 1,2021-08-22,Roma,Fiorentina,V,2.0,0.0,-2.0,0.0,0.0,-164.0,-157.0,0.0,-16.0,-1.0,1.0,0.0
8,Giornata n. 1,2021-08-23,Sampdoria,Milan,P,-1.0,5.0,-1.0,0.0,0.0,-15.0,-10.0,5.0,-2.0,5.0,2.0,0.0
9,Giornata n. 1,2021-08-23,Cagliari,Spezia,N,0.0,7.0,2.0,1.0,1.0,134.0,163.0,7.0,18.0,-1.0,-1.0,0.0
10,Giornata n. 2,2021-08-27,Hellas Verona,Inter,P,-2.0,-3.0,-5.0,1.0,1.0,-281.0,-269.0,-1.0,-19.0,-8.0,2.0,1.0
11,Giornata n. 2,2021-08-27,Udinese,Venezia,V,2.0,3.0,1.0,1.0,1.0,-32.0,-21.0,1.0,0.0,-9.0,-6.0,0.0
12,Giornata n. 2,2021-08-28,Juventus,Empoli,P,1.0,-7.0,-1.0,0.0,0.0,70.0,55.0,-2.0,10.0,1.0,1.0,0.0
13,Giornata n. 2,2021-08-28,Lazio,Spezia,V,1.0,-5.0,-1.0,1.0,1.0,242.0,233.0,-1.0,13.0,-8.0,-2.0,0.0
14,Giornata n. 2,2021-08-28,Atalanta,Bologna,N,-1.0,-11.0,-5.0,0.0,0.0,-157.0,-126.0,-8.0,-19.0,3.0,-4.0,-2.0
15,Giornata n. 2,2021-08-28,Fiorentina,Torino,V,0.0,-10.0,1.0,0.0,0.0,194.0,151.0,-1.0,11.0,-3.0,0.0,1.0
16,Giornata n. 2,2021-08-29,Sassuolo,Sampdoria,N,3.0,2.0,4.0,0.0,0.0,147.0,108.0,-4.0,11.0,-5.0,-1.0,0.0
17,Giornata n. 2,2021-08-29,Genoa,Napoli,P,-2.0,-1.0,1.0,-1.0,-2.0,-155.0,-156.0,0.0,-15.0,3.0,1.0,-1.0
18,Giornata n. 2,2021-08-29,Milan,Cagliari,V,-1.0,-8.0,-2.0,-1.0,-1.0,-60.0,-77.0,-8.0,-8.0,-2.0,-1.0,0.0
19,Giornata n. 2,2021-08-29,Salernitana,Roma,P,-1.0,-2.0,-3.0,1.0,1.0,-204.0,-174.0,0.0,-14.0,1.0,0.0,0.0
20,Giornata n. 3,2021-09-11,Atalanta,Fiorentina,P,-0.5,4.5,-4.5,0.0,0.0,-24.5,18.0,-0.5,-2.5,-1.0,-1.0,-0.5
