,id,h_team,h_goals,a_team,a_goals,result,date,matchday,h_total_shots,h_shots_on_target,a_total_shots,a_shots_on_target,h_goals_on_penalty,h_total_penalties,a_goals_on_penalty,a_total_penalties,h_completed_passings,h_total_passings,a_completed_passings,a_total_passings,h_corners,a_corners,h_fouls,h_yellow_cards,h_red_cards,a_yellow_cards,a_red_cards,a_fouls,h_percentage_possession,a_percentage_possession
0,0,Hellas Verona,2,Sassuolo,3,P,2021-08-21,Giornata n. 1,14.0,3.0,18.0,7.0,1,1,0,0,282.0,361.0,481.0,540.0,7.0,4.0,10.0,3,1,2,0,15.0,40.0,60.0
0,1,Inter,4,Genoa,0,V,2021-08-21,Giornata n. 1,17.0,8.0,10.0,4.0,0,0,0,0,563.0,630.0,365.0,430.0,8.0,2.0,18.0,1,0,2,0,7.0,59.0,41.0
0,2,Torino,1,Atalanta,2,P,2021-08-21,Giornata n. 1,21.0,7.0,7.0,2.0,0,0,0,0,304.0,413.0,328.0,462.0,5.0,1.0,17.0,2,0,2,0,14.0,47.0,53.0
0,3,Empoli,1,Lazio,3,P,2021-08-21,Giornata n. 1,17.0,4.0,7.0,3.0,0,0,1,1,410.0,496.0,517.0,589.0,5.0,3.0,15.0,2,0,1,0,10.0,46.0,54.0
0,4,Udinese,2,Juventus,2,N,2021-08-22,Giornata n. 1,11.0,5.0,10.0,3.0,1,1,0,0,363.0,433.0,480.0,551.0,3.0,3.0,14.0,1,0,3,0,16.0,44.0,56.0
0,5,Napoli,2,Venezia,0,V,2021-08-22,Giornata n. 1,11.0,3.0,8.0,4.0,1,2,0,0,520.0,586.0,395.0,454.0,2.0,2.0,4.0,1,1,7,0,23.0,56.0,44.0
0,6,Bologna,3,Salernitana,2,V,2021-08-22,Giornata n. 1,18.0,7.0,9.0,3.0,0,0,1,1,485.0,588.0,130.0,233.0,9.0,4.0,11.0,6,2,3,1,14.0,72.0,28.0
0,7,Roma,3,Fiorentina,1,V,2021-08-22,Giornata n. 1,11.0,6.0,11.0,8.0,0,0,0,0,334.0,407.0,498.0,564.0,4.0,4.0,13.0,3,1,2,1,14.0,42.0,58.0
0,8,Sampdoria,0,Milan,1,P,2021-08-23,Giornata n. 1,16.0,3.0,11.0,4.0,0,0,0,0,334.0,432.0,349.0,442.0,8.0,3.0,20.0,3,0,1,0,15.0,49.0,51.0
0,9,Cagliari,2,Spezia,2,N,2021-08-23,Giornata n. 1,19.0,6.0,12.0,4.0,1,1,0,0,409.0,519.0,275.0,356.0,11.0,4.0,17.0,2,0,3,0,18.0,59.0,41.0
0,10,Hellas Verona,1,Inter,3,P,2021-08-27,Giornata n. 2,8.0,1.0,16.0,8.0,0,0,0,0,280.0,367.0,388.0,492.0,6.0,4.0,13.0,2,0,2,0,11.0,43.0,57.0
0,11,Udinese,3,Venezia,0,V,2021-08-27,Giornata n. 2,21.0,10.0,11.0,3.0,0,0,0,0,369.0,464.0,473.0,556.0,7.0,2.0,13.0,2,0,3,0,9.0,45.0,55.0
0,12,Juventus,0,Empoli,1,P,2021-08-28,Giornata n. 2,19.0,5.0,12.0,3.0,0,0,0,0,377.0,461.0,292.0,397.0,8.0,9.0,15.0,2,0,3,0,8.0,54.0,46.0
0,13,Lazio,6,Spezia,1,V,2021-08-28,Giornata n. 2,17.0,9.0,5.0,2.0,0,1,0,0,654.0,717.0,376.0,455.0,4.0,2.0,13.0,0,0,2,1,10.0,61.0,39.0
0,14,Atalanta,0,Bologna,0,N,2021-08-28,Giornata n. 2,22.0,3.0,4.0,1.0,0,0,0,0,484.0,598.0,297.0,421.0,5.0,5.0,12.0,2,0,5,0,16.0,59.0,41.0
0,15,Fiorentina,2,Torino,1,V,2021-08-28,Giornata n. 2,9.0,6.0,5.0,1.0,0,0,0,0,363.0,460.0,236.0,325.0,3.0,3.0,14.0,4,0,5,0,30.0,59.0,41.0
0,16,Sassuolo,0,Sampdoria,0,N,2021-08-29,Giornata n. 2,19.0,5.0,11.0,2.0,0,0,0,0,529.0,627.0,261.0,371.0,8.0,6.0,9.0,2,0,2,0,17.0,63.0,37.0
0,17,Genoa,1,Napoli,2,P,2021-08-29,Giornata n. 2,6.0,3.0,13.0,8.0,0,0,0,0,310.0,400.0,532.0,622.0,4.0,5.0,20.0,2,0,3,0,18.0,39.0,61.0
0,18,Milan,4,Cagliari,1,V,2021-08-29,Giornata n. 2,17.0,4.0,7.0,2.0,1,1,0,0,495.0,562.0,359.0,423.0,8.0,3.0,15.0,1,0,5,0,12.0,57.0,43.0
0,19,Salernitana,0,Roma,4,P,2021-08-29,Giornata n. 2,5.0,0.0,28.0,9.0,0,0,0,0,114.0,219.0,664.0,752.0,1.0,10.0,14.0,2,0,2,0,11.0,23.0,77.0
0,20,Atalanta,1,Fiorentina,2,P,2021-09-11,Giornata n. 3,12.0,4.0,5.0,0.0,1,1,2,2,463.0,555.0,374.0,454.0,10.0,3.0,13.0,4,0,4,0,21.0,55.0,45.0
0,21,Empoli,1,Venezia,2,P,2021-09-11,Giornata n. 3,21.0,5.0,10.0,3.0,1,1,0,0,499.0,607.0,199.0,275.0,8.0,2.0,13.0,2,0,5,0,25.0,69.0,31.0
0,22,Napoli,2,Juventus,1,V,2021-09-11,Giornata n. 3,25.0,7.0,8.0,4.0,0,0,0,0,585.0,666.0,264.0,330.0,13.0,1.0,15.0,2,0,1,0,16.0,67.0,33.0
0,23,Cagliari,2,Genoa,3,P,2021-09-12,Giornata n. 3,8.0,2.0,11.0,3.0,1,1,0,0,435.0,534.0,395.0,475.0,2.0,6.0,16.0,2,0,3,0,16.0,53.0,47.0
0,24,Spezia,0,Udinese,1,P,2021-09-12,Giornata n. 3,20.0,5.0,9.0,4.0,0,0,0,0,432.0,520.0,332.0,405.0,4.0,5.0,13.0,1,0,2,0,18.0,56.0,44.0
0,25,Sampdoria,2,Inter,2,N,2021-09-12,Giornata n. 3,14.0,2.0,8.0,3.0,0,0,0,0,360.0,455.0,318.0,418.0,4.0,4.0,14.0,4,0,4,0,14.0,52.0,48.0
0,26,Roma,2,Sassuolo,1,V,2021-09-12,Giornata n. 3,18.0,6.0,14.0,7.0,0,0,0,0,413.0,480.0,438.0,508.0,4.0,6.0,7.0,2,0,1,0,11.0,49.0,51.0
0,27,Milan,2,Lazio,0,V,2021-09-12,Giornata n. 3,20.0,3.0,8.0,5.0,0,1,0,0,416.0,503.0,488.0,570.0,5.0,1.0,12.0,1,0,4,0,19.0,47.0,53.0
0,28,Torino,4,Salernitana,0,V,2021-09-12,Giornata n. 3,15.0,5.0,8.0,2.0,0,0,0,0,453.0,544.0,263.0,367.0,7.0,4.0,11.0,0,0,2,0,11.0,60.0,40.0
0,29,Bologna,1,Hellas Verona,0,V,2021-09-13,Giornata n. 3,16.0,4.0,5.0,0.0,0,0,0,0,257.0,362.0,393.0,480.0,6.0,2.0,16.0,1,0,3,0,24.0,43.0,57.0
0,30,Sassuolo,0,Torino,1,P,2021-09-17,Giornata n. 4,10.0,2.0,18.0,3.0,0,0,0,0,390.0,485.0,361.0,445.0,6.0,3.0,9.0,0,0,4,0,24.0,52.0,48.0
0,31,Inter,6,Bologna,1,V,2021-09-18,Giornata n. 4,19.0,11.0,8.0,2.0,0,0,0,0,412.0,464.0,486.0,546.0,5.0,1.0,11.0,0,0,3,0,11.0,46.0,54.0
0,32,Genoa,1,Fiorentina,2,P,2021-09-18,Giornata n. 4,8.0,2.0,16.0,5.0,1,1,0,0,288.0,369.0,531.0,617.0,1.0,11.0,14.0,4,0,4,0,17.0,37.0,63.0
0,33,Salernitana,0,Atalanta,1,P,2021-09-18,Giornata n. 4,11.0,1.0,10.0,3.0,0,0,0,0,310.0,425.0,473.0,567.0,6.0,4.0,22.0,4,0,4,0,15.0,43.0,57.0
0,34,Lazio,2,Cagliari,2,N,2021-09-19,Giornata n. 4,28.0,10.0,10.0,3.0,0,0,0,0,646.0,748.0,198.0,296.0,10.0,1.0,5.0,1,0,3,1,13.0,72.0,28.0
0,35,Empoli,0,Sampdoria,3,P,2021-09-19,Giornata n. 4,15.0,4.0,14.0,8.0,0,0,0,0,349.0,456.0,294.0,400.0,8.0,8.0,11.0,2,0,2,0,15.0,53.0,47.0
0,36,Hellas Verona,3,Roma,2,V,2021-09-19,Giornata n. 4,10.0,6.0,15.0,2.0,0,0,0,0,367.0,468.0,294.0,410.0,3.0,8.0,18.0,4,0,2,0,17.0,53.0,47.0
0,37,Venezia,1,Spezia,2,P,2021-09-19,Giornata n. 4,14.0,3.0,12.0,3.0,0,0,0,0,320.0,425.0,403.0,522.0,3.0,10.0,15.0,4,0,1,0,11.0,45.0,55.0
0,38,Juventus,1,Milan,1,N,2021-09-19,Giornata n. 4,9.0,4.0,13.0,3.0,0,0,0,0,343.0,413.0,459.0,528.0,4.0,4.0,15.0,1,0,1,0,16.0,44.0,56.0
0,39,Udinese,0,Napoli,4,P,2021-09-20,Giornata n. 4,9.0,1.0,18.0,8.0,0,0,0,0,346.0,403.0,618.0,683.0,2.0,5.0,12.0,2,0,1,0,12.0,37.0,63.0
0,40,Fiorentina,1,Inter,3,P,2021-09-21,Giornata n. 5,14.0,6.0,17.0,5.0,0,0,0,0,452.0,530.0,400.0,472.0,4.0,8.0,13.0,2,1,3,0,17.0,53.0,47.0
0,41,Bologna,2,Genoa,2,N,2021-09-21,Giornata n. 5,16.0,4.0,10.0,5.0,1,1,1,1,471.0,567.0,292.0,392.0,6.0,2.0,15.0,3,0,4,0,19.0,59.0,41.0
0,42,Atalanta,2,Sassuolo,1,V,2021-09-21,Giornata n. 5,14.0,5.0,8.0,1.0,0,0,0,0,398.0,484.0,431.0,542.0,5.0,5.0,21.0,2,0,2,0,18.0,47.0,53.0
0,43,Salernitana,2,Hellas Verona,2,N,2021-09-22,Giornata n. 5,15.0,4.0,9.0,5.0,0,0,0,0,304.0,420.0,314.0,423.0,4.0,5.0,13.0,2,0,3,0,19.0,50.0,50.0
0,44,Cagliari,0,Empoli,2,P,2021-09-22,Giornata n. 5,15.0,1.0,18.0,5.0,0,0,0,0,376.0,489.0,394.0,499.0,7.0,4.0,15.0,2,0,1,0,14.0,49.0,51.0
0,45,Milan,2,Venezia,0,V,2021-09-22,Giornata n. 5,14.0,4.0,8.0,2.0,0,0,0,0,587.0,677.0,257.0,340.0,4.0,4.0,15.0,0,0,2,0,14.0,67.0,33.0
0,46,Spezia,2,Juventus,3,P,2021-09-22,Giornata n. 5,10.0,4.0,26.0,9.0,0,0,0,0,293.0,376.0,458.0,548.0,5.0,15.0,15.0,2,0,1,0,10.0,41.0,59.0
0,47,Torino,1,Lazio,1,N,2021-09-23,Giornata n. 5,16.0,5.0,5.0,1.0,0,0,1,1,313.0,416.0,378.0,499.0,6.0,5.0,21.0,3,0,3,0,9.0,45.0,55.0
