,h_team,h_goals,a_team,a_goals,date,matchday
0,Hellas Verona,2,Sassuolo,3,2021-08-21,Giornata n. 1
0,Inter,4,Genoa,0,2021-08-21,Giornata n. 1
0,Torino,1,Atalanta,2,2021-08-21,Giornata n. 1
0,Empoli,1,Lazio,3,2021-08-21,Giornata n. 1
0,Udinese,2,Juventus,2,2021-08-22,Giornata n. 1
0,Napoli,2,Venezia,0,2021-08-22,Giornata n. 1
0,Bologna,3,Salernitana,2,2021-08-22,Giornata n. 1
0,Roma,3,Fiorentina,1,2021-08-22,Giornata n. 1
0,Sampdoria,0,Milan,1,2021-08-23,Giornata n. 1
0,Cagliari,2,Spezia,2,2021-08-23,Giornata n. 1
0,Hellas Verona,1,Inter,3,2021-08-27,Giornata n. 2
0,Udinese,3,Venezia,0,2021-08-27,Giornata n. 2
0,Juventus,0,Empoli,1,2021-08-28,Giornata n. 2
0,Lazio,6,Spezia,1,2021-08-28,Giornata n. 2
0,Atalanta,0,Bologna,0,2021-08-28,Giornata n. 2
0,Fiorentina,2,Torino,1,2021-08-28,Giornata n. 2
0,Sassuolo,0,Sampdoria,0,2021-08-29,Giornata n. 2
0,Genoa,1,Napoli,2,2021-08-29,Giornata n. 2
0,Milan,4,Cagliari,1,2021-08-29,Giornata n. 2
0,Salernitana,0,Roma,4,2021-08-29,Giornata n. 2
0,Atalanta,1,Fiorentina,2,2021-09-11,Giornata n. 3
0,Empoli,1,Venezia,2,2021-09-11,Giornata n. 3
0,Napoli,2,Juventus,1,2021-09-11,Giornata n. 3
0,Cagliari,2,Genoa,3,2021-09-12,Giornata n. 3
0,Spezia,0,Udinese,1,2021-09-12,Giornata n. 3
0,Sampdoria,2,Inter,2,2021-09-12,Giornata n. 3
0,Roma,2,Sassuolo,1,2021-09-12,Giornata n. 3
0,Milan,2,Lazio,0,2021-09-12,Giornata n. 3
0,Torino,4,Salernitana,0,2021-09-12,Giornata n. 3
0,Bologna,1,Hellas Verona,0,2021-09-13,Giornata n. 3
0,Sassuolo,0,Torino,1,2021-09-17,Giornata n. 4
0,Inter,6,Bologna,1,2021-09-18,Giornata n. 4
0,Genoa,1,Fiorentina,2,2021-09-18,Giornata n. 4
0,Salernitana,0,Atalanta,1,2021-09-18,Giornata n. 4
0,Lazio,2,Cagliari,2,2021-09-19,Giornata n. 4
0,Empoli,0,Sampdoria,3,2021-09-19,Giornata n. 4
0,Hellas Verona,3,Roma,2,2021-09-19,Giornata n. 4
0,Venezia,1,Spezia,2,2021-09-19,Giornata n. 4
0,Juventus,1,Milan,1,2021-09-19,Giornata n. 4
0,Udinese,0,Napoli,4,2021-09-20,Giornata n. 4
0,Fiorentina,1,Inter,3,2021-09-21,Giornata n. 5
0,Bologna,2,Genoa,2,2021-09-21,Giornata n. 5
0,Atalanta,2,Sassuolo,1,2021-09-21,Giornata n. 5
0,Salernitana,2,Hellas Verona,2,2021-09-22,Giornata n. 5
0,Cagliari,0,Empoli,2,2021-09-22,Giornata n. 5
0,Milan,2,Venezia,0,2021-09-22,Giornata n. 5
0,Spezia,2,Juventus,3,2021-09-22,Giornata n. 5
0,Torino,1,Lazio,1,2021-09-23,Giornata n. 5
0,Sampdoria,0,Napoli,4,2021-09-23,Giornata n. 5
0,Roma,1,Udinese,0,2021-09-23,Giornata n. 5
0,Genoa,3,Hellas Verona,3,2021-09-25,Giornata n. 6
0,Inter,2,Atalanta,2,2021-09-25,Giornata n. 6
0,Spezia,1,Milan,2,2021-09-25,Giornata n. 6
0,Napoli,2,Cagliari,0,2021-09-26,Giornata n. 6
0,Sassuolo,1,Salernitana,0,2021-09-26,Giornata n. 6
0,Lazio,3,Roma,2,2021-09-26,Giornata n. 6
0,Empoli,4,Bologna,2,2021-09-26,Giornata n. 6
0,Udinese,0,Fiorentina,1,2021-09-26,Giornata n. 6
0,Juventus,3,Sampdoria,2,2021-09-26,Giornata n. 6
0,Venezia,1,Torino,1,2021-09-27,Giornata n. 6
0,Cagliari,1,Venezia,1,2021-10-01,Giornata n. 7
0,Salernitana,1,Genoa,0,2021-10-02,Giornata n. 7
0,Sassuolo,1,Inter,2,2021-10-02,Giornata n. 7
0,Torino,0,Juventus,1,2021-10-02,Giornata n. 7
