,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,rank_h,rank_a,prediction
0,Inter,2021-08-21,V,4.0,Genoa,7.0,4.0,0.0,0.0,18.0,11.0,-1.0,0.0,7.0,1.0,1.0
1,Torino,2021-08-21,P,-1.0,Atalanta,14.0,5.0,0.0,0.0,-6.0,3.0,0.0,0.0,2.0,3.0,2.0
2,Empoli,2021-08-21,P,-2.0,Lazio,10.0,1.0,-1.0,-1.0,-8.0,5.0,1.0,0.0,0.0,8.0,2.0
3,Hellas Verona,2021-08-21,P,-1.0,Sassuolo,-4.0,-4.0,1.0,1.0,-20.0,-5.0,1.0,1.0,1.0,6.0,0.0
4,Bologna,2021-08-22,V,1.0,Salernitana,9.0,4.0,-1.0,-1.0,44.0,-3.0,3.0,1.0,8.0,0.0,1.0
5,Udinese,2021-08-22,N,0.0,Juventus,1.0,2.0,1.0,1.0,-12.0,-2.0,-2.0,0.0,1.0,7.0,2.0
6,Napoli,2021-08-22,V,2.0,Venezia,3.0,-1.0,1.0,2.0,12.0,-19.0,-6.0,1.0,8.0,0.0,1.0
7,Roma,2021-08-22,V,2.0,Fiorentina,0.0,-2.0,0.0,0.0,-16.0,-1.0,1.0,0.0,5.0,1.0,1.0
8,Sampdoria,2021-08-23,P,-1.0,Milan,5.0,-1.0,0.0,0.0,-2.0,5.0,2.0,0.0,2.0,4.0,0.0
9,Cagliari,2021-08-23,N,0.0,Spezia,7.0,2.0,1.0,1.0,18.0,-1.0,-1.0,0.0,6.0,1.0,1.0
10,Udinese,2021-08-27,V,2.0,Venezia,3.0,1.0,1.0,1.0,0.0,-9.0,-6.0,0.0,8.0,0.0,1.0
11,Hellas Verona,2021-08-27,P,-2.0,Inter,-3.0,-5.0,1.0,1.0,-19.0,-8.0,2.0,1.0,0.0,7.0,2.0
12,Fiorentina,2021-08-28,V,0.0,Torino,-10.0,1.0,0.0,0.0,11.0,-3.0,0.0,1.0,4.0,1.0,1.0
13,Lazio,2021-08-28,V,1.0,Spezia,-5.0,-1.0,1.0,1.0,13.0,-8.0,-2.0,0.0,8.0,0.0,1.0
14,Atalanta,2021-08-28,N,-1.0,Bologna,-11.0,-5.0,0.0,0.0,-19.0,3.0,-4.0,-2.0,6.0,1.0,1.0
15,Juventus,2021-08-28,P,1.0,Empoli,-7.0,-1.0,0.0,0.0,10.0,1.0,1.0,0.0,8.0,0.0,1.0
16,Salernitana,2021-08-29,P,-1.0,Roma,-2.0,-3.0,1.0,1.0,-14.0,1.0,0.0,0.0,0.0,8.0,2.0
17,Milan,2021-08-29,V,-1.0,Cagliari,-8.0,-2.0,-1.0,-1.0,-8.0,-2.0,-1.0,0.0,6.0,0.0,1.0
18,Sassuolo,2021-08-29,N,3.0,Sampdoria,2.0,4.0,0.0,0.0,11.0,-5.0,-1.0,0.0,5.0,1.0,1.0
19,Genoa,2021-08-29,P,-2.0,Napoli,-1.0,1.0,-1.0,-2.0,-15.0,3.0,1.0,-1.0,1.0,5.0,0.0
20,Empoli,2021-09-11,P,1.0,Venezia,5.0,0.0,0.0,0.0,-3.5,-4.5,-2.5,0.0,2.0,0.0,1.0
