,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a,prediction
0,Fiorentina,2019-08-24,P,-1.0,Napoli,5.0,0.0,0.0,0.0,-14.0,4.0,-2.0,0.0,19_20,3.0,5.0,P
1,Parma,2019-08-24,P,-1.0,Juventus,-5.0,-1.0,0.0,0.0,-24.0,2.0,-1.0,0.0,19_20,0.0,9.0,P
2,Torino,2019-08-25,V,1.0,Sassuolo,-8.0,-4.0,0.0,0.0,-30.0,6.0,1.0,0.0,19_20,5.0,1.0,V
3,Cagliari,2019-08-25,P,-1.0,Brescia,5.0,3.0,-1.0,-1.0,18.0,-2.0,0.0,0.0,19_20,8.0,1.0,V
4,Roma,2019-08-25,N,0.0,Genoa,18.0,6.0,-1.0,-1.0,8.0,-1.0,2.0,0.0,19_20,6.0,0.0,V
5,Sampdoria,2019-08-25,P,-3.0,Lazio,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,19_20,1.0,8.0,P
6,SPAL,2019-08-25,P,-1.0,Atalanta,-13.0,-10.0,0.0,0.0,-18.0,-6.0,1.0,0.0,19_20,2.0,6.0,N
7,Hellas Verona,2019-08-25,N,0.0,Bologna,-10.0,1.0,-1.0,-1.0,-48.0,-3.0,-2.0,1.0,19_20,1.0,6.0,V
8,Udinese,2019-08-25,V,1.0,Milan,6.0,6.0,0.0,0.0,-16.0,5.0,-2.0,0.0,19_20,1.0,4.0,P
9,Inter,2019-08-26,V,4.0,Lecce,8.0,5.0,0.0,0.0,20.0,6.0,-1.0,-1.0,19_20,9.0,0.0,V
10,Bologna,2019-08-30,V,-1.0,SPAL,6.0,-2.0,1.0,1.0,33.0,1.0,1.0,0.0,19_20,7.0,2.0,-1
11,Milan,2019-08-31,V,-1.0,Brescia,4.0,-1.0,-1.0,-1.0,17.0,-2.0,1.0,0.0,19_20,10.0,0.0,V
12,Juventus,2019-08-31,V,-3.0,Napoli,0.0,-1.0,-1.0,-1.0,5.0,-4.0,-1.0,0.0,19_20,5.0,4.0,V
13,Genoa,2019-09-01,V,0.0,Fiorentina,-14.0,-2.0,0.0,0.0,3.0,-6.0,-1.0,0.0,19_20,1.0,3.0,N
14,Sassuolo,2019-09-01,V,1.0,Sampdoria,4.0,2.0,0.0,0.0,15.0,4.0,1.0,0.0,19_20,5.0,2.0,V
15,Atalanta,2019-09-01,P,1.0,Torino,10.0,8.0,0.0,0.0,24.0,-1.0,-3.0,0.0,19_20,4.0,2.0,N
16,Lazio,2019-09-01,N,0.0,Roma,-4.0,1.0,0.0,0.0,-4.0,-3.0,-1.0,0.0,19_20,3.0,4.0,N
17,Udinese,2019-09-01,P,1.0,Parma,10.0,3.0,0.0,0.0,4.0,1.0,-1.0,0.0,19_20,5.0,3.0,N
18,Cagliari,2019-09-01,P,-4.0,Inter,-10.0,-3.0,0.0,0.0,-1.0,-4.0,1.0,0.0,19_20,1.0,8.0,P
19,Lecce,2019-09-01,P,-1.0,Hellas Verona,11.0,0.0,0.0,0.0,14.0,-3.0,1.0,0.0,19_20,0.0,8.0,V
20,Inter,2019-09-14,V,2.0,Udinese,-4.0,-2.5,0.5,0.5,12.5,-1.0,1.0,0.0,19_20,7.0,1.0,V
21,Fiorentina,2019-09-14,N,-0.5,Juventus,5.5,-1.0,1.0,1.0,-7.0,5.0,-2.0,0.0,19_20,2.0,6.0,-1
22,Napoli,2019-09-14,V,3.0,Sampdoria,3.0,1.0,0.0,0.0,15.5,4.5,1.0,-0.5,19_20,9.0,1.0,N
23,SPAL,2019-09-15,V,-1.0,Lazio,-12.0,-6.5,0.0,0.0,-8.5,1.0,-1.0,0.0,19_20,2.0,7.0,P
24,Parma,2019-09-15,P,1.0,Cagliari,-2.5,0.0,0.0,0.0,-7.0,2.5,-1.0,0.0,19_20,1.0,7.0,V
25,Hellas Verona,2019-09-15,P,0.5,Milan,-5.0,1.0,0.0,0.0,-21.0,0.0,-1.0,0.5,19_20,1.0,7.0,P
26,Brescia,2019-09-15,P,-0.5,Bologna,-11.0,-3.5,0.0,0.0,-26.5,3.0,0.0,0.0,19_20,0.0,10.0,N
27,Roma,2019-09-15,V,-0.5,Sassuolo,0.0,-4.0,0.5,0.5,-15.0,1.5,1.0,0.0,19_20,4.0,1.0,V
28,Genoa,2019-09-15,P,0.0,Atalanta,-11.5,-6.0,0.5,0.5,-10.0,1.5,0.0,0.0,19_20,1.0,5.0,P
29,Torino,2019-09-16,P,2.5,Lecce,-4.5,2.5,0.0,0.0,-5.0,7.0,1.0,-0.5,19_20,8.0,2.0,-1
30,Cagliari,2019-09-20,V,-0.6666666666666667,Genoa,-3.333333333333332,-1.0,-0.6666666666666666,-0.6666666666666666,-1.3333333333333357,-1.9999999999999982,2.0,0.0,19_20,2.0,7.0,N
