,a_team,Data,Stadio,Risultato,a_goals,h_team,h_goals,a_total_shots,a_shots_on_target,a_goals_on_penalty,a_total_penalties,a_completed_passings,a_total_passings,a_corners,a_percentage_possession,a_fouls,a_yellow_cards,a_red_cards
0,Atalanta,21-08-2021,Ospiti,V,2,Torino,1,7.0,2.0,0,0,328.0,462.0,1.0,53.0,14.0,2,0
3,Atalanta,18-09-2021,Ospiti,V,1,Salernitana,0,10.0,3.0,0,0,473.0,567.0,4.0,57.0,15.0,4,0
5,Atalanta,25-09-2021,Ospiti,N,2,Inter,2,21.0,5.0,0,0,351.0,429.0,11.0,50.0,12.0,5,0
7,Atalanta,17-10-2021,Ospiti,V,4,Empoli,1,21.0,7.0,0,1,401.0,490.0,4.0,52.0,17.0,2,0
9,Atalanta,27-10-2021,Ospiti,V,3,Sampdoria,1,13.0,4.0,0,0,499.0,611.0,3.0,60.0,19.0,3,0
11,Atalanta,06-11-2021,Ospiti,V,2,Cagliari,1,20.0,8.0,0,0,539.0,641.0,7.0,62.0,10.0,1,0
13,Atalanta,27-11-2021,Ospiti,V,1,Juventus,0,7.0,1.0,0,0,307.0,405.0,4.0,41.0,23.0,5,0
15,Atalanta,04-12-2021,Ospiti,V,3,Napoli,2,21.0,7.0,0,0,391.0,466.0,7.0,45.0,21.0,3,0
16,Atalanta,12-12-2021,Ospiti,V,2,Hellas Verona,1,14.0,6.0,0,0,305.0,453.0,6.0,47.0,11.0,1,0
18,Atalanta,21-12-2021,Ospiti,N,0,Genoa,0,17.0,3.0,0,0,542.0,711.0,8.0,67.0,16.0,1,0
19,Atalanta,09-01-2022,Ospiti,V,6,Udinese,2,21.0,7.0,0,0,568.0,671.0,5.0,60.0,12.0,2,0
21,Atalanta,22-01-2022,Ospiti,N,0,Lazio,0,6.0,2.0,0,0,384.0,468.0,1.0,39.0,17.0,3,0
24,Atalanta,20-02-2022,Ospiti,P,0,Fiorentina,1,7.0,1.0,0,0,382.0,471.0,1.0,51.0,23.0,5,0
26,Atalanta,05-03-2022,Ospiti,P,0,Roma,1,7.0,4.0,0,0,543.0,628.0,3.0,64.0,17.0,4,1
28,Atalanta,20-03-2022,Ospiti,V,1,Bologna,0,15.0,2.0,0,0,279.0,400.0,3.0,40.0,12.0,1,0
30,Atalanta,10-04-2022,Ospiti,P,1,Sassuolo,2,15.0,4.0,0,0,421.0,509.0,8.0,49.0,15.0,1,0
32,Atalanta,23-04-2022,Ospiti,V,3,Venezia,1,19.0,4.0,0,0,555.0,670.0,7.0,61.0,14.0,3,0
35,Atalanta,08-05-2022,Ospiti,V,3,Spezia,1,17.0,6.0,0,0,521.0,614.0,3.0,66.0,14.0,3,0
36,Atalanta,15-05-2022,Ospiti,P,0,Milan,2,12.0,2.0,0,0,407.0,490.0,6.0,55.0,16.0,4,0
1,Bologna,28-08-2021,Ospiti,N,0,Atalanta,0,4.0,1.0,0,0,297.0,421.0,5.0,41.0,16.0,5,0
3,Bologna,18-09-2021,Ospiti,P,1,Inter,6,8.0,2.0,0,0,486.0,546.0,1.0,54.0,11.0,3,0
5,Bologna,26-09-2021,Ospiti,P,2,Empoli,4,20.0,5.0,0,1,420.0,500.0,10.0,63.0,22.0,2,0
7,Bologna,17-10-2021,Ospiti,N,1,Udinese,1,24.0,11.0,0,0,460.0,526.0,8.0,59.0,11.0,7,0
9,Bologna,28-10-2021,Ospiti,P,0,Napoli,3,8.0,1.0,0,0,324.0,392.0,2.0,35.0,6.0,1,0
11,Bologna,07-11-2021,Ospiti,V,2,Sampdoria,1,14.0,6.0,0,0,410.0,516.0,5.0,53.0,14.0,1,0
13,Bologna,28-11-2021,Ospiti,V,1,Spezia,0,16.0,4.0,1,1,463.0,561.0,6.0,57.0,12.0,1,0
16,Bologna,12-12-2021,Ospiti,P,1,Torino,2,7.0,4.0,1,1,361.0,465.0,0.0,51.0,19.0,4,0
18,Bologna,22-12-2021,Ospiti,V,3,Sassuolo,0,9.0,5.0,0,0,299.0,390.0,5.0,41.0,14.0,3,0
19,Bologna,11-01-2022,Ospiti,P,1,Cagliari,2,10.0,3.0,0,0,294.0,426.0,5.0,47.0,19.0,2,0
21,Bologna,21-01-2022,Ospiti,P,1,Hellas Verona,2,8.0,2.0,0,0,247.0,373.0,2.0,43.0,9.0,4,0
23,Bologna,12-02-2022,Ospiti,P,0,Lazio,3,11.0,3.0,0,0,422.0,488.0,3.0,43.0,16.0,2,0
25,Bologna,26-02-2022,Ospiti,N,1,Salernitana,1,8.0,3.0,0,0,276.0,370.0,1.0,44.0,26.0,3,0
27,Bologna,13-03-2022,Ospiti,P,0,Fiorentina,1,4.0,0.0,0,0,243.0,340.0,1.0,39.0,17.0,5,1
29,Bologna,04-04-2022,Ospiti,N,0,Milan,0,8.0,4.0,0,0,328.0,425.0,2.0,47.0,10.0,2,0
31,Bologna,16-04-2022,Ospiti,N,1,Juventus,1,10.0,2.0,0,0,350.0,420.0,5.0,49.0,12.0,5,2
