,h_team,Data,Stadio,Risultato,h_goals,a_team,a_goals,h_total_shots,h_shots_on_target,h_goals_on_penalty,h_total_penalties,h_completed_passings,h_total_passings,h_corners,h_percentage_possession,h_fouls,h_yellow_cards,h_red_cards
1,Atalanta,28-08-2021,Casa,N,0,Bologna,0,22.0,3.0,0,0,484.0,598.0,5.0,59.0,12.0,2,0
2,Atalanta,11-09-2021,Casa,P,1,Fiorentina,2,12.0,4.0,1,1,463.0,555.0,10.0,55.0,13.0,4,0
4,Atalanta,21-09-2021,Casa,V,2,Sassuolo,1,14.0,5.0,0,0,398.0,484.0,5.0,47.0,21.0,2,0
6,Atalanta,03-10-2021,Casa,P,2,Milan,3,16.0,4.0,1,1,406.0,499.0,9.0,56.0,13.0,1,0
8,Atalanta,24-10-2021,Casa,N,1,Udinese,1,8.0,3.0,0,0,582.0,683.0,6.0,67.0,16.0,2,0
10,Atalanta,30-10-2021,Casa,N,2,Lazio,2,17.0,3.0,0,0,531.0,634.0,6.0,56.0,14.0,1,0
12,Atalanta,20-11-2021,Casa,V,5,Spezia,2,17.0,8.0,1,1,449.0,529.0,0.0,50.0,11.0,2,0
14,Atalanta,30-11-2021,Casa,V,4,Venezia,0,19.0,6.0,0,0,551.0,636.0,4.0,58.0,12.0,0,0
17,Atalanta,18-12-2021,Casa,P,1,Roma,4,17.0,6.0,0,0,606.0,704.0,10.0,71.0,11.0,1,0
20,Atalanta,16-01-2022,Casa,N,0,Inter,0,12.0,6.0,0,0,306.0,412.0,6.0,37.0,15.0,2,0
22,Atalanta,06-02-2022,Casa,P,1,Cagliari,2,10.0,4.0,0,0,515.0,629.0,3.0,61.0,14.0,1,1
23,Atalanta,13-02-2022,Casa,N,1,Juventus,1,21.0,3.0,0,0,456.0,551.0,8.0,52.0,13.0,2,0
25,Atalanta,28-02-2022,Casa,V,4,Sampdoria,0,19.0,9.0,0,0,556.0,659.0,8.0,56.0,15.0,1,0
27,Atalanta,13-03-2022,Casa,N,0,Genoa,0,12.0,2.0,0,0,461.0,644.0,4.0,59.0,14.0,2,0
29,Atalanta,03-04-2022,Casa,P,1,Napoli,3,19.0,3.0,0,0,485.0,579.0,9.0,55.0,17.0,2,0
31,Atalanta,18-04-2022,Casa,P,1,Hellas Verona,2,17.0,4.0,0,0,437.0,559.0,10.0,56.0,14.0,3,0
33,Atalanta,27-04-2022,Casa,N,4,Torino,4,15.0,3.0,2,2,359.0,462.0,8.0,49.0,12.0,2,0
34,Atalanta,02-05-2022,Casa,N,1,Salernitana,1,20.0,5.0,0,0,490.0,596.0,11.0,61.0,14.0,3,0
37,Atalanta,21-05-2022,Casa,P,0,Empoli,1,40.0,9.0,0,0,542.0,645.0,15.0,61.0,8.0,1,0
0,Bologna,22-08-2021,Casa,V,3,Salernitana,2,18.0,7.0,0,0,485.0,588.0,9.0,72.0,11.0,6,2
2,Bologna,13-09-2021,Casa,V,1,Hellas Verona,0,16.0,4.0,0,0,257.0,362.0,6.0,43.0,16.0,1,0
4,Bologna,21-09-2021,Casa,N,2,Genoa,2,16.0,4.0,1,1,471.0,567.0,6.0,59.0,15.0,3,0
6,Bologna,03-10-2021,Casa,V,3,Lazio,0,10.0,3.0,0,0,378.0,462.0,3.0,41.0,7.0,2,0
