;h_team;Risultato;a_team;h_total_shots;h_shots_on_target;h_corners;h_percentage_possession;h_fouls;h_yellow_cards;h_red_cards;a_total_shots;a_shots_on_target;a_corners;a_yellow_cards;a_red_cards;a_fouls
0;Hellas Verona;P;Sassuolo;14.0;3.0;7.0;40.0;10.0;3;1;18.0;7.0;4.0;2;0;15.0
0;Inter;V;Genoa;17.0;8.0;8.0;59.0;18.0;1;0;10.0;4.0;2.0;2;0;7.0
0;Torino;P;Atalanta;21.0;7.0;5.0;47.0;17.0;2;0;7.0;2.0;1.0;2;0;14.0
0;Empoli;P;Lazio;17.0;4.0;5.0;46.0;15.0;2;0;7.0;3.0;3.0;1;0;10.0
0;Udinese;N;Juventus;11.0;5.0;3.0;44.0;14.0;1;0;10.0;3.0;3.0;3;0;16.0
0;Napoli;V;Venezia;11.0;3.0;2.0;56.0;4.0;1;1;8.0;4.0;2.0;7;0;23.0
0;Bologna;V;Salernitana;18.0;7.0;9.0;72.0;11.0;6;2;9.0;3.0;4.0;3;1;14.0
0;Roma;V;Fiorentina;11.0;6.0;4.0;42.0;13.0;3;1;11.0;8.0;4.0;2;1;14.0
0;Sampdoria;P;Milan;16.0;3.0;8.0;49.0;20.0;3;0;11.0;4.0;3.0;1;0;15.0
0;Cagliari;N;Spezia;19.0;6.0;11.0;59.0;17.0;2;0;12.0;4.0;4.0;3;0;18.0
0;Hellas Verona;P;Inter;8.0;1.0;6.0;43.0;13.0;2;0;16.0;8.0;4.0;2;0;11.0
0;Udinese;V;Venezia;21.0;10.0;7.0;45.0;13.0;2;0;11.0;3.0;2.0;3;0;9.0
0;Juventus;P;Empoli;19.0;5.0;8.0;54.0;15.0;2;0;12.0;3.0;9.0;3;0;8.0
0;Lazio;V;Spezia;17.0;9.0;4.0;61.0;13.0;0;0;5.0;2.0;2.0;2;1;10.0
0;Atalanta;N;Bologna;22.0;3.0;5.0;59.0;12.0;2;0;4.0;1.0;5.0;5;0;16.0
0;Fiorentina;V;Torino;9.0;6.0;3.0;59.0;14.0;4;0;5.0;1.0;3.0;5;0;30.0
0;Sassuolo;N;Sampdoria;19.0;5.0;8.0;63.0;9.0;2;0;11.0;2.0;6.0;2;0;17.0
0;Genoa;P;Napoli;6.0;3.0;4.0;39.0;20.0;2;0;13.0;8.0;5.0;3;0;18.0
0;Milan;V;Cagliari;17.0;4.0;8.0;57.0;15.0;1;0;7.0;2.0;3.0;5;0;12.0
0;Salernitana;P;Roma;5.0;0.0;1.0;23.0;14.0;2;0;28.0;9.0;10.0;2;0;11.0
0;Atalanta;P;Fiorentina;12.0;4.0;10.0;55.0;13.0;4;0;5.0;0.0;3.0;4;0;21.0
0;Empoli;P;Venezia;21.0;5.0;8.0;69.0;13.0;2;0;10.0;3.0;2.0;5;0;25.0
0;Napoli;V;Juventus;25.0;7.0;13.0;67.0;15.0;2;0;8.0;4.0;1.0;1;0;16.0
0;Cagliari;P;Genoa;8.0;2.0;2.0;53.0;16.0;2;0;11.0;3.0;6.0;3;0;16.0
0;Spezia;P;Udinese;20.0;5.0;4.0;56.0;13.0;1;0;9.0;4.0;5.0;2;0;18.0
0;Sampdoria;N;Inter;14.0;2.0;4.0;52.0;14.0;4;0;8.0;3.0;4.0;4;0;14.0
0;Roma;V;Sassuolo;18.0;6.0;4.0;49.0;7.0;2;0;14.0;7.0;6.0;1;0;11.0
0;Milan;V;Lazio;20.0;3.0;5.0;47.0;12.0;1;0;8.0;5.0;1.0;4;0;19.0
0;Torino;V;Salernitana;15.0;5.0;7.0;60.0;11.0;0;0;8.0;2.0;4.0;2;0;11.0
0;Bologna;V;Hellas Verona;16.0;4.0;6.0;43.0;16.0;1;0;5.0;0.0;2.0;3;0;24.0
0;Sassuolo;P;Torino;10.0;2.0;6.0;52.0;9.0;0;0;18.0;3.0;3.0;4;0;24.0
0;Inter;V;Bologna;19.0;11.0;5.0;46.0;11.0;0;0;8.0;2.0;1.0;3;0;11.0
0;Genoa;P;Fiorentina;8.0;2.0;1.0;37.0;14.0;4;0;16.0;5.0;11.0;4;0;17.0
0;Salernitana;P;Atalanta;11.0;1.0;6.0;43.0;22.0;4;0;10.0;3.0;4.0;4;0;15.0
0;Lazio;N;Cagliari;28.0;10.0;10.0;72.0;5.0;1;0;10.0;3.0;1.0;3;1;13.0
0;Empoli;P;Sampdoria;15.0;4.0;8.0;53.0;11.0;2;0;14.0;8.0;8.0;2;0;15.0
0;Hellas Verona;V;Roma;10.0;6.0;3.0;53.0;18.0;4;0;15.0;2.0;8.0;2;0;17.0
0;Venezia;P;Spezia;14.0;3.0;3.0;45.0;15.0;4;0;12.0;3.0;10.0;1;0;11.0
0;Juventus;N;Milan;9.0;4.0;4.0;44.0;15.0;1;0;13.0;3.0;4.0;1;0;16.0
0;Udinese;P;Napoli;9.0;1.0;2.0;37.0;12.0;2;0;18.0;8.0;5.0;1;0;12.0
0;Fiorentina;P;Inter;14.0;6.0;4.0;53.0;13.0;2;1;17.0;5.0;8.0;3;0;17.0
0;Bologna;N;Genoa;16.0;4.0;6.0;59.0;15.0;3;0;10.0;5.0;2.0;4;0;19.0
0;Atalanta;V;Sassuolo;14.0;5.0;5.0;47.0;21.0;2;0;8.0;1.0;5.0;2;0;18.0
0;Salernitana;N;Hellas Verona;15.0;4.0;4.0;50.0;13.0;2;0;9.0;5.0;5.0;3;0;19.0
0;Cagliari;P;Empoli;15.0;1.0;7.0;49.0;15.0;2;0;18.0;5.0;4.0;1;0;14.0
