,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
0,Atalanta,2021-08-21,Giornata n. 1,Ospiti,V,2,Torino,7.0,2.0,0,0,328.0,462.0,1.0,53.0,14.0,2,0
0,Inter,2021-08-21,Giornata n. 1,Casa,V,4,Genoa,17.0,8.0,0,0,563.0,630.0,8.0,59.0,18.0,1,0
0,Torino,2021-08-21,Giornata n. 1,Casa,P,1,Atalanta,21.0,7.0,0,0,304.0,413.0,5.0,47.0,17.0,2,0
0,Empoli,2021-08-21,Giornata n. 1,Casa,P,1,Lazio,17.0,4.0,0,0,410.0,496.0,5.0,46.0,15.0,2,0
0,Lazio,2021-08-21,Giornata n. 1,Ospiti,V,3,Empoli,7.0,3.0,1,1,517.0,589.0,3.0,54.0,10.0,1,0
0,Sassuolo,2021-08-21,Giornata n. 1,Ospiti,V,3,Hellas Verona,18.0,7.0,0,0,481.0,540.0,4.0,60.0,15.0,2,0
0,Genoa,2021-08-21,Giornata n. 1,Ospiti,P,0,Inter,10.0,4.0,0,0,365.0,430.0,2.0,41.0,7.0,2,0
0,Hellas Verona,2021-08-21,Giornata n. 1,Casa,P,2,Sassuolo,14.0,3.0,1,1,282.0,361.0,7.0,40.0,10.0,3,1
0,Salernitana,2021-08-22,Giornata n. 1,Ospiti,P,2,Bologna,9.0,3.0,1,1,130.0,233.0,4.0,28.0,14.0,3,1
0,Bologna,2021-08-22,Giornata n. 1,Casa,V,3,Salernitana,18.0,7.0,0,0,485.0,588.0,9.0,72.0,11.0,6,2
0,Juventus,2021-08-22,Giornata n. 1,Ospiti,N,2,Udinese,10.0,3.0,0,0,480.0,551.0,3.0,56.0,16.0,3,0
0,Udinese,2021-08-22,Giornata n. 1,Casa,N,2,Juventus,11.0,5.0,1,1,363.0,433.0,3.0,44.0,14.0,1,0
0,Fiorentina,2021-08-22,Giornata n. 1,Ospiti,P,1,Roma,11.0,8.0,0,0,498.0,564.0,4.0,58.0,14.0,2,1
0,Napoli,2021-08-22,Giornata n. 1,Casa,V,2,Venezia,11.0,3.0,1,2,520.0,586.0,2.0,56.0,4.0,1,1
0,Roma,2021-08-22,Giornata n. 1,Casa,V,3,Fiorentina,11.0,6.0,0,0,334.0,407.0,4.0,42.0,13.0,3,1
0,Venezia,2021-08-22,Giornata n. 1,Ospiti,P,0,Napoli,8.0,4.0,0,0,395.0,454.0,2.0,44.0,23.0,7,0
0,Milan,2021-08-23,Giornata n. 1,Ospiti,V,1,Sampdoria,11.0,4.0,0,0,349.0,442.0,3.0,51.0,15.0,1,0
0,Sampdoria,2021-08-23,Giornata n. 1,Casa,P,0,Milan,16.0,3.0,0,0,334.0,432.0,8.0,49.0,20.0,3,0
0,Spezia,2021-08-23,Giornata n. 1,Ospiti,N,2,Cagliari,12.0,4.0,0,0,275.0,356.0,4.0,41.0,18.0,3,0
0,Cagliari,2021-08-23,Giornata n. 1,Casa,N,2,Spezia,19.0,6.0,1,1,409.0,519.0,11.0,59.0,17.0,2,0
1,Venezia,2021-08-27,Giornata n. 2,Ospiti,P,0,Udinese,11.0,3.0,0,0,473.0,556.0,2.0,55.0,9.0,3,0
1,Udinese,2021-08-27,Giornata n. 2,Casa,V,3,Venezia,21.0,10.0,0,0,369.0,464.0,7.0,45.0,13.0,2,0
1,Inter,2021-08-27,Giornata n. 2,Ospiti,V,3,Hellas Verona,16.0,8.0,0,0,388.0,492.0,4.0,57.0,11.0,2,0
1,Hellas Verona,2021-08-27,Giornata n. 2,Casa,P,1,Inter,8.0,1.0,0,0,280.0,367.0,6.0,43.0,13.0,2,0
1,Atalanta,2021-08-28,Giornata n. 2,Casa,N,0,Bologna,22.0,3.0,0,0,484.0,598.0,5.0,59.0,12.0,2,0
