,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season
0,Chievo,2018-08-18,P,-1.0,Juventus,-23.0,-9.0,1,1,-44.0,3.0,2,0,2018-2019
1,Lazio,2018-08-18,P,-1.0,Napoli,0.0,-1.0,0,0,-28.0,3.0,0,0,2018-2019
2,Empoli,2018-08-19,V,2.0,Cagliari,-6.0,1.0,0,0,-6.0,-1.0,0,0,2018-2019
3,Torino,2018-08-19,P,-1.0,Roma,-7.0,-1.0,0,0,-16.0,-3.0,-2,0,2018-2019
4,Parma,2018-08-19,N,0.0,Udinese,-6.0,1.0,-1,-1,-12.0,1.0,0,0,2018-2019
5,Sassuolo,2018-08-19,V,1.0,Inter,-3.0,-1.0,1,1,-22.0,10.0,1,0,2018-2019
6,Bologna,2018-08-19,P,-1.0,SPAL,-1.0,-2.0,0,0,-18.0,1.0,1,1,2018-2019
7,Atalanta,2018-08-20,V,4.0,Frosinone,11.0,9.0,0,0,16.0,1.0,-2,0,2018-2019
8,Juventus,2018-08-25,V,2.0,Lazio,11.0,4.0,0,0,8.0,-1.0,1,0,2018-2019
9,Napoli,2018-08-25,V,1.0,Milan,17.0,6.0,0,0,2.0,0.0,0,0,2018-2019
10,Frosinone,2018-08-26,N,0.0,Bologna,-6.0,1.0,0,0,4.0,7.0,1,0,2018-2019
11,Genoa,2018-08-26,V,1.0,Empoli,-8.0,-1.0,0,0,-36.0,-1.0,1,0,2018-2019
12,SPAL,2018-08-26,V,1.0,Parma,12.0,5.0,0,0,18.0,-2.0,3,0,2018-2019
13,Cagliari,2018-08-26,N,0.0,Sassuolo,2.0,2.0,-1,-1,-18.0,-2.0,1,-1,2018-2019
14,Udinese,2018-08-26,V,1.0,Sampdoria,2.0,3.0,0,0,-26.0,0.0,-2,0,2018-2019
15,Fiorentina,2018-08-26,V,5.0,Chievo,12.0,8.0,0,0,-8.0,6.0,-2,0,2018-2019
16,Inter,2018-08-26,N,0.0,Torino,0.0,-1.0,0,0,8.0,-3.0,-1,0,2018-2019
17,Roma,2018-08-27,N,0.0,Atalanta,1.0,3.0,0,0,10.0,-4.0,0,0,2018-2019
18,Milan,2018-08-31,V,1.0,Roma,19.0,8.0,0,0,4.0,1.0,-2,0,2018-2019
19,Parma,2018-09-01,P,-1.0,Juventus,-13.0,-2.0,0,0,-32.0,6.0,-2,0,2018-2019
20,Bologna,2018-09-01,P,-3.0,Inter,-7.0,-2.0,0,0,-44.0,0.0,0,0,2018-2019
21,Atalanta,2018-09-02,P,-1.0,Cagliari,6.0,-1.0,0,0,6.0,-4.0,0,0,2018-2019
22,Sampdoria,2018-09-02,V,3.0,Napoli,-11.0,-1.0,0,0,-2.0,-6.0,-2,0,2018-2019
23,Sassuolo,2018-09-02,V,2.0,Genoa,-9.0,2.0,0,0,-12.0,-3.0,0,0,2018-2019
24,Chievo,2018-09-02,N,0.0,Empoli,-2.0,1.0,0,0,-28.0,1.0,0,0,2018-2019
25,Fiorentina,2018-09-02,V,1.0,Udinese,8.0,2.0,0,0,24.0,-6.0,2,0,2018-2019
26,Lazio,2018-09-02,V,1.0,Frosinone,14.0,4.0,0,0,28.0,5.0,-1,0,2018-2019
27,Torino,2018-09-02,V,1.0,SPAL,-2.0,4.0,0,0,4.0,-1.0,-1,0,2018-2019
28,Frosinone,2018-09-15,P,-5.0,Sampdoria,-3.0,-4.0,-1,-1,-24.0,-4.0,2,0,2018-2019
29,Napoli,2018-09-15,V,1.0,Fiorentina,12.0,2.0,0,0,14.0,-2.0,-3,0,2018-2019
30,Inter,2018-09-15,P,-1.0,Parma,22.0,2.0,0,0,46.0,2.0,0,0,2018-2019
31,Genoa,2018-09-16,V,1.0,Bologna,0.0,3.0,0,0,4.0,-7.0,-3,-1,2018-2019
32,Roma,2018-09-16,N,0.0,Chievo,4.0,4.0,0,0,12.0,-5.0,0,0,2018-2019
33,Empoli,2018-09-16,P,-1.0,Lazio,-8.0,-2.0,0,0,10.0,1.0,-1,0,2018-2019
34,Juventus,2018-09-16,V,1.0,Sassuolo,1.0,-1.0,0,0,-14.0,0.0,0,1,2018-2019
35,Udinese,2018-09-16,N,0.0,Torino,-9.0,-3.0,0,0,-32.0,1.0,0,0,2018-2019
36,Cagliari,2018-09-16,N,0.0,Milan,-14.0,-3.0,0,0,-26.0,3.0,0,0,2018-2019
37,SPAL,2018-09-17,V,2.0,Atalanta,3.0,4.0,0,0,-16.0,-4.0,-2,0,2018-2019
38,Sampdoria,2018-09-19,N,0.0,Fiorentina,-4.0,-5.0,0,0,20.0,-3.0,1,0,2018-2019
39,Sassuolo,2018-09-21,V,2.0,Empoli,7.0,4.0,0,0,20.0,11.0,-2,-1,2018-2019
40,Sampdoria,2018-09-22,P,-1.0,Inter,-7.0,0.0,0,0,-4.0,2.0,1,0,2018-2019
41,Parma,2018-09-22,V,2.0,Cagliari,2.0,4.0,0,0,-40.0,8.0,1,0,2018-2019
42,Fiorentina,2018-09-22,V,3.0,SPAL,9.0,3.0,0,0,6.0,-7.0,-1,0,2018-2019
43,Lazio,2018-09-23,V,3.0,Genoa,9.0,3.0,0,0,14.0,1.0,-1,0,2018-2019
44,Torino,2018-09-23,P,-2.0,Napoli,-7.0,-5.0,1,1,-6.0,7.0,-1,0,2018-2019
45,Frosinone,2018-09-23,P,-2.0,Juventus,-27.0,-9.0,0,0,-40.0,7.0,2,0,2018-2019
