,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a
0,Fiorentina,2019-08-24,P,-1.0,Napoli,5.0,0.0,0.0,0.0,-126.0,-139.0,-1.0,-14.0,4.0,-2.0,0.0,19_20,3.0,5.0
1,Parma,2019-08-24,P,-1.0,Juventus,-5.0,-1.0,0.0,0.0,-205.0,-215.0,-3.0,-24.0,2.0,-1.0,0.0,19_20,0.0,9.0
2,Torino,2019-08-25,V,1.0,Sassuolo,-8.0,-4.0,0.0,0.0,-248.0,-250.0,0.0,-30.0,6.0,1.0,0.0,19_20,5.0,1.0
3,Cagliari,2019-08-25,P,-1.0,Brescia,5.0,3.0,-1.0,-1.0,163.0,167.0,0.0,18.0,-2.0,0.0,0.0,19_20,8.0,1.0
4,Roma,2019-08-25,N,0.0,Genoa,18.0,6.0,-1.0,-1.0,62.0,77.0,4.0,8.0,-1.0,2.0,0.0,19_20,6.0,0.0
5,Sampdoria,2019-08-25,P,-3.0,Lazio,-3.0,-3.0,0.0,0.0,1.0,-3.0,-4.0,0.0,0.0,0.0,0.0,19_20,1.0,8.0
6,SPAL,2019-08-25,P,-1.0,Atalanta,-13.0,-10.0,0.0,0.0,-138.0,-153.0,-8.0,-18.0,-6.0,1.0,0.0,19_20,2.0,6.0
7,Hellas Verona,2019-08-25,N,0.0,Bologna,-10.0,1.0,-1.0,-1.0,-417.0,-419.0,-5.0,-48.0,-3.0,-2.0,1.0,19_20,1.0,6.0
8,Udinese,2019-08-25,V,1.0,Milan,6.0,6.0,0.0,0.0,-169.0,-159.0,5.0,-16.0,5.0,-2.0,0.0,19_20,1.0,4.0
9,Inter,2019-08-26,V,4.0,Lecce,8.0,5.0,0.0,0.0,203.0,202.0,0.0,20.0,6.0,-1.0,-1.0,19_20,9.0,0.0
10,Bologna,2019-08-30,V,-1.0,SPAL,6.0,-2.0,1.0,1.0,279.0,271.0,4.0,33.0,1.0,1.0,0.0,19_20,7.0,2.0
11,Milan,2019-08-31,V,-1.0,Brescia,4.0,-1.0,-1.0,-1.0,228.0,173.0,-4.0,17.0,-2.0,1.0,0.0,19_20,10.0,0.0
12,Juventus,2019-08-31,V,-3.0,Napoli,0.0,-1.0,-1.0,-1.0,15.0,16.0,3.0,5.0,-4.0,-1.0,0.0,19_20,5.0,4.0
13,Genoa,2019-09-01,V,0.0,Fiorentina,-14.0,-2.0,0.0,0.0,4.0,0.0,-3.0,3.0,-6.0,-1.0,0.0,19_20,1.0,3.0
14,Sassuolo,2019-09-01,V,1.0,Sampdoria,4.0,2.0,0.0,0.0,55.0,63.0,1.0,15.0,4.0,1.0,0.0,19_20,5.0,2.0
15,Atalanta,2019-09-01,P,1.0,Torino,10.0,8.0,0.0,0.0,207.0,234.0,4.0,24.0,-1.0,-3.0,0.0,19_20,4.0,2.0
16,Lazio,2019-09-01,N,0.0,Roma,-4.0,1.0,0.0,0.0,-12.0,-10.0,4.0,-4.0,-3.0,-1.0,0.0,19_20,3.0,4.0
17,Udinese,2019-09-01,P,1.0,Parma,10.0,3.0,0.0,0.0,43.0,51.0,4.0,4.0,1.0,-1.0,0.0,19_20,5.0,3.0
