,Data,Casa,Punteggio,Ospiti
0,2017-08-19,Juventus,3–0,Cagliari
1,2017-08-19,Hellas Verona,1–3,Napoli
2,2017-08-20,Atalanta,0–1,Roma
3,2017-08-20,Sampdoria,2–1,Benevento
4,2017-08-20,Inter,3–0,Fiorentina
5,2017-08-20,Crotone,0–3,Milan
6,2017-08-20,Bologna,1–1,Torino
7,2017-08-20,Sassuolo,0–0,Genoa
8,2017-08-20,Lazio,0–0,SPAL
9,2017-08-20,Udinese,1–2,Chievo
11,2017-08-26,Benevento,0–1,Bologna
12,2017-08-26,Genoa,2–4,Juventus
13,2017-08-26,Roma,1–3,Inter
14,2017-08-27,Torino,3–0,Sassuolo
15,2017-08-27,Milan,2–1,Cagliari
16,2017-08-27,Crotone,0–0,Hellas Verona
17,2017-08-27,SPAL,3–2,Udinese
18,2017-08-27,Napoli,3–1,Atalanta
19,2017-08-27,Chievo,1–2,Lazio
20,2017-08-27,Fiorentina,1–2,Sampdoria
22,2017-09-09,Juventus,3–0,Chievo
23,2017-09-10,Inter,2–0,SPAL
24,2017-09-10,Atalanta,2–1,Sassuolo
25,2017-09-10,Cagliari,1–0,Crotone
26,2017-09-10,Udinese,1–0,Genoa
27,2017-09-10,Hellas Verona,0–5,Fiorentina
28,2017-09-10,Lazio,4–1,Milan
29,2017-09-10,Benevento,0–1,Torino
30,2017-09-10,Bologna,0–3,Napoli
32,2017-09-16,Crotone,0–2,Inter
33,2017-09-16,Fiorentina,2–1,Bologna
34,2017-09-16,Roma,3–0,Hellas Verona
35,2017-09-17,Sassuolo,1–3,Juventus
36,2017-09-17,Milan,2–1,Udinese
37,2017-09-17,Napoli,6–0,Benevento
38,2017-09-17,SPAL,0–2,Cagliari
39,2017-09-17,Torino,2–2,Sampdoria
40,2017-09-17,Chievo,1–1,Atalanta
41,2017-09-17,Genoa,2–3,Lazio
43,2017-09-19,Bologna,1–1,Inter
44,2017-09-20,Benevento,0–4,Roma
45,2017-09-20,Atalanta,5–1,Crotone
46,2017-09-20,Milan,2–0,SPAL
47,2017-09-20,Genoa,1–1,Chievo
48,2017-09-20,Lazio,1–4,Napoli
49,2017-09-20,Udinese,2–3,Torino
50,2017-09-20,Hellas Verona,0–0,Sampdoria
51,2017-09-20,Juventus,1–0,Fiorentina
52,2017-09-20,Cagliari,0–1,Sassuolo
54,2017-09-23,Roma,3–1,Udinese
55,2017-09-23,SPAL,2–3,Napoli
56,2017-09-23,Juventus,4–0,Torino
57,2017-09-24,Sampdoria,2–0,Milan
58,2017-09-24,Inter,1–0,Genoa
59,2017-09-24,Crotone,2–0,Benevento
60,2017-09-24,Cagliari,0–2,Chievo
61,2017-09-24,Hellas Verona,0–3,Lazio
62,2017-09-24,Sassuolo,0–1,Bologna
63,2017-09-24,Fiorentina,1–1,Atalanta
65,2017-09-30,Udinese,4–0,Sampdoria
66,2017-09-30,Genoa,0–1,Bologna
67,2017-10-01,Napoli,3–0,Cagliari
68,2017-10-01,Lazio,6–1,Sassuolo
69,2017-10-01,Chievo,2–1,Fiorentina
70,2017-10-01,Benevento,1–2,Inter
71,2017-10-01,Torino,2–2,Hellas Verona
72,2017-10-01,SPAL,1–1,Crotone
73,2017-10-01,Milan,0–2,Roma
74,2017-10-01,Atalanta,2–2,Juventus
76,2017-10-14,Juventus,1–2,Lazio
77,2017-10-14,Roma,0–1,Napoli
78,2017-10-15,Fiorentina,2–1,Udinese
79,2017-10-15,Sassuolo,0–0,Chievo
80,2017-10-15,Crotone,2–2,Torino
81,2017-10-15,Bologna,2–1,SPAL
82,2017-10-15,Cagliari,2–3,Genoa
83,2017-10-15,Sampdoria,3–1,Atalanta
84,2017-10-15,Inter,3–2,Milan
85,2017-10-16,Hellas Verona,1–0,Benevento
87,2017-10-21,Sampdoria,5–0,Crotone
88,2017-10-21,Napoli,0–0,Inter
89,2017-10-22,Chievo,3–2,Hellas Verona
90,2017-10-22,Milan,0–0,Genoa
91,2017-10-22,Benevento,0–3,Fiorentina
92,2017-10-22,Torino,0–1,Roma
93,2017-10-22,Atalanta,1–0,Bologna
94,2017-10-22,SPAL,0–1,Sassuolo
95,2017-10-22,Udinese,2–6,Juventus
96,2017-10-22,Lazio,3–0,Cagliari
98,2017-10-24,Inter,3–2,Sampdoria
99,2017-10-25,Atalanta,3–0,Hellas Verona
100,2017-10-25,Fiorentina,3–0,Torino
101,2017-10-25,Sassuolo,0–1,Udinese
102,2017-10-25,Roma,1–0,Crotone
103,2017-10-25,Juventus,4–1,SPAL
