,team1,team2,result,date
0,Fiorentina,Torino,V,2020-09-19
0,Hellas Verona,Roma,V,2020-09-19
0,Parma,Napoli,P,2020-09-20
0,Juventus,Sampdoria,V,2020-09-20
0,Sassuolo,Cagliari,N,2020-09-20
0,Genoa,Crotone,V,2020-09-20
1,Milan,Bologna,V,2020-09-21
1,Cagliari,Lazio,P,2020-09-26
1,Torino,Atalanta,P,2020-09-26
0,Inter,Fiorentina,V,2020-09-26
1,Sampdoria,Benevento,P,2020-09-26
1,Hellas Verona,Udinese,V,2020-09-27
1,Napoli,Genoa,V,2020-09-27
1,Roma,Juventus,N,2020-09-27
1,Crotone,Milan,P,2020-09-27
0,Spezia,Sassuolo,P,2020-09-27
1,Bologna,Parma,V,2020-09-28
1,Benevento,Inter,P,2020-09-30
1,Lazio,Atalanta,P,2020-09-30
1,Udinese,Spezia,P,2020-09-30
2,Fiorentina,Sampdoria,P,2020-10-02
2,Sassuolo,Crotone,V,2020-10-03
2,Udinese,Roma,P,2020-10-03
2,Lazio,Inter,N,2020-10-04
2,Parma,Hellas Verona,V,2020-10-04
5,Milan,Spezia,V,2020-10-04
2,Atalanta,Cagliari,V,2020-10-04
2,Benevento,Bologna,V,2020-10-04
3,Inter,Milan,P,2020-10-17
3,Sampdoria,Lazio,V,2020-10-17
2,Napoli,Atalanta,V,2020-10-17
3,Crotone,Juventus,N,2020-10-17
3,Udinese,Parma,V,2020-10-18
2,Torino,Cagliari,P,2020-10-18
3,Roma,Benevento,V,2020-10-18
3,Spezia,Fiorentina,N,2020-10-18
3,Bologna,Sassuolo,P,2020-10-18
3,Hellas Verona,Genoa,N,2020-10-19
4,Sassuolo,Torino,N,2020-10-23
3,Genoa,Inter,P,2020-10-24
5,Atalanta,Sampdoria,P,2020-10-24
5,Lazio,Bologna,V,2020-10-24
4,Fiorentina,Udinese,V,2020-10-25
4,Cagliari,Crotone,V,2020-10-25
4,Parma,Spezia,N,2020-10-25
4,Benevento,Napoli,P,2020-10-25
4,Juventus,Hellas Verona,N,2020-10-25
8,Milan,Roma,N,2020-10-26
6,Crotone,Atalanta,P,2020-10-31
7,Inter,Parma,N,2020-10-31
6,Bologna,Cagliari,V,2020-10-31
7,Roma,Fiorentina,V,2020-11-01
6,Udinese,Milan,P,2020-11-01
6,Sampdoria,Genoa,N,2020-11-01
5,Torino,Lazio,P,2020-11-01
6,Spezia,Juventus,P,2020-11-01
6,Napoli,Sassuolo,P,2020-11-01
6,Hellas Verona,Benevento,V,2020-11-02
6,Genoa,Torino,P,2020-11-04
6,Sassuolo,Udinese,N,2020-11-06
7,Benevento,Spezia,P,2020-11-07
7,Cagliari,Sampdoria,V,2020-11-07
7,Parma,Fiorentina,N,2020-11-07
7,Torino,Crotone,N,2020-11-08
12,Milan,Hellas Verona,N,2020-11-08
7,Bologna,Napoli,P,2020-11-08
9,Atalanta,Inter,N,2020-11-08
9,Lazio,Juventus,N,2020-11-08
7,Genoa,Roma,P,2020-11-08
9,Juventus,Cagliari,V,2020-11-21
8,Crotone,Lazio,P,2020-11-21
8,Spezia,Atalanta,N,2020-11-21
10,Inter,Torino,V,2020-11-22
8,Hellas Verona,Sassuolo,P,2020-11-22
9,Napoli,Milan,P,2020-11-22
8,Fiorentina,Benevento,P,2020-11-22
8,Udinese,Genoa,V,2020-11-22
10,Roma,Parma,V,2020-11-22
8,Sampdoria,Bologna,P,2020-11-22
12,Atalanta,Hellas Verona,P,2020-11-28
9,Benevento,Juventus,N,2020-11-28
8,Sassuolo,Inter,P,2020-11-28
11,Napoli,Roma,V,2020-11-29
12,Lazio,Udinese,P,2020-11-29
15,Milan,Fiorentina,V,2020-11-29
10,Bologna,Crotone,V,2020-11-29
10,Cagliari,Spezia,N,2020-11-29
10,Genoa,Parma,P,2020-11-30
10,Torino,Sampdoria,N,2020-11-30
13,Juventus,Torino,V,2020-12-05
11,Spezia,Lazio,P,2020-12-05
14,Inter,Bologna,V,2020-12-05
11,Hellas Verona,Cagliari,N,2020-12-06
11,Parma,Benevento,N,2020-12-06
11,Sampdoria,Milan,P,2020-12-06
10,Crotone,Napoli,P,2020-12-06
14,Roma,Sassuolo,N,2020-12-06
11,Fiorentina,Genoa,N,2020-12-07
10,Sassuolo,Benevento,V,2020-12-11
16,Lazio,Hellas Verona,P,2020-12-12
12,Torino,Udinese,P,2020-12-12
11,Crotone,Spezia,V,2020-12-12
12,Genoa,Juventus,P,2020-12-13
15,Napoli,Sampdoria,V,2020-12-13
12,Cagliari,Inter,P,2020-12-13
19,Milan,Parma,N,2020-12-13
15,Atalanta,Fiorentina,V,2020-12-13
12,Bologna,Roma,P,2020-12-13
12,Benevento,Lazio,N,2020-12-15
12,Udinese,Crotone,N,2020-12-15
13,Spezia,Bologna,N,2020-12-16
16,Juventus,Atalanta,N,2020-12-16
13,Genoa,Milan,N,2020-12-16
13,Hellas Verona,Sampdoria,P,2020-12-16
17,Inter,Napoli,V,2020-12-16
13,Parma,Cagliari,N,2020-12-16
13,Fiorentina,Sassuolo,N,2020-12-16
17,Roma,Torino,V,2020-12-17
14,Fiorentina,Hellas Verona,N,2020-12-19
14,Sampdoria,Crotone,V,2020-12-19
14,Parma,Juventus,P,2020-12-19
13,Benevento,Genoa,V,2020-12-20
17,Atalanta,Roma,V,2020-12-20
18,Inter,Spezia,V,2020-12-20
18,Lazio,Napoli,V,2020-12-20
14,Cagliari,Udinese,N,2020-12-20
12,Sassuolo,Milan,P,2020-12-20
14,Torino,Bologna,N,2020-12-20
18,Juventus,Fiorentina,P,2020-12-22
14,Crotone,Parma,V,2020-12-22
22,Milan,Lazio,V,2020-12-23
14,Udinese,Benevento,P,2020-12-23
15,Bologna,Atalanta,N,2020-12-23
15,Sampdoria,Sassuolo,P,2020-12-23
15,Spezia,Genoa,P,2020-12-23
15,Hellas Verona,Inter,P,2020-12-23
19,Roma,Cagliari,V,2020-12-23
18,Napoli,Torino,N,2020-12-23
16,Cagliari,Napoli,P,2021-01-03
20,Inter,Crotone,V,2021-01-03
16,Genoa,Lazio,N,2021-01-03
16,Parma,Torino,P,2021-01-03
19,Atalanta,Sassuolo,V,2021-01-03
16,Spezia,Hellas Verona,P,2021-01-03
19,Juventus,Udinese,V,2021-01-03
15,Benevento,Milan,P,2021-01-03
16,Fiorentina,Bologna,N,2021-01-03
20,Roma,Sampdoria,V,2021-01-03
17,Bologna,Udinese,N,2021-01-06
16,Crotone,Roma,P,2021-01-06
24,Milan,Juventus,P,2021-01-06
21,Lazio,Fiorentina,V,2021-01-06
20,Atalanta,Parma,V,2021-01-06
17,Torino,Hellas Verona,N,2021-01-06
17,Cagliari,Benevento,P,2021-01-06
17,Sampdoria,Inter,V,2021-01-06
20,Napoli,Spezia,P,2021-01-06
15,Sassuolo,Genoa,V,2021-01-06
17,Benevento,Atalanta,P,2021-01-09
25,Milan,Torino,V,2021-01-09
18,Genoa,Bologna,V,2021-01-09
18,Fiorentina,Cagliari,V,2021-01-10
18,Hellas Verona,Crotone,V,2021-01-10
21,Juventus,Sassuolo,V,2021-01-10
17,Udinese,Napoli,P,2021-01-10
18,Parma,Lazio,P,2021-01-10
22,Roma,Inter,N,2021-01-10
