,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
0,Roma,2020-09-19,Giornata n. 1,Ospiti,P,0,Hellas Verona,21,4,0,0,423.0,549.0,6.0,60.0,21,0,0
0,Torino,2020-09-19,Giornata n. 1,Ospiti,P,0,Fiorentina,6,3,0,0,380.0,467.0,1.0,50.0,21,1,0
0,Fiorentina,2020-09-19,Giornata n. 1,Casa,V,1,Torino,16,6,0,0,402.0,474.0,4.0,50.0,17,3,0
0,Hellas Verona,2020-09-19,Giornata n. 1,Casa,V,3,Roma,8,3,0,0,253.0,375.0,0.0,40.0,20,2,0
0,Napoli,2020-09-20,Giornata n. 1,Ospiti,V,2,Parma,17,6,0,0,597.0,689.0,2.0,60.0,12,1,0
0,Crotone,2020-09-20,Giornata n. 1,Ospiti,P,1,Genoa,13,3,0,0,465.0,545.0,4.0,51.0,16,2,0
0,Genoa,2020-09-20,Giornata n. 1,Casa,V,4,Crotone,15,6,0,0,434.0,518.0,6.0,49.0,13,4,0
0,Sassuolo,2020-09-20,Giornata n. 1,Casa,N,1,Cagliari,33,9,0,0,633.0,709.0,7.0,67.0,11,1,0
0,Parma,2020-09-20,Giornata n. 1,Casa,P,0,Napoli,6,2,0,0,372.0,450.0,4.0,40.0,17,4,0
0,Cagliari,2020-09-20,Giornata n. 1,Ospiti,N,1,Sassuolo,8,4,0,0,283.0,345.0,3.0,33.0,20,3,0
0,Juventus,2020-09-20,Giornata n. 1,Casa,V,3,Sampdoria,21,8,0,0,684.0,764.0,6.0,66.0,15,1,0
0,Sampdoria,2020-09-20,Giornata n. 1,Ospiti,P,0,Juventus,15,1,0,0,302.0,394.0,4.0,34.0,9,1,0
0,Bologna,2020-09-21,Giornata n. 1,Ospiti,P,0,Milan,13,4,0,0,334.0,409.0,4.0,42.0,23,5,1
0,Milan,2020-09-21,Giornata n. 1,Casa,V,2,Bologna,16,4,1,1,467.0,560.0,7.0,58.0,18,3,0
0,Benevento,2020-09-26,Giornata n. 2,Ospiti,V,3,Sampdoria,14,5,0,0,446.0,552.0,4.0,60.0,14,1,0
0,Atalanta,2020-09-26,Giornata n. 2,Ospiti,V,4,Torino,17,7,0,0,486.0,588.0,6.0,55.0,15,2,0
1,Sampdoria,2020-09-26,Giornata n. 2,Casa,P,2,Benevento,9,3,0,0,247.0,368.0,6.0,40.0,18,3,0
1,Fiorentina,2020-09-26,Giornata n. 2,Ospiti,P,3,Inter,10,4,0,0,276.0,359.0,1.0,34.0,13,1,0
1,Torino,2020-09-26,Giornata n. 2,Casa,P,2,Atalanta,8,4,0,0,384.0,483.0,2.0,45.0,15,1,0
0,Inter,2020-09-26,Giornata n. 2,Casa,V,4,Fiorentina,21,7,0,0,622.0,709.0,5.0,66.0,15,1,0
0,Lazio,2020-09-26,Giornata n. 2,Ospiti,V,2,Cagliari,16,7,0,0,477.0,573.0,6.0,55.0,15,1,0
1,Cagliari,2020-09-26,Giornata n. 2,Casa,P,0,Lazio,9,2,0,0,374.0,463.0,3.0,45.0,8,1,0
1,Hellas Verona,2020-09-27,Giornata n. 2,Casa,V,1,Udinese,11,2,0,0,312.0,437.0,1.0,48.0,15,1,0
1,Juventus,2020-09-27,Giornata n. 2,Ospiti,N,2,Roma,7,2,1,1,576.0,659.0,7.0,60.0,9,3,1
0,Spezia,2020-09-27,Giornata n. 2,Casa,P,1,Sassuolo,12,5,0,0,287.0,358.0,3.0,34.0,16,2,0
0,Udinese,2020-09-27,Giornata n. 2,Ospiti,P,0,Hellas Verona,21,4,0,0,348.0,476.0,9.0,52.0,14,0,0
1,Sassuolo,2020-09-27,Giornata n. 2,Ospiti,V,4,Spezia,16,5,1,1,616.0,695.0,5.0,66.0,8,1,0
1,Roma,2020-09-27,Giornata n. 2,Casa,N,2,Juventus,10,4,1,1,363.0,435.0,5.0,40.0,21,2,0
1,Milan,2020-09-27,Giornata n. 2,Ospiti,V,2,Crotone,14,5,1,1,432.0,543.0,5.0,53.0,15,3,0
1,Napoli,2020-09-27,Giornata n. 2,Casa,V,6,Genoa,18,10,0,0,611.0,669.0,4.0,57.0,9,1,0
1,Crotone,2020-09-27,Giornata n. 2,Casa,P,0,Milan,6,0,0,0,374.0,474.0,2.0,47.0,14,1,0
1,Genoa,2020-09-27,Giornata n. 2,Ospiti,P,0,Napoli,6,0,0,0,435.0,508.0,2.0,43.0,14,2,0
1,Parma,2020-09-28,Giornata n. 2,Ospiti,P,1,Bologna,8,3,0,0,303.0,404.0,9.0,42.0,12,2,1
1,Bologna,2020-09-28,Giornata n. 2,Casa,V,4,Parma,13,8,0,0,466.0,560.0,8.0,58.0,14,1,0
1,Lazio,2020-09-30,Giornata n. 1,Casa,P,1,Atalanta,14,5,0,0,571.0,688.0,7.0,60.0,15,7,0
1,Atalanta,2020-09-30,Giornata n. 1,Ospiti,V,4,Lazio,10,6,0,0,335.0,451.0,3.0,40.0,15,2,0
1,Udinese,2020-09-30,Giornata n. 1,Casa,P,0,Spezia,15,4,0,0,404.0,491.0,2.0,48.0,15,0,0
1,Benevento,2020-09-30,Giornata n. 1,Casa,P,2,Inter,11,6,0,0,283.0,364.0,5.0,34.0,10,1,0
1,Spezia,2020-09-30,Giornata n. 1,Ospiti,V,2,Udinese,4,2,0,0,432.0,526.0,2.0,52.0,17,5,1
1,Inter,2020-09-30,Giornata n. 1,Ospiti,V,5,Benevento,18,8,0,0,647.0,715.0,1.0,66.0,17,0,0
2,Fiorentina,2020-10-02,Giornata n. 3,Casa,P,1,Sampdoria,22,5,0,0,503.0,610.0,8.0,65.0,12,0,0
2,Sampdoria,2020-10-02,Giornata n. 3,Ospiti,V,2,Fiorentina,18,7,1,1,239.0,332.0,4.0,35.0,19,3,0
2,Udinese,2020-10-03,Giornata n. 3,Casa,P,0,Roma,10,4,0,0,367.0,475.0,4.0,45.0,16,1,0
2,Crotone,2020-10-03,Giornata n. 3,Ospiti,P,1,Sassuolo,15,4,1,1,348.0,448.0,4.0,47.0,17,3,0
2,Sassuolo,2020-10-03,Giornata n. 3,Casa,V,4,Crotone,6,3,1,1,420.0,514.0,3.0,53.0,15,2,0
2,Roma,2020-10-03,Giornata n. 3,Ospiti,V,1,Udinese,14,3,0,0,493.0,586.0,1.0,55.0,9,0,0
2,Bologna,2020-10-04,Giornata n. 3,Ospiti,P,0,Benevento,17,7,0,0,391.0,470.0,10.0,59.0,15,1,0
2,Atalanta,2020-10-04,Giornata n. 3,Casa,V,5,Cagliari,21,12,0,0,557.0,645.0,3.0,59.0,12,0,0
2,Hellas Verona,2020-10-04,Giornata n. 3,Ospiti,P,0,Parma,8,2,0,0,465.0,568.0,6.0,61.0,21,1,0
2,Parma,2020-10-04,Giornata n. 3,Casa,V,1,Hellas Verona,11,4,0,0,277.0,369.0,7.0,39.0,12,1,0
2,Lazio,2020-10-04,Giornata n. 3,Casa,N,1,Inter,13,4,0,0,358.0,432.0,7.0,40.0,16,3,1
2,Spezia,2020-10-04,Giornata n. 3,Ospiti,P,0,Milan,4,2,0,0,303.0,401.0,6.0,39.0,19,2,0
