,team1,date,matchday,stadium,result,goals,team2
1,Hellas Verona,2021-08-21,Giornata n. 1,Casa,P,2,Sassuolo
0,Inter,2021-08-21,Giornata n. 1,Casa,V,4,Genoa
1,Torino,2021-08-21,Giornata n. 1,Casa,P,1,Atalanta
1,Empoli,2021-08-21,Giornata n. 1,Casa,P,1,Lazio
1,Udinese,2021-08-22,Giornata n. 1,Casa,N,2,Juventus
0,Napoli,2021-08-22,Giornata n. 1,Casa,V,2,Venezia
1,Bologna,2021-08-22,Giornata n. 1,Casa,V,3,Salernitana
1,Roma,2021-08-22,Giornata n. 1,Casa,V,3,Fiorentina
1,Sampdoria,2021-08-23,Giornata n. 1,Casa,P,0,Milan
1,Cagliari,2021-08-23,Giornata n. 1,Casa,N,2,Spezia
2,Hellas Verona,2021-08-27,Giornata n. 2,Casa,P,1,Inter
2,Udinese,2021-08-27,Giornata n. 2,Casa,V,3,Venezia
1,Juventus,2021-08-28,Giornata n. 2,Casa,P,0,Empoli
1,Lazio,2021-08-28,Giornata n. 2,Casa,V,6,Spezia
1,Atalanta,2021-08-28,Giornata n. 2,Casa,N,0,Bologna
2,Fiorentina,2021-08-28,Giornata n. 2,Casa,V,2,Torino
1,Sassuolo,2021-08-29,Giornata n. 2,Casa,N,0,Sampdoria
2,Genoa,2021-08-29,Giornata n. 2,Casa,P,1,Napoli
1,Milan,2021-08-29,Giornata n. 2,Casa,V,4,Cagliari
2,Salernitana,2021-08-29,Giornata n. 2,Casa,P,0,Roma
2,Atalanta,2021-09-11,Giornata n. 3,Casa,P,1,Fiorentina
3,Empoli,2021-09-11,Giornata n. 3,Casa,P,1,Venezia
2,Napoli,2021-09-11,Giornata n. 3,Casa,V,2,Juventus
3,Cagliari,2021-09-12,Giornata n. 3,Casa,P,2,Genoa
3,Spezia,2021-09-12,Giornata n. 3,Casa,P,0,Udinese
3,Sampdoria,2021-09-12,Giornata n. 3,Casa,N,2,Inter
4,Roma,2021-09-12,Giornata n. 3,Casa,V,2,Sassuolo
2,Milan,2021-09-12,Giornata n. 3,Casa,V,2,Lazio
3,Torino,2021-09-12,Giornata n. 3,Casa,V,4,Salernitana
3,Bologna,2021-09-13,Giornata n. 3,Casa,V,1,Hellas Verona
3,Sassuolo,2021-09-17,Giornata n. 4,Casa,P,0,Torino
4,Inter,2021-09-18,Giornata n. 4,Casa,V,6,Bologna
4,Genoa,2021-09-18,Giornata n. 4,Casa,P,1,Fiorentina
4,Salernitana,2021-09-18,Giornata n. 4,Casa,P,0,Atalanta
4,Lazio,2021-09-19,Giornata n. 4,Casa,N,2,Cagliari
4,Empoli,2021-09-19,Giornata n. 4,Casa,P,0,Sampdoria
4,Hellas Verona,2021-09-19,Giornata n. 4,Casa,V,3,Roma
4,Venezia,2021-09-19,Giornata n. 4,Casa,P,1,Spezia
4,Juventus,2021-09-19,Giornata n. 4,Casa,N,1,Milan
4,Udinese,2021-09-20,Giornata n. 4,Casa,P,0,Napoli
5,Fiorentina,2021-09-21,Giornata n. 5,Casa,P,1,Inter
5,Bologna,2021-09-21,Giornata n. 5,Casa,N,2,Genoa
5,Atalanta,2021-09-21,Giornata n. 5,Casa,V,2,Sassuolo
5,Salernitana,2021-09-22,Giornata n. 5,Casa,N,2,Hellas Verona
5,Cagliari,2021-09-22,Giornata n. 5,Casa,P,0,Empoli
