,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season
0,Chievo,2018-08-18,Giornata n. 1,Casa,P,2.0,Juventus,5.0,1.0,1,1,28.0,11.0,2,0,2018-2019
0,Juventus,2018-08-18,Giornata n. 1,Ospiti,V,3.0,Chievo,28.0,10.0,0,0,72.0,8.0,0,0,2018-2019
0,Lazio,2018-08-18,Giornata n. 1,Casa,P,1.0,Napoli,11.0,2.0,0,0,36.0,9.0,0,0,2018-2019
0,Napoli,2018-08-18,Giornata n. 1,Ospiti,V,2.0,Lazio,11.0,3.0,0,0,64.0,6.0,0,0,2018-2019
0,Empoli,2018-08-19,Giornata n. 1,Casa,V,2.0,Cagliari,9.0,4.0,0,0,47.0,19.0,3,0,2018-2019
0,Inter,2018-08-19,Giornata n. 1,Ospiti,P,0.0,Sassuolo,14.0,3.0,0,0,61.0,13.0,2,0,2018-2019
0,Roma,2018-08-19,Giornata n. 1,Ospiti,V,1.0,Torino,19.0,5.0,0,0,58.0,15.0,3,0,2018-2019
0,Torino,2018-08-19,Giornata n. 1,Casa,P,0.0,Roma,12.0,4.0,0,0,42.0,12.0,1,0,2018-2019
0,Parma,2018-08-19,Giornata n. 1,Casa,N,2.0,Udinese,11.0,4.0,0,0,44.0,17.0,2,0,2018-2019
0,Cagliari,2018-08-19,Giornata n. 1,Ospiti,P,0.0,Empoli,15.0,3.0,0,0,53.0,20.0,3,0,2018-2019
0,Sassuolo,2018-08-19,Giornata n. 1,Casa,V,1.0,Inter,11.0,2.0,1,1,39.0,23.0,3,0,2018-2019
0,Udinese,2018-08-19,Giornata n. 1,Ospiti,N,2.0,Parma,17.0,3.0,1,1,56.0,16.0,2,0,2018-2019
0,Bologna,2018-08-19,Giornata n. 1,Casa,P,0.0,SPAL,13.0,3.0,0,0,41.0,19.0,3,1,2018-2019
0,SPAL,2018-08-19,Giornata n. 1,Ospiti,V,1.0,Bologna,14.0,5.0,0,0,59.0,18.0,2,0,2018-2019
0,Frosinone,2018-08-20,Giornata n. 1,Ospiti,P,0.0,Atalanta,6.0,0.0,0,0,42.0,14.0,2,0,2018-2019
0,Atalanta,2018-08-20,Giornata n. 1,Casa,V,4.0,Frosinone,17.0,9.0,0,0,58.0,15.0,0,0,2018-2019
1,Juventus,2018-08-25,Giornata n. 2,Casa,V,2.0,Lazio,19.0,6.0,0,0,54.0,13.0,3,0,2018-2019
1,Lazio,2018-08-25,Giornata n. 2,Ospiti,P,0.0,Juventus,8.0,2.0,0,0,46.0,14.0,2,0,2018-2019
