,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a,description,prediction
0,fiorentina,2019-08-24,P,-2.4,napoli,-7.200000000000001,-2.2,-0.2,0.0,-6.800000000000004,4.599999999999998,0.0,0.2,2019-2020,0.0,1.0,"Fiorentina play host to Napoli at their Stadio Artemio Franchi on day 3 of the new Serie A campaign. The Viola failed to turn their dominance into victory in a goalless draw with their local rivals Empoli, and it is no wonder they are seen as underdogs in Sunday’s showdown. Despite failing to impress in the Tuscan derby, summer signing Luka Jovic should continue to lead the line for the hosts, while both Gaetano Castrovilli and Igor are out of contention with injuries. 

The Neapolitans, on the other hand, aim to build on back-to-back wins over Verona and Monza. The visiting side have been scoring goals for fun at the start of the season, and given Fiorentina’s anything but good display against Empoli, away win should be considered. Midfielder Diego Demme should be the only absentee in the away side. ",P
1,parma,2019-08-24,P,0.7999999999999999,juventus,-2.0,-0.2000000000000001,0.2,0.2,-14.599999999999994,1.5999999999999996,0.0,0.2,2019-2020,0.0,1.0,"Parma and Juventus, the two old rivals, face each other at Stadio Ennio Tardini in the Serie A round 13. The Bianconeri dropped two points in a 1-1 draw with Atalanta, with the Cristiano Ronaldo failing to score the winner from the penalty spot. Juve have been anything but impressive under Antonio Conte in the 2020/21 season, but the game against Parma could be the turning point for CR7 and Co. Arthur and Demiral should be the only absentees in the away team. 

The Gli Emiliani, on the other hand, are undefeated in the previous four league fixtures. However, home win should not be considered as both Scozzarella and Pezzella suffered injuries in the goalless draw with Cagliari on Wednesday evening. In their last meeting at Stadio Ennio Tardini Juve defeated Parma thanks to Giorgio Chiellini’s goa, and we predict that the history is going to repeat itself.",P
2,torino,2019-08-25,V,0.8,sassuolo,1.1999999999999993,2.4,0.2,0.4,2.200000000000003,2.3999999999999986,-1.0,-0.6,2019-2020,1.0,0.0,"After failing to spoil Inter’s party at Stadio Giuseppe Meazza, Torino will look to move closer to the Conference League berth when they take on Sassuolo on Matchday 7. Il Toro defeated Lecce in their last home game, which is certainly giving fans a reason for optimism ahead of Saturday’s clash. Both Samuele Ricci and Alexey Miranchuk are sidelined with injuries, while summer signing Nemanja Radonjic should be recalled to the starting XI. 

The Neroverdi, on the other hand, failed to win the previous four league fixtures, and given their difficulties at the back in a 3-1 loss to Udinese, we believe that there is a big value in betting on the home side. Defender Ruan Tressoldi misses the match through suspension, while midfielder Davide Frattesi has yet to recover from a rib injury. ",V
3,cagliari,2019-08-25,P,-1.0,brescia,5.0,3.0,-1.0,-1.0,18.0,-2.0,0.0,0.0,2019-2020,2.0,0.0,"Brescia return to Serie A following an eight-year absence. The Biancazzurri aim to impress on their return to the Italian top flight, but they will have a mountain to climb in Sunday’s football match against Cagliari. 

The Sardinians did well to sign the likes of Nahitan Nandez, Albero Cerri, Fabrizio Cacciatore, Christian Oliva, Federico Mattiello (loan) and Marko Rog (loan) in the summer transfer window and given their fine home record in the Italian top flight, it is no surprise they are seen as favourites to win the opening match of the season. The newcomers, on the other hand, are not regarded as good travelers and we do not believe that they are capable of spoiling Cagliari’s party at Sardegna Arena. A man to keep an eye on in the away team will be controversial Italian attacker Mario Balotelli, who joined the club earlier this summer. ",V
4,roma,2019-08-25,N,0.8,genoa,4.6,2.6,-0.2,-0.4,5.200000000000003,-3.6,0.1999999999999997,-0.2,2019-2020,1.0,0.0,"Roma will look to build on a 4-2 win over Empoli when they take on Genoa at their Stadio Olimpico on Matchday 24. The Giallorossi have been scoring goals for fun of late, and they are likely to stick to their attacking style of play. A man to keep an eye on in the home team will be Tammy Abraham, while Leonardo Spinazzola remains in the recovery room. Both Darboe and Diawara are back from international duty. 

The Rossoblu, on the other hand, played out a goalless draw with Udinese before the international break. Genoa are not regarded as good travelers, and seeing that they experienced all sorts of problems at the back in a 6-0 loss to Fiorentina, we are tempted to put our money on Jose Mourinho’s troops, who are eyeing a place in the Champions League. Cambiaso is banned for the visitors, while both Ghighlione and Rovella miss out with injuries.",V
5,sampdoria,2019-08-25,P,-0.4000000000000001,lazio,1.3999999999999986,0.3999999999999994,0.4,0.4,10.4,-4.199999999999999,-0.9999999999999998,0.4,2019-2020,0.0,1.0,"Sampdoria and Lazio take on each other at Stadio Luigi Ferraris in the Serie A round 4. La Samp are eager to record their first win of the season, and they are likely to fight tooth and nail against the capital club. All Manuel De Luca, Andrea Conti, and Simone Trimboli are out of contention with injuries, but there are no suspended players in the home team. 

The Biancocelesti, on the other hand, are eyeing their third win of the process, and they must be high on spirits following a thrilling 3-1 win over Inter. Ciro Immobile should continue to lead the line for the visitors, while there are no fresh injury worries in the away team. Since Sampdoria suit Lazio, we believe that there is a big value in betting on Maurizio Sarri’s charges. In their last meeting in the Italian top flight Lazio defeated Sampdoria 2-0.",P
6,spal,2019-08-25,P,-0.2000000000000001,atalanta,-0.7999999999999989,-1.0,0.0,0.0,0.4000000000000057,1.1999999999999993,0.8000000000000003,0.0,2019-2020,1.0,1.0,"Thanks to a 3-1 win over Sassuolo on the last day of the 2018/2019 Serie A season Atalanta booked their place in the Champions League for the first time ever. The Orobici aim to prepare in the best way possible for their debut in the elite competition, but they first need to kick off the new Serie A season in style. Gian Piero Gasperini’s charges take on SPAL at Stadio Paolo Mazza in their opener and we are positive that the visitors are going to stick to their attacking style of play. 

A man to keep an eye on in the away team will be Duvan Zapata, who scored 23 goals in the Italian top flight last term. SPAL played above expectations in the Serie A last season and they surely want to continue where they left. Seeing that Atalanta were struggling in pre-season, we predict that the hosts are going to grab something from Sunday’s football match.",N
7,hellas verona,2019-08-25,N,0.0,bologna,-10.0,1.0,-1.0,-1.0,-48.0,-3.0,-2.0,1.0,2019-2020,0.0,2.0,"Stadio Marc’Antonio Bentegodi will host Friday’s Serie A game between Verona and Bologna, the two mid-table sides. The Mastini aim to build on a 4-2 win over Sassuolo, with the team eyeing their first home triumph since November 22, 2021. Both Frabotta and Dawidowicz remain in the recovery room, while a man to watch in the home team will be Antonin Barak, who scored a hat-trick at the weekend. 

The Rossoblu, on the other hand, aim to make amends for a 2-0 loss to Napoli. Bologna suffered yet another dip in form, and seeing that Verona have turned their Stadio Marc’Antonio Bentegodi into a real fortress, we predict that Sinisa Mihajlovic’s troops are going to return home empty-handed. Soumaoro is banned for the visitors, while all Dijks, Schouten, and Kingsley are out of contention with injuries. In the first half of the season Bologna defeated Verona 1-0, meaning that the hosts are hungry for revenge.",V
8,udinese,2019-08-25,V,0.0,milan,-5.0,-0.5999999999999996,-0.2,-0.2,-13.6,1.9999999999999984,0.0,-0.4,2019-2020,0.0,1.0,"Udinese and Milan face each other in a highly-anticipated Serie A game at Dacia Arena. The Zebrette are on a four-game winless run in the national championship, with the team experienced all sorts of problems at the back in a 3-1 loss to Empoli. Since Udinese have recorded no more than two wins at home ground this term, we are not tempted to put our money on the underdogs. Samir is banned for the hosts, while both Rodrigo Becao and Pereyra are sidelined with injuries. 

The Rossoneri, on the other hand, aim to retain top position in the Serie A standings. Stefano Pioli’s troops have been in a fine form of late, and even though their injury list is pretty long, away win should be considered. All Calabria, Kjaer, Castillejo, Giroud, Pellegri, Rafael Leao, Rebic, and Plizzari are injured for the away team.",P
9,inter,2019-08-26,V,4.0,lecce,8.0,5.0,0.0,0.0,20.0,6.0,-1.0,-1.0,2019-2020,2.0,0.0,"Inter play host to Lecce at their Stadio Giuseppe Meazza in the opening match of the 2019/2020 Serie A campaign. The Nerazzurri did well to reinforce the squad in the summer transfer window and, no doubt, Belgian attacker Romelu Lukaku is the club’s biggest signing. The former Manchester United man is expected to impress in the upcoming Serie A season and all eyes will be on him when Inter take on Lecce in their opener. 

Yet another man to watch in the home team will be Matteo Politano, who joined the Stadio Giuseppe Meazza outfit in a €20 million deal. The Salentini, on the other hand, return to the Italian top flight following a seven-year absence and seeing that Antonio Conte’s men are a real force to be reckoned with at home, the newcomers are unlikely to grab something from the match. ",V
10,bologna,2019-08-30,V,0.1999999999999997,spal,3.3999999999999986,0.7999999999999998,0.0,0.0,4.199999999999996,0.4000000000000003,-0.1999999999999999,0.4,2019-2020,0.0,1.0,"Bologna and SPAL face each other at Stadio Renato Dall’Ara on day 2 of the new Serie A campaign. The Rossoblu played out a 1-1 draw with Verona in the “City of Love” in their opener, with the match being marked by Sinisa Mihajlovic’s return. The Serbian coach is still recovering from an acute leukemia, but he obviously wants to help his team by being present on every single match. 

Bologna fans are likely to pack Stadio Renato Dall’Ara on Friday evening and seeing that SPAL experienced all sorts of problems at the back in a 3-2 loss to Atalanta in the opening match of the season, we believe that there is a big value in betting on Sinisa Mihajlovic’s charges. In their last meeting in Bologna in the national championship SPAL emerged triumphant, meaning that the hosts are hungry for revenge. ",V
11,milan,2019-08-31,V,0.6000000000000001,brescia,6.4,3.0,-0.8,-0.8,11.4,-1.8000000000000007,-0.1999999999999999,0.2,2019-2020,2.0,0.0,"Stadio Giuseppe Meazza will host Saturday’s football game between Milan and Brescia, the two teams with entirely different ambitions in the 2019/2020 season. The Rossoneri suffered a 1-0 loss to Udinese in the opening match of the season, meaning that they are desperate to pick up all three points from the Brescia game. Seeing that key player Mario Balotelli misses the game through suspension for the visitors, we believe that home win should be considered. 

The newcomers did defeat Cagliari in Sardinia in their opener, but they will have a much bigger fish to fry in the Stadio Giuseppe Meazza clash. A man to watch in the home team will be Krzysztof Piatek, the Poland international who is eager to open his goal-scoring account. You should know that Milan and Brescia meet in the Serie A for the first time since 2011 when the Rossoneri defeated le Rondinelle. ",V
12,juventus,2019-08-31,V,-2.2,napoli,-7.800000000000001,-2.6,-0.4,-0.4,0.0,-0.5999999999999996,0.1999999999999997,0.2,2019-2020,2.0,0.0,"There will be fireworks when Juventus and Napoli face each other in the Serie A derby on Matchday 20. The Bianconeri aim to build on back-to-back wins over Bologna and Cagliari, and a triumph over Napoli will see them keep their Scudetto hopes alive. Danilo is sidelined with injury, while all Chiellini, Arthur, Ramsey, De Winter, and Pinsoglio have been tested positive for coronavirus. 

The Neapolitans, on the other hand, made a flying start to the season, but they do not seem to be at their sharpest ahead of the trip to Turin. Luciano Spalletti’s troops suffered three defeats in the previous four league fixtures, and given Juve’s signs of improvement, we believe that home win should be considered. Mario Rui is banned for the visitors, while all Elmas, Lozano, and Osimhen miss out through coronavirus infection. In the first half of the season Napoli defeated Juventus 2-1, meaning that the “Old Lady” is hungry for revenge.",V
13,cagliari,2019-09-01,P,-1.0,inter,-10.0,-3.2,-0.2,-0.4,-12.4,4.200000000000001,0.0,0.0,2019-2020,1.0,1.0,"Sunday’s Serie A game at Unipol Domus pits together Cagliari and Inter, the two teams with entirely different ambitions in the season finale. The Rossoblu are fighting hard to secure the elite division survival, while the Nerazzurri aim to keep their Scudetto hopes alive. Cagliari showed character in a 1-1 draw with Salernitana, with defender Giorgio Altare scoring the equalizer in the stoppage time. 

First-choice goalkeeper Boris Radunovic is banned for the match, while Nandez continues to miss out with injury. Simone Inzaghi’s troops, on the other hand, aim to build on a come-from-behind 4-2 win over Empoli. A lively contest is on the cards in Sardinia, but we are tempted to put our money on the title-chasing visitors who are more of a team than Cagliari. There are no fresh injury worries in the away team ahead of Sunday’s showdown. ",P
14,udinese,2019-09-01,P,0.6000000000000001,parma,3.799999999999999,2.0,-0.2,-0.2,1.3999999999999986,2.6,0.0,-0.4,2019-2020,0.0,1.0,"Sunday’s football game at Dacia Arena pits together Udinese and Parma. Udinese made a slow start to the season, with the team losing to Verona, Spezia, and Roma, meaning that they are low on confidence ahead of the visit of Parma. The Zebrette have yet to find the net in the new Serie A campaign, but they should not be underestimated when playing at home ground. 

The likes of Jajalo, Mandragora, and Musso are definitely out of contention with injury, while Stryger Larsen, Deulofeu, and Wallace are rated doubtful for the hosts. Parma, on the other hand, aim to build on a hard-fought 1-0 win over Verona, but seeing that they are not regarded as good travellers, we are tempted to put our money on draw. The likes of Scozzarella and Cornelius should be the only absentees in the away team ahead of the trip to Udine. ",N
15,lecce,2019-09-01,P,-1.0,hellas verona,11.0,0.0,0.0,0.0,14.0,-3.0,1.0,0.0,2019-2020,0.0,0.0,"Stadio Comunale Via del Mare will be packed when Lecce and Hellas Verona square off against each other on day 2 of the new Serie A campaign. The Giallorossi are eager to impress in their first home game of the season and they will not have a better chance than this to pick up all three points as Verona are seen as one of the main candidates to suffer relegation at the end of the season. 

The Mastini played out a 1-1 draw with Bologna at home in their opener, with Polish defender Pawel Dawidowicz being sent off after 13 minutes. The 24-year-old is out of contention through suspension and seeing that Verona are not regarded as good travelers, we are tempted to put our money on Fabio Liverani’s charges. A man to keep an eye on in the home team will be summer signing Gianluca Lapadula.",V
16,atalanta,2019-09-01,P,0.3999999999999999,torino,1.5999999999999996,1.0,0.0,-0.2,0.6000000000000014,-0.2000000000000028,-0.1999999999999999,0.0,2019-2020,0.0,1.0,"Atalanta will look to record their third win of the season when they face Torino in the Serie A round 4. The Orobici did well to beat Verona in the City of Love at the weekend, meaning that they are high on spirits ahead of the visit of Torino. All Berat Djimsiti, Marco Carnesecchi, and Davide Zappacosta are out of contention through injuries, while Luis Muriel could earn a spot in the starting XI this time out. 

Il Toro made a promising start to the season as well, with the team beating both Monza and Cremonese, while sharing the spoils with Lazio. Ivan Juric has no fresh selection worries, but both Alexey Miranchuk and David Zima remain in the recovery room. In their last encounter in the Italian top flight the two teams played out a thrilling 4-4 draw, and given their fine forms at the start of the season, yet another high-scoring affair is on the horizon.",N
17,sassuolo,2019-09-01,V,0.0,sampdoria,-0.4000000000000003,-1.6000000000000003,-0.4,-0.4,-5.600000000000001,5.6,1.6,0.3999999999999999,2019-2020,0.0,1.0,"After beating Verona in the “City of Love” in their opener, Sassuolo will be aiming to give fans yet another reason for celebration when they take on Sampdoria on Matchday 2. The Neroverdi kicked off the new Serie A campaign in style, but they should not stop now. Sassuolo are likely to stick to their attacking style of play, and seeing that all Bourabia, Obiang, and Berardi are eyeing return to the squad, home win should be considered. 

La Samp, on the other hand, are a real force to be reckoned with at home, but they often struggle on the travels. Given Sassuolo’s display in the triumph over Verona, we predict that the visitors are going to return to Genoa empty-handed. In their last meeting at the venue Sassuolo defeated Sampdoria 1-0, and we predict that the history is going to repeat itself. Midfielder Fabio Depaoli should be fit for Sunday’s showdown.",V
18,lazio,2019-09-01,N,0.3999999999999999,roma,-6.600000000000001,0.0,0.0,0.0,-0.6000000000000014,0.1999999999999993,-0.1999999999999997,0.0,2019-2020,1.0,1.0,"There will be fireworks when Lazio and Roma square off against each other in the Rome derby on Matchday 6. The Biancocelesti aim to put an end to their three-game winless run, and they are likely to adopt an attack-minded approach in Sunday’s showdown. Ciro Immobile, who scored a late equalizer from the penalty spot in the midweek draw with Torino, is likely to lead the line for the hosts. 

The Romans, on the other hand, recorded a hard-fought 1-0 win over Udinese on Thursday evening, with the team retaining their spot in top four. The Giallorossi are likely to go for a win in the local derby as well, and, taking everything into account, we believe that there is a big value in betting on both teams to score. Pellegrini is banned for the visitors, while Spinazzola remains on the sidelines with a long-term injury. ",N
19,genoa,2019-09-01,V,0.6,fiorentina,-2.6,-1.7999999999999998,0.2,0.3999999999999999,-9.200000000000005,-3.4000000000000004,0.4000000000000001,0.0,2019-2020,0.0,0.0,"Stadio Luigi Ferraris will host Saturday’s football game between Genoa and Fiorentina, who defeated Cagliari (3-2) and Atalanta (2-1) respectively on Matchday 3. The Rossoblu regained a much-needed confidence at the weekend, but they will have a big fish to fry against Fiorentina. Summer signing Mohamed Fares should be handed his full Genoa debut after scoring a brace in the triumph over Cagliari, while both Caicedo and Badelj are sidelined with injuries. 

The Viola, on the other hand, continue to rely on Serbia rising star Dusan Vlahovic, who scored a brace in the triumph over Atalanta, and given their attacking potential, we believe that punters from all four corners of the world can find value in betting on both teams to score. Defender Lorenzo Venuti misses the match through injury, but the 26-year-old should be the only absentee in the away team. ",N
20,inter,2019-09-14,V,0.2000000000000001,udinese,4.800000000000001,1.0,0.4,0.6,15.4,-4.0,-0.2000000000000001,0.2,2019-2020,1.0,0.0,"After recording a routine 2-0 win over Empoli, Inter will be aiming to melt Milan’s advantage in the Serie A table when they host Udinese to their Stadio Giuseppe Meazza. The Nerazzurri are eyeing their third home win of the process, and they are likely to go all guns blazing at the Zebrette. Simone Inzaghi should have a full squad to choose from this time out, except for Christian Eriksen, who remains on the sidelines through heart problems. 

Both Edin Dzeko and Arturo Vidal are pushing for a start. Udinese, on the other hand, head into the match following a 1-1 draw with Verona. The Zebrette were beaten by Inter in each of the previous three meetings between the two sides in Milano, which is yet another reason why we are tempted to put our money on the hosts. Gerard Deulofeu should be the only absentee in the away team. ",V
21,fiorentina,2019-09-14,N,-0.3999999999999999,juventus,2.799999999999999,-0.2000000000000001,0.4,0.4,-3.199999999999996,5.000000000000002,-1.2,-0.2,2019-2020,0.0,2.0,,NAN
22,napoli,2019-09-14,V,2.2,sampdoria,5.6,1.7999999999999998,-0.2,-0.2,4.800000000000004,4.200000000000001,1.0,-0.2,2019-2020,1.0,1.0,"After sharing the spoils with Juventus in the Serie A derby, Napoli will be aiming to return to winning ways when they host Sampdoria to their Stadio Diego Armando Maradona on Matchday 21. All Ounas, Koulibaly, and Anguissa are on international duty, while key attacker Victor Osimhen misses out with a broken cheekbone. Since all Meret, Malcuit, Mario Rui, and Lozano have been tested positive for coronavirus, we do not believe that there is a big value in betting on the home side. 

La Samp, on the other hand, suffered a 2-1 loss to Cagliari in their first game of the year. The visitors are desperate to grab something from Sunday’s match, and given the number of absentees in the home team, we are tempted to put our money on draw. Candreva is banned for the visiting side, while both Falcone and Augello are quarantined. All Yoshida, Damsgaard, and Verre miss out with injuries.",N
23,parma,2019-09-15,P,0.3999999999999999,cagliari,-4.0,-1.4000000000000004,0.0,0.0,-10.199999999999996,-1.6000000000000014,-0.1999999999999997,0.2,2019-2020,1.0,1.0,"Parma were on the verge of beating Milan at Stadio San Siro in their last league fixture, but Theo Hernandez eventually scored a late goal to save one point for the Rossoneri. The Gli Emiliani once again proved their worth in the game against the title-chasing team, with the team extending their unbeaten run in all competitions to four games. 

Parma aim to climb to the top half of the table, and they are surely capable of beating Cagliari, who are low on confidence following a heart-breaking 3-1 loss to Inter. The Sardinians are on a four-game winless run in the Serie A, and given Parma’s display in the draw with Milan, home win should be considered. Fabio Liverani can count on key players for the midweek clash, which is yet another reason why we are tempted to put our money on the hosts. ",V
24,spal,2019-09-15,V,-0.6000000000000001,lazio,-5.199999999999999,-3.2,0.2,0.2,-0.3999999999999986,2.0,-0.2000000000000001,0.0,2019-2020,1.0,1.0,"SPAL will be aiming to make amends for back-to-back losses to the likes of Atalanta and Bologna when they host Lazio at their Stadio Paolo Mazza on Sunday afternoon. The hosts are desperate to grab something from the match, but beating the Biancocelesti, who have been in a fine form at the start of the season is easier said than done. 

The capital club impressed in their opener, with the team rolling over Sampdoria 3-0 in Genoa and they head into Sunday’s football match following a 1-1 draw with Roma in the fierce local derby. A man to keep an eye on in the away team will be Ciro Immobile, who found the net for Italy in a 2-1 win over Finland. Lazio are more of a team than SPAL and seeing that the hosts made a slow start to the season, we are tempted to put our money on the away team.",P
