,home,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,rank_h,rank_a,prediction
0,9,P,-2.4,19,-7.200000000000001,-2.2,-0.2,0.0,-6.800000000000004,4.599999999999998,0.0,0.2,0.0,1.0,2
1,20,P,0.7999999999999999,14,-2.0,-0.2000000000000001,0.2,0.2,-14.599999999999994,1.5999999999999996,0.0,0.2,0.0,1.0,2
2,27,V,0.8,25,1.1999999999999993,2.4,0.2,0.4,2.200000000000003,2.3999999999999986,-1.0,-0.6,1.0,0.0,1
3,4,P,-1.0,3,5.0,3.0,-1.0,-1.0,18.0,-2.0,0.0,0.0,2.0,0.0,1
4,21,N,0.8,11,4.6,2.6,-0.2,-0.4,5.200000000000003,-3.6,0.1999999999999997,-0.2,1.0,0.0,1
5,24,P,-0.4000000000000001,15,1.3999999999999986,0.3999999999999994,0.4,0.4,10.4,-4.199999999999999,-0.9999999999999998,0.4,0.0,1.0,2
6,22,P,-0.2000000000000001,0,-0.7999999999999989,-1.0,0.0,0.0,0.4000000000000057,1.1999999999999993,0.8000000000000003,0.0,1.0,1.0,0
7,12,N,0.0,2,-10.0,1.0,-1.0,-1.0,-48.0,-3.0,-2.0,1.0,0.0,2.0,1
8,28,V,0.0,17,-5.0,-0.5999999999999996,-0.2,-0.2,-13.6,1.9999999999999984,0.0,-0.4,0.0,1.0,2
9,13,V,4.0,16,8.0,5.0,0.0,0.0,20.0,6.0,-1.0,-1.0,2.0,0.0,1
10,2,V,0.1999999999999997,22,3.3999999999999986,0.7999999999999998,0.0,0.0,4.199999999999996,0.4000000000000003,-0.1999999999999999,0.4,0.0,1.0,1
11,17,V,0.6000000000000001,3,6.4,3.0,-0.8,-0.8,11.4,-1.8000000000000007,-0.1999999999999999,0.2,2.0,0.0,1
12,14,V,-2.2,19,-7.800000000000001,-2.6,-0.4,-0.4,0.0,-0.5999999999999996,0.1999999999999997,0.2,2.0,0.0,1
13,4,P,-1.0,13,-10.0,-3.2,-0.2,-0.4,-12.4,4.200000000000001,0.0,0.0,1.0,1.0,2
