,h_team,Risultato,h_goals,a_team,a_goals,h_total_shots,h_shots_on_target,h_goals_on_penalty,h_total_penalties,h_completed_passings,h_total_passings,h_corners,h_percentage_possession,h_fouls,h_yellow_cards,h_red_cards,a_total_shots,a_shots_on_target,a_goals_on_penalty,a_total_penalties,a_corners,a_yellow_cards,a_red_cards,a_fouls,a_completed_passings,a_total_passings,a_percentage_possession
0,Hellas Verona,P,2,Sassuolo,3,14.0,3.0,1,1,282.0,361.0,7.0,40.0,10.0,3,1,18.0,7.0,0,0,4.0,2,0,15.0,481.0,540.0,60.0
0,Inter,V,4,Genoa,0,17.0,8.0,0,0,563.0,630.0,8.0,59.0,18.0,1,0,10.0,4.0,0,0,2.0,2,0,7.0,365.0,430.0,41.0
0,Torino,P,1,Atalanta,2,21.0,7.0,0,0,304.0,413.0,5.0,47.0,17.0,2,0,7.0,2.0,0,0,1.0,2,0,14.0,328.0,462.0,53.0
0,Empoli,P,1,Lazio,3,17.0,4.0,0,0,410.0,496.0,5.0,46.0,15.0,2,0,7.0,3.0,1,1,3.0,1,0,10.0,517.0,589.0,54.0
0,Udinese,N,2,Juventus,2,11.0,5.0,1,1,363.0,433.0,3.0,44.0,14.0,1,0,10.0,3.0,0,0,3.0,3,0,16.0,480.0,551.0,56.0
0,Napoli,V,2,Venezia,0,11.0,3.0,1,2,520.0,586.0,2.0,56.0,4.0,1,1,8.0,4.0,0,0,2.0,7,0,23.0,395.0,454.0,44.0
0,Bologna,V,3,Salernitana,2,18.0,7.0,0,0,485.0,588.0,9.0,72.0,11.0,6,2,9.0,3.0,1,1,4.0,3,1,14.0,130.0,233.0,28.0
0,Roma,V,3,Fiorentina,1,11.0,6.0,0,0,334.0,407.0,4.0,42.0,13.0,3,1,11.0,8.0,0,0,4.0,2,1,14.0,498.0,564.0,58.0
0,Sampdoria,P,0,Milan,1,16.0,3.0,0,0,334.0,432.0,8.0,49.0,20.0,3,0,11.0,4.0,0,0,3.0,1,0,15.0,349.0,442.0,51.0
0,Cagliari,N,2,Spezia,2,19.0,6.0,1,1,409.0,519.0,11.0,59.0,17.0,2,0,12.0,4.0,0,0,4.0,3,0,18.0,275.0,356.0,41.0
0,Hellas Verona,P,1,Inter,3,8.0,1.0,0,0,280.0,367.0,6.0,43.0,13.0,2,0,16.0,8.0,0,0,4.0,2,0,11.0,388.0,492.0,57.0
0,Udinese,V,3,Venezia,0,21.0,10.0,0,0,369.0,464.0,7.0,45.0,13.0,2,0,11.0,3.0,0,0,2.0,3,0,9.0,473.0,556.0,55.0
0,Juventus,P,0,Empoli,1,19.0,5.0,0,0,377.0,461.0,8.0,54.0,15.0,2,0,12.0,3.0,0,0,9.0,3,0,8.0,292.0,397.0,46.0
0,Lazio,V,6,Spezia,1,17.0,9.0,0,1,654.0,717.0,4.0,61.0,13.0,0,0,5.0,2.0,0,0,2.0,2,1,10.0,376.0,455.0,39.0
0,Atalanta,N,0,Bologna,0,22.0,3.0,0,0,484.0,598.0,5.0,59.0,12.0,2,0,4.0,1.0,0,0,5.0,5,0,16.0,297.0,421.0,41.0
0,Fiorentina,V,2,Torino,1,9.0,6.0,0,0,363.0,460.0,3.0,59.0,14.0,4,0,5.0,1.0,0,0,3.0,5,0,30.0,236.0,325.0,41.0
0,Sassuolo,N,0,Sampdoria,0,19.0,5.0,0,0,529.0,627.0,8.0,63.0,9.0,2,0,11.0,2.0,0,0,6.0,2,0,17.0,261.0,371.0,37.0
0,Genoa,P,1,Napoli,2,6.0,3.0,0,0,310.0,400.0,4.0,39.0,20.0,2,0,13.0,8.0,0,0,5.0,3,0,18.0,532.0,622.0,61.0
0,Milan,V,4,Cagliari,1,17.0,4.0,1,1,495.0,562.0,8.0,57.0,15.0,1,0,7.0,2.0,0,0,3.0,5,0,12.0,359.0,423.0,43.0
0,Salernitana,P,0,Roma,4,5.0,0.0,0,0,114.0,219.0,1.0,23.0,14.0,2,0,28.0,9.0,0,0,10.0,2,0,11.0,664.0,752.0,77.0
0,Atalanta,P,1,Fiorentina,2,12.0,4.0,1,1,463.0,555.0,10.0,55.0,13.0,4,0,5.0,0.0,2,2,3.0,4,0,21.0,374.0,454.0,45.0
0,Empoli,P,1,Venezia,2,21.0,5.0,1,1,499.0,607.0,8.0,69.0,13.0,2,0,10.0,3.0,0,0,2.0,5,0,25.0,199.0,275.0,31.0
0,Napoli,V,2,Juventus,1,25.0,7.0,0,0,585.0,666.0,13.0,67.0,15.0,2,0,8.0,4.0,0,0,1.0,1,0,16.0,264.0,330.0,33.0
0,Cagliari,P,2,Genoa,3,8.0,2.0,1,1,435.0,534.0,2.0,53.0,16.0,2,0,11.0,3.0,0,0,6.0,3,0,16.0,395.0,475.0,47.0
0,Spezia,P,0,Udinese,1,20.0,5.0,0,0,432.0,520.0,4.0,56.0,13.0,1,0,9.0,4.0,0,0,5.0,2,0,18.0,332.0,405.0,44.0
0,Sampdoria,N,2,Inter,2,14.0,2.0,0,0,360.0,455.0,4.0,52.0,14.0,4,0,8.0,3.0,0,0,4.0,4,0,14.0,318.0,418.0,48.0
0,Roma,V,2,Sassuolo,1,18.0,6.0,0,0,413.0,480.0,4.0,49.0,7.0,2,0,14.0,7.0,0,0,6.0,1,0,11.0,438.0,508.0,51.0
0,Milan,V,2,Lazio,0,20.0,3.0,0,1,416.0,503.0,5.0,47.0,12.0,1,0,8.0,5.0,0,0,1.0,4,0,19.0,488.0,570.0,53.0
0,Torino,V,4,Salernitana,0,15.0,5.0,0,0,453.0,544.0,7.0,60.0,11.0,0,0,8.0,2.0,0,0,4.0,2,0,11.0,263.0,367.0,40.0
0,Bologna,V,1,Hellas Verona,0,16.0,4.0,0,0,257.0,362.0,6.0,43.0,16.0,1,0,5.0,0.0,0,0,2.0,3,0,24.0,393.0,480.0,57.0
0,Sassuolo,P,0,Torino,1,10.0,2.0,0,0,390.0,485.0,6.0,52.0,9.0,0,0,18.0,3.0,0,0,3.0,4,0,24.0,361.0,445.0,48.0
0,Inter,V,6,Bologna,1,19.0,11.0,0,0,412.0,464.0,5.0,46.0,11.0,0,0,8.0,2.0,0,0,1.0,3,0,11.0,486.0,546.0,54.0
0,Genoa,P,1,Fiorentina,2,8.0,2.0,1,1,288.0,369.0,1.0,37.0,14.0,4,0,16.0,5.0,0,0,11.0,4,0,17.0,531.0,617.0,63.0
0,Salernitana,P,0,Atalanta,1,11.0,1.0,0,0,310.0,425.0,6.0,43.0,22.0,4,0,10.0,3.0,0,0,4.0,4,0,15.0,473.0,567.0,57.0
0,Lazio,N,2,Cagliari,2,28.0,10.0,0,0,646.0,748.0,10.0,72.0,5.0,1,0,10.0,3.0,0,0,1.0,3,1,13.0,198.0,296.0,28.0
0,Empoli,P,0,Sampdoria,3,15.0,4.0,0,0,349.0,456.0,8.0,53.0,11.0,2,0,14.0,8.0,0,0,8.0,2,0,15.0,294.0,400.0,47.0
0,Hellas Verona,V,3,Roma,2,10.0,6.0,0,0,367.0,468.0,3.0,53.0,18.0,4,0,15.0,2.0,0,0,8.0,2,0,17.0,294.0,410.0,47.0
0,Venezia,P,1,Spezia,2,14.0,3.0,0,0,320.0,425.0,3.0,45.0,15.0,4,0,12.0,3.0,0,0,10.0,1,0,11.0,403.0,522.0,55.0
0,Juventus,N,1,Milan,1,9.0,4.0,0,0,343.0,413.0,4.0,44.0,15.0,1,0,13.0,3.0,0,0,4.0,1,0,16.0,459.0,528.0,56.0
0,Udinese,P,0,Napoli,4,9.0,1.0,0,0,346.0,403.0,2.0,37.0,12.0,2,0,18.0,8.0,0,0,5.0,1,0,12.0,618.0,683.0,63.0
0,Fiorentina,P,1,Inter,3,14.0,6.0,0,0,452.0,530.0,4.0,53.0,13.0,2,1,17.0,5.0,0,0,8.0,3,0,17.0,400.0,472.0,47.0
