,h_team,a_team,date,matchday,result
0,Hellas Verona,Sassuolo,2021-08-21,Giornata n. 1,P
0,Inter,Genoa,2021-08-21,Giornata n. 1,V
0,Torino,Atalanta,2021-08-21,Giornata n. 1,P
0,Empoli,Lazio,2021-08-21,Giornata n. 1,P
0,Udinese,Juventus,2021-08-22,Giornata n. 1,N
0,Napoli,Venezia,2021-08-22,Giornata n. 1,V
0,Bologna,Salernitana,2021-08-22,Giornata n. 1,V
0,Roma,Fiorentina,2021-08-22,Giornata n. 1,V
0,Sampdoria,Milan,2021-08-23,Giornata n. 1,P
0,Cagliari,Spezia,2021-08-23,Giornata n. 1,N
0,Hellas Verona,Inter,2021-08-27,Giornata n. 2,P
0,Udinese,Venezia,2021-08-27,Giornata n. 2,V
0,Juventus,Empoli,2021-08-28,Giornata n. 2,P
0,Lazio,Spezia,2021-08-28,Giornata n. 2,V
0,Atalanta,Bologna,2021-08-28,Giornata n. 2,N
0,Fiorentina,Torino,2021-08-28,Giornata n. 2,V
0,Sassuolo,Sampdoria,2021-08-29,Giornata n. 2,N
0,Genoa,Napoli,2021-08-29,Giornata n. 2,P
0,Milan,Cagliari,2021-08-29,Giornata n. 2,V
0,Salernitana,Roma,2021-08-29,Giornata n. 2,P
0,Atalanta,Fiorentina,2021-09-11,Giornata n. 3,P
0,Empoli,Venezia,2021-09-11,Giornata n. 3,P
0,Napoli,Juventus,2021-09-11,Giornata n. 3,V
0,Cagliari,Genoa,2021-09-12,Giornata n. 3,P
0,Spezia,Udinese,2021-09-12,Giornata n. 3,P
0,Sampdoria,Inter,2021-09-12,Giornata n. 3,N
0,Roma,Sassuolo,2021-09-12,Giornata n. 3,V
0,Milan,Lazio,2021-09-12,Giornata n. 3,V
0,Torino,Salernitana,2021-09-12,Giornata n. 3,V
0,Bologna,Hellas Verona,2021-09-13,Giornata n. 3,V
0,Sassuolo,Torino,2021-09-17,Giornata n. 4,P
0,Inter,Bologna,2021-09-18,Giornata n. 4,V
0,Genoa,Fiorentina,2021-09-18,Giornata n. 4,P
0,Salernitana,Atalanta,2021-09-18,Giornata n. 4,P
0,Lazio,Cagliari,2021-09-19,Giornata n. 4,N
0,Empoli,Sampdoria,2021-09-19,Giornata n. 4,P
0,Hellas Verona,Roma,2021-09-19,Giornata n. 4,V
0,Venezia,Spezia,2021-09-19,Giornata n. 4,P
0,Juventus,Milan,2021-09-19,Giornata n. 4,N
0,Udinese,Napoli,2021-09-20,Giornata n. 4,P
0,Fiorentina,Inter,2021-09-21,Giornata n. 5,P
0,Bologna,Genoa,2021-09-21,Giornata n. 5,N
0,Atalanta,Sassuolo,2021-09-21,Giornata n. 5,V
0,Salernitana,Hellas Verona,2021-09-22,Giornata n. 5,N
0,Cagliari,Empoli,2021-09-22,Giornata n. 5,P
0,Milan,Venezia,2021-09-22,Giornata n. 5,V
0,Spezia,Juventus,2021-09-22,Giornata n. 5,P
0,Torino,Lazio,2021-09-23,Giornata n. 5,N
0,Sampdoria,Napoli,2021-09-23,Giornata n. 5,P
0,Roma,Udinese,2021-09-23,Giornata n. 5,V
0,Genoa,Hellas Verona,2021-09-25,Giornata n. 6,N
0,Inter,Atalanta,2021-09-25,Giornata n. 6,N
0,Spezia,Milan,2021-09-25,Giornata n. 6,P
0,Napoli,Cagliari,2021-09-26,Giornata n. 6,V
0,Sassuolo,Salernitana,2021-09-26,Giornata n. 6,V
0,Lazio,Roma,2021-09-26,Giornata n. 6,V
0,Empoli,Bologna,2021-09-26,Giornata n. 6,V
0,Udinese,Fiorentina,2021-09-26,Giornata n. 6,P
0,Juventus,Sampdoria,2021-09-26,Giornata n. 6,V
0,Venezia,Torino,2021-09-27,Giornata n. 6,N
0,Cagliari,Venezia,2021-10-01,Giornata n. 7,N
0,Salernitana,Genoa,2021-10-02,Giornata n. 7,V
0,Sassuolo,Inter,2021-10-02,Giornata n. 7,P
0,Torino,Juventus,2021-10-02,Giornata n. 7,P
0,Roma,Empoli,2021-10-03,Giornata n. 7,V
0,Bologna,Lazio,2021-10-03,Giornata n. 7,V
0,Hellas Verona,Spezia,2021-10-03,Giornata n. 7,V
0,Fiorentina,Napoli,2021-10-03,Giornata n. 7,P
0,Atalanta,Milan,2021-10-03,Giornata n. 7,P
0,Sampdoria,Udinese,2021-10-03,Giornata n. 7,N
0,Spezia,Salernitana,2021-10-16,Giornata n. 8,V
0,Lazio,Inter,2021-10-16,Giornata n. 8,V
0,Milan,Hellas Verona,2021-10-16,Giornata n. 8,V
0,Napoli,Torino,2021-10-17,Giornata n. 8,V
0,Juventus,Roma,2021-10-17,Giornata n. 8,V
0,Genoa,Sassuolo,2021-10-17,Giornata n. 8,N
0,Empoli,Atalanta,2021-10-17,Giornata n. 8,P
0,Cagliari,Sampdoria,2021-10-17,Giornata n. 8,V
0,Udinese,Bologna,2021-10-17,Giornata n. 8,N
0,Venezia,Fiorentina,2021-10-18,Giornata n. 8,V
0,Sampdoria,Spezia,2021-10-22,Giornata n. 9,V
0,Torino,Genoa,2021-10-22,Giornata n. 9,V
0,Salernitana,Empoli,2021-10-23,Giornata n. 9,P
0,Sassuolo,Venezia,2021-10-23,Giornata n. 9,V
0,Bologna,Milan,2021-10-23,Giornata n. 9,P
0,Hellas Verona,Lazio,2021-10-24,Giornata n. 9,V
0,Roma,Napoli,2021-10-24,Giornata n. 9,N
0,Inter,Juventus,2021-10-24,Giornata n. 9,N
